,회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류),유동부채비율,매출액순이익률,CASH FLOW 대 매출액비율,CASH FLOW 대 부채비율,이자보상배율(이자비용),금융비용 대 총비용비율,설비투자효율,CASH FLOW 대 총자본비율,자본금회전률,총자본투자효율,총자본회전률,자기자본순이익률,매출채권회전률,유형자산회전율,부채비율,유동비율,자기자본배율,당좌비율,순운전자본비율,현금비율,타인자본회전률,총자본순이익률,매출액(수익)(*),매출액총이익률,매출원가 대 매출액비율,차입금의존도,재고자산회전률,총자산부채비율,유보이익대총자산비율,자기자본비율,판매관리비대매출액,고정비율,log총자산,총자본증가율,유동자산증가율,매출액증가율,총자산영업이익률,순이익률,이자비용/부채,영업이익증가율,순이익증가율
19,에이스하이텍(주),71930,13-Dec,제조업,159.64,-29.74,-8.54,-7.89,-1.34,2.47,-34.48,-4.87,1.37,-7.22,0.66,-42.78,5.49,2.27,161.1,98.14,90.39,98.07,-1.14,0.09841451817159884,1.24,-19.77,16403632.0,7.51,92.49,54.48,917.73,0.6170088036896049,-0.6330065455595265,0.38299119631039513,0.1284494799688264,1.0443340152978147,7.458843572794641,-6.559186938218808,147.74654053743683,84.63559652457675,-0.035483000884157886,-0.367577739006248,0.02656271309816179,-269.5229040521883,-3623.2825557794677
21,우양에이치씨(주),101970,13-Dec,제조업,128.47,5.07,-3.84,-3.57,2.71,2.73,90.14,-2.33,26.11,14.8,0.66,10.52,11.85,2.27,187.33,129.45,1332.22,123.49,13.17,0.004535434674198432,0.96,3.32,226003564.0,17.11,82.89,50.0,21.47,0.6519667102100623,0.14748149834235008,0.3480332897899378,0.07516207576266364,1.210291597272359,8.572123456077453,48.060472654608624,11.724682585430845,11.639708893083412,0.0628928559970931,0.04855614703336739,0.02320561656593792,3.553124835498393,69.94136091995371
23,잘만테크(주),90120,13-Dec,제조업,177.33,0.4,-6.42,-9.43,1.84,2.16,70.53,-6.13,10.4,7.87,1.02,1.16,2.33,5.18,185.98,130.1,352.8,110.24,18.67,0.16309648465558838,1.57,0.4,129554936.0,14.54,85.46,41.01,7.58,0.650321457786823,-0.05814233135788989,0.34967854221317696,0.10382239701002206,0.5526581121466622,8.132494500568452,16.35770626606947,21.89342138612542,20.246716999873037,0.042488737325502256,0.00619541331982996,0.023064472181363167,103.92292099390512,-60.611795236068644
25,(주)네오리진,94860,13-Dec,정보통신업,80.1,-29.82,7.8,16.93,-2.65,1.65,-78.2,7.8,4.08,-3.27,0.98,-50.5,3.88,21.36,85.43,118.93,185.69,94.9,8.18,0.11290602423311843,2.32,-29.2,41569623.0,24.53,75.47,19.42,9.19,0.46071465410473,-0.4368309690338034,0.53928534589527,0.2885942939631663,0.9016911602756791,7.61899090439386,-15.879405111704326,20.778378147378127,68.51979174867402,-0.04236861158145596,-0.6919567826192743,0.016005950808447873,-218.83480613570038,-344.0268548685195
27,(주)미래SCI,28040,13-Dec,도매 및 소매업,166.25,-48.33,-31.55,-11.64,-3.26,8.0,2.86,-7.83,1.81,2.35,0.25,-49.9,7.59,0.3,205.67,25.64,174.64,7.82,-40.44,0.0006602968581135283,0.32,-11.93,11263301.0,-23.34,123.34,53.16,2.48,0.6728502998023649,-0.6218663336312845,0.32714970019763506,0.2538699800351602,2.630387092480341,7.65683156890358,112.98358232231998,-7.6869645379829326,-46.478540811077195,-0.12033442790274246,-0.15685252974552027,0.0368974766694058,17.35725542051918,65.17797140863237
29,(주)바른손이앤에이,35620,13-Dec,정보통신업,27.01,-130.56,-3.8,-0.88,-21.72,0.18,75.19,-0.33,0.23,3.07,0.09,-17.28,7.67,2.14,59.39,68.62,161.86,68.62,-5.32,0.08327506052331875,0.3,-12.04,3811626.0,0.0,0.0,18.75,0.0,0.3725949296792284,-1.542140081507314,0.6274050703207716,2.1019832480941205,1.4084929063586125,7.644340404181827,-7.635082850191499,17.678194904822277,-37.28441871661327,-0.10159673985657833,-0.3969084472147531,0.004677610123585943,-245.49410199950486,-298.47270519907994
31,(주)승화프리텍,111610,13-Dec,건설업,188.69,-32.66,-2.48,-1.29,-1.04,7.07,15.2,-0.87,1.57,6.26,0.32,-39.66,9.19,0.83,208.89,54.0,132.76,47.0,-28.1,0.013690901286192946,0.44,-10.6,11268501.0,20.34,79.66,47.3,14.28,0.67625550241655,-0.6528919291574744,0.32374452885006727,0.33194512739538296,2.069889869145426,7.504919103017537,26.16123796500418,-18.766442938758242,-15.108878118176783,-0.04169943778033094,-0.14458931415369583,0.04001081110289385,86.49800573136093,85.1748244030473
33,(주)에스제이케이,80440,13-Dec,도매 및 소매업,147.78,-57.75,-6.09,-3.96,-3.63,3.07,-40.45,-2.54,4.44,-12.3,0.38,-49.29,5.08,1.33,177.92,41.19,383.62,27.86,-31.27,0.005057354570928851,0.68,-21.82,36006141.0,-0.68,100.68,40.95,4.56,0.6401889081008661,-0.1323670981391167,0.35981109189913385,0.17779200498048375,2.1705345326117027,7.937265050015183,-41.49605468761155,-22.965183026261005,-9.549510546599816,-0.06975044482559023,-0.39151123994968,0.01920725436694102,-13.051255959713501,-76.8124109889723
35,(주)제이웨이,58420,13-Dec,정보통신업,34.19,-37.42,3.51,11.38,-15.24,-0.52,45.54,3.01,0.94,8.76,0.78,-41.25,19.6,2.65,35.91,146.14,75.96,128.69,11.61,0.22958630944992048,2.72,-29.35,10639609.0,14.69,85.31,16.27,11.78,0.2642011261013633,-1.6598766660099946,0.7357988738986367,0.2796792626495955,0.8593990871477662,7.093631356747028,-10.250033797651614,-2.8498243101428122,-14.381416801429692,-0.10414005327446851,-1.0176245580951147,0.00683524821944055,12.206875416107453,-26.395211717841626
37,(주)태창파로스,39850,13-Dec,도매 및 소매업,35.73,-67.0,-19.71,-63.25,-81.22,-0.23,-2200.4,-18.56,0.7,-48.03,0.79,-76.61,5.57,36.6,41.55,113.47,68.89,88.13,3.4,0.002534505992130631,2.59,-53.16,10559467.0,10.17,89.83,4.46,14.74,0.2935202379099113,-2.675141188755572,0.7064797620900887,0.5000167148588087,1.0100965598127978,7.049577911394452,-24.937127962085302,-29.93920796854659,-25.40284848341846,-0.31606357168186927,-1.7365222458235543,0.0038912819932518704,-106.07268289647922,-40.238622269680704
