회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS),자산(*)(IFRS),당기순이익(손실)(IFRS),현금및현금성자산(*)(IFRS),금융비용(IFRS),부채(*)(IFRS),자본(*)(IFRS),판매비와 관리비(물류원가 등 포함)(*)(IFRS),비유동자산(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS),기타(영업)비용(*)(IFRS),이익잉여금(결손금)(*)(IFRS)
(주)씨에스에이코스믹,083660,2019/12,57196967,27471968,-7405600,2991240,0,11377096,16094872,31923615,12314454,-5640677,0,-34670264
(주)씨엔플러스,115530,2019/12,16364900,19805811,-6456601,126662,0,6997307,12808504,3066277,9255952,-251997,0,-30002584
(주)씨엠에스에듀,225330,2019/12,78709378,99073349,4183597,2501243,0,62133044,36940305,70479189,88516775,8230189,0,5931866
(주)씨유메디칼시스템,115480,2019/12,68976185,94436187,-4923245,6488387,0,46333764,48102422,9961743,57578306,351105,0,6112459
(주)씨제이이엔엠,035760,2019/12,3157133395,4350964815,319727575,78253131,0,1566383070,2784581744,1038879399,3216569205,287109830,0,1040800328
(주)씨젠,096530,2019/12,97156071,181120290,25801354,42742983,0,29279871,151840419,39479404,55857255,21983384,0,66625526
(주)씨티씨바이오,060590,2019/12,104824069,168288053,-8230447,9218218,0,92427165,75860887,23353585,99109663,3759118,0,-12243405
(주)씨티케이,260930,2019/12,108931323,195941411,12106726,18036423,0,16028830,179912581,17748212,106521524,9421030,0,65660952
(주)아가방앤컴퍼니,013990,2019/12,129047307,185124158,-15683904,2285302,0,50084260,135039898,69480822,111092468,355155,0,81914998
(주)아나패스,123860,2019/12,60833182,124489670,-22209910,9228074,0,69285735,55203935,38304149,22036838,-23615808,0,912732
(주)아난티,025980,2019/12,71418465,527646693,8071195,44239484,0,217007873,310638820,19780087,392742204,13176195,0,24028013
(주)아리온테크놀로지,058220,2019/12,23341145,85947297,-6293540,49544,0,67387649,18559649,6980115,66523528,1415652,0,-34620239
