회사명,거래소코드,회계년도,유동부채비율(IFRS연결),매출액순이익률(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),이자보상배율(이자비용)(IFRS연결),금융비용 대 총비용비율(IFRS연결),설비투자효율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),자본금회전률(IFRS연결),총자본투자효율(IFRS연결),총자본회전률(IFRS연결),자기자본순이익률(IFRS연결),매출채권회전률(IFRS연결),유형자산회전율(IFRS연결),부채비율(IFRS연결),유동비율(IFRS연결),자기자본배율(IFRS연결),당좌비율(IFRS연결),순운전자본비율(IFRS연결),현금비율(IFRS연결),타인자본회전률(IFRS연결),총자본순이익률(IFRS연결),유동부채비율(IFRS),매출액순이익률(IFRS),CASH FLOW 대 매출액비율(IFRS),CASH FLOW 대 부채비율(IFRS),이자보상배율(이자비용)(IFRS),금융비용 대 총비용비율(IFRS),설비투자효율(IFRS),CASH FLOW 대 총자본비율(IFRS),자본금회전률(IFRS),총자본투자효율(IFRS),총자본회전률(IFRS),자기자본순이익률(IFRS),매출채권회전률(IFRS),유형자산회전율(IFRS),부채비율(IFRS),유동비율(IFRS),자기자본배율(IFRS),당좌비율(IFRS),순운전자본비율(IFRS),현금비율(IFRS),타인자본회전률(IFRS),총자본순이익률(IFRS),부채(*)(IFRS연결),자산(*)(IFRS연결),현금및현금성자산(*)(IFRS연결),자본(*)(IFRS연결),비유동자산(*)(IFRS연결),이익잉여금(결손금)(*)(IFRS연결),매출액(수익)(*)(IFRS연결),당기순이익(손실)(IFRS연결),이자비용(IFRS연결),판매비와 관리비(물류원가 등 포함)(*)(IFRS연결),* (정상)영업손익(보고서기재)(IFRS연결),장기차입금(*)(IFRS연결),단기차입금(*)(IFRS연결),유동성장기부채(*)(IFRS연결),유동자산(*)(IFRS연결),재고자산(*)(IFRS연결),매출원가(*)(IFRS연결),매출총이익(손실)(IFRS연결),부채(*)(IFRS),자산(*)(IFRS),현금및현금성자산(*)(IFRS),자본(*)(IFRS),비유동자산(*)(IFRS),이익잉여금(결손금)(*)(IFRS),매출액(수익)(*)(IFRS),당기순이익(손실)(IFRS),이자비용(IFRS),판매비와 관리비(물류원가 등 포함)(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS),장기차입금(*)(IFRS),단기차입금(*)(IFRS),유동성장기부채(*)(IFRS),유동자산(*)(IFRS),재고자산(*)(IFRS),매출원가(*)(IFRS),매출총이익(손실)(IFRS)
(주)네이처셀,7390,Dec-11,,,,,,,,,,,,,,,,,,,,,,,215.45,-7.12,5.51,6.9,-1.42,2.15,26.94,4.79,1.84,7.86,0.9,-38.72,5.87,2.75,227.53,85.98,63.55,49.74,-9.22,0.47,1.08,-6.41,,,,,,,,,,,,,,,,,,,18204682,26205792,640918,8001110,11383569,-8969655,22793853,-1623029,606479,2346948,-859207,0,8227851,3009826,14822222,6248126,21306113,1487740
(주)네이처셀,7390,Dec-12,,,,,,,,,,,,,,,,,,,,,,,162.13,-6.98,2.45,4.11,-0.67,2.29,24.53,2.68,2,9.5,1.07,-22.84,9.62,2.94,187.83,96.11,59.16,53.03,-2.19,2.74,1.58,-7.44,,,,,,,,,,,,,,,,,,,16199758,24824589,383074,8624830,11386113,-10893632,27205250,-1898931,682913,3147013,-457256,0,5768351,0,13438476,6023763,24515493,2689757
(주)네이처셀,7390,Dec-13,,,,,,,,,,,,,,,,,,,,,,,108.39,-12.01,-0.29,-0.7,1.54,2.35,27.15,-0.37,1.76,11.38,1.22,-36.18,10.54,3.03,113.68,91.07,58.16,49.7,-4.53,8.27,2.05,-14.67,,,,,,,,,,,,,,,,,,,12245124,23016530,965619,10771406,12384026,-14421789,29208214,-3508978,741327,2385894,1138944,230000,3525045,2100000,10632504,4829731,25683376,3524838
(주)네이처셀,7390,Dec-14,,,,,,,,,,,,,,,,,,,,,,,61.15,7.47,1.7,4,-2.98,1.2,48.72,1.76,1.34,19.33,1.07,15.46,9.18,2.62,78.47,139.91,71,86.18,13.67,28.71,2.2,7.97,,,,,,,,,,,,,,,,,,,10788072,24536576,2414014,13748504,12773979,-12554994,25355151,1895130,437554,2700387,-1304263,230000,3240000,0,11762597,4516689,23959027,1396124
(주)네이처셀,7390,Dec-15,,,,,,,,,,,,,,,,,,,,,,,35.63,-4.37,1.79,3.83,-2.61,0.51,48.87,1.19,1.39,9.93,0.87,-5.88,9.71,3.2,45.07,173.5,128.93,134.46,18.05,50.03,2.44,-3.79,,,,,,,,,,,,,,,,,,,14282755,45969748,5649330,31686993,26378793,-14024295,30553552,-1335361,445266,4358089,-1163640,230000,2740000,1680000,19590955,4408145,27359103,3194449
(주)네이처셀,7390,Dec-16,,,,,,,,,,,,,,,,,,,,,,,33.77,-12.03,-2.18,-3.13,-7.91,-0.13,45.55,-1.11,1.07,9.36,0.54,-9.81,8.03,2.66,54.82,153.99,133.91,104.71,11.78,30.01,1.63,-6.54,,,,,,,,,,,,,,,,,,,18648340,52666628,3447384,34018288,34977796,-3412495,26787767,-3223414,458771,7563692,-3629988,1917000,2240000,46000,17688832,5660744,22854062,3933704
(주)네이처셀,7390,Dec-17,,,,,,,,,,,,,,,,,,,,,,,24.46,-1.69,2.45,5.58,-0.81,1.06,66.03,1.3,1.05,14.26,0.52,-1.25,8.62,2.48,30.29,211.86,149.46,162.93,21,93.66,1.78,-0.89,,,,,,,,,,,,,,,,,,,11958755,51440663,9043835,39481908,30982369,-5858116,27215252,-460739,649883,8147374,-525612,1871000,2240000,46000,20458294,4724717,19593489,7621763
(주)노블엠앤비,106520,Dec-10,108.66,6.02,12.81,14.5,3.8,0.94,53.88,8.95,13.3,20.71,0.7,10.99,3.64,1.8,161.3,92.78,728.57,80.22,-3,12.16,1.13,4.2,105.82,7.01,14.34,16.33,4.48,0.95,59.76,9.99,13.3,21.43,0.7,12.59,3.64,1.94,157.56,91.78,741.4,79.11,-3.38,11.76,1.14,4.89,23613477,38252648,1934766,14639170,23494966,7141848,26733160,1608335,521620,2095401,1982835,6390660,4425665,2001492,14757681,1996929,22367590,4365570,23470990,38367934,1853134,14896944,23900035,7408682,26733092,1875169,521459,1743412,2334755,6390660,4425665,2001492,14467898,1996929,22367590,4365502
(주)노블엠앤비,106520,Dec-11,127.57,9.5,8.55,15.25,12.12,1.07,96.49,9.48,29.05,30.19,1.28,32.11,5.04,3.72,164.34,117.75,991.06,103.11,8.57,17.58,2.07,12.21,120.57,10.26,8.91,16.23,13.31,1.04,98.2,9.89,29.05,26.23,1.28,33.82,5.04,4.18,156.27,120.16,1020.81,104.94,9.49,16.77,2.1,13.17,32725030,52638195,4465857,19913165,22725764,12484861,58378017,5546860,662719,2865940,8031962,5379220,6934916,1025258,29912431,3718282,47021643,11356374,32052480,52563458,4147426,20510979,22846933,13191753,58378017,5986918,643349,2136289,8563193,5379220,6356401,1025258,29716525,3764131,47215966,11162051
(주)노블엠앤비,106520,Dec-12,89.32,9.23,7.73,13.53,11.2,1.03,92.6,7.22,36.15,31.38,1.19,25.23,4.15,3.57,114.38,140.74,1568.1,131.98,16.98,42.98,2.1,10.96,81.89,10.92,8.77,15.49,13.46,0.99,103.38,7.97,35.31,32.31,1.16,28,4.09,3.86,105.86,145.36,1639.14,136.21,18.04,44.43,2.11,12.63,48903292,91658984,16414306,42755691,37907602,19800351,85612148,7906235,971815,4835784,10884359,7800855,14150169,2511040,53751382,3347412,69892005,15720143,47311402,92004066,16259777,44692664,38804895,21730633,83617749,9129624,909262,3765441,12239759,7800855,13004851,2511040,53199171,3347412,67612549,16005200
