,회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류),유동부채비율,매출액순이익률,CASH FLOW 대 매출액비율,CASH FLOW 대 부채비율,이자보상배율(이자비용),금융비용 대 총비용비율,설비투자효율,CASH FLOW 대 총자본비율,자본금회전률,총자본투자효율,총자본회전률,자기자본순이익률,매출채권회전률,유형자산회전율,부채비율,유동비율,자기자본배율,당좌비율,순운전자본비율,현금비율,타인자본회전률,총자본순이익률,매출액총이익률,매출원가 대 매출액비율,차입금의존도,재고자산회전률,총자산부채비율,현금비율(CASHTA),유보이익대총자산비율,판매관리비대매출액,고정비율,log총자산,총자본증가율,유동자산증가율,매출액증가율,총자산영업이익률,순이익률,이자비용/부채,영업이익증가율,순이익증가율,업종,규모,층화,label
96,(주)파이오링크,170790,14-Dec,제조업,22.55,9.75,4.52,10.26,36.61,-1.42,397.53,2.76,9.08,30.67,0.59,7.84,2.29,8.83,36.8,450.21,1071.71,337.83,57.73,165.4,2.29,5.71,61.08,38.92,2.58,4.84,0.268997696,0.272678344,0.346768507,0.538606064,0.352655422,7.589001604,-10.82011184,-19.1900146,2.531791573,0.042298878,0.223656517,0.001155435,-59.92602579,-46.2548896,2,0,2,1
97,(주)플렉스컴,65270,14-Dec,제조업,364.93,-16.94,-2.73,-3.16,-11.58,1.07,33.01,-2.51,44.55,14.7,0.9,-55.02,12.18,2.07,384.92,67.67,998.56,28.4,-24.33,5.18,1.24,-15.22,-9.82,109.82,63.85,3.62,0.793779893,0.038978077,0.093663464,0.073241008,2.379499194,8.478024003,-42.56865966,-15.25334101,-47.28559696,-0.154065134,-0.210378163,0.013300412,-295.5834135,-344.237106,2,1,5,1
98,(주)피엘에이,82390,14-Dec,제조업,60.85,-414.84,-103.5,-40.83,-12.89,2.0,-73.69,-16.28,0.18,-38.05,0.13,-86.5,7.04,0.32,66.3,16.13,60.7,15.37,-30.69,9.94,0.37,-55.49,-92.62,192.62,34.33,22.68,0.398659441,0.03635355,-4.088997473,0.453483974,1.564798353,7.375406088,-33.72571258,1.435767332,-65.90317282,-0.184552905,-1.547902942,0.014320817,-118.6147809,-388.0675612,2,0,2,1
99,KCW(주),68060,14-Dec,제조업,113.54,1.51,7.45,15.94,2.68,0.91,92.13,9.62,51.09,35.32,1.29,4.09,4.98,3.25,152.13,117.39,1390.35,87.6,7.83,20.54,2.08,1.94,13.52,86.48,32.26,9.73,0.603371714,0.092514764,0.283717626,0.107486991,1.188372612,8.031790213,6.742025765,-0.799900941,6.227209503,0.035666747,0.031433037,0.013290846,13.2601431,-34.31520085,2,1,5,1
100,동일철강(주),23790,14-Dec,제조업,243.81,-36.32,-20.16,-10.53,-3.11,3.83,10.53,-7.98,10.76,4.19,0.44,-45.59,5.46,1.01,312.93,69.62,658.36,18.66,-17.94,1.35,0.67,-15.94,-6.97,106.97,66.56,1.84,0.757830678,0.007988971,-0.013012846,0.118716946,2.431921785,7.999310066,-37.67727578,56.31248815,-10.53771159,-0.082721522,-0.245177722,0.026593145,-418.9292682,-4142.797801,2,0,2,1
101,제이앤유글로벌,86200,14-Dec,제조업,62.0,-30.69,-0.48,-0.7,-7.04,1.68,18.4,-0.28,9.25,4.48,0.53,-26.16,5.89,2.4,67.35,169.95,922.83,133.39,25.91,47.2,1.4,-16.41,13.73,86.27,29.27,3.56,0.402465211,0.174845443,0.456999758,0.37438477,0.619881802,7.909367466,-21.72695658,-27.79807813,-27.3475153,-0.126741505,-0.42908568,0.01799331,-22.38998405,-46.8355411,2,0,2,1
102,현진소재(주),53660,14-Dec,제조업,213.1,-22.02,-4.14,-3.4,-3.62,3.45,-4.63,-2.47,40.61,-2.33,0.6,-45.93,5.05,1.17,265.87,78.26,1572.84,39.57,-12.66,0.51,0.82,-13.13,-10.24,110.24,62.61,2.65,0.726678889,0.002991268,0.062248124,0.071069476,1.990966285,8.734653725,-29.40578844,-4.667475331,33.19253255,-0.100846804,-0.188709121,0.027877507,-197.5259348,-303.8815675,2,1,5,1
103,(주)비엔씨컴퍼니,58370,14-Dec,서비스업,48.8,-44.25,-41.75,-75.58,-6.8,1.42,-4747.52,-25.31,0.76,-19.55,0.64,-54.85,2.82,82.65,50.33,163.24,63.45,141.08,20.53,3.62,1.32,-28.32,4.78,95.22,14.64,10.13,0.334813587,0.011765641,-0.895718352,0.294346143,0.70676584,7.301185315,112.6492089,27.78031636,-34.56895223,-0.157821135,-0.5857064,0.023209143,7.491258043,12.04274289,1,0,1,1
104,(주)엠제이비,74150,14-Dec,제조업,88.59,255.68,-224.38,-36.61,-1.58,0.0,3986.75,-18.01,0.63,22.6,0.12,57.66,2.54,15.75,96.89,191.18,267.04,191.13,41.03,8.89,0.27,31.45,23.1,76.9,10.17,220.03,0.49209509,0.0400076,-0.046244065,0.340674756,0.275129204,7.854610579,148.8117985,193.3262645,-55.80879064,-0.013492149,0.691920618,0.008560116,-221.9467256,218.3202025,2,0,2,1
105,(주)위메이드맥스,101730,14-Dec,서비스업,8.25,-13.02,27.41,94.09,999999999.0,-3.7,423.36,7.75,7.85,18.24,0.27,-4.49,4.02,6.47,8.98,699.82,2189.78,699.82,45.42,291.78,3.15,-3.49,0.0,0.0,0.0,0.0,0.082362465,0.220949853,0.499459254,1.154416492,0.512257822,8.033270849,-9.208138828,-22.15903891,-40.67991482,-0.041418184,-0.41020956,0.0,-126.0308466,-127.1397281,1,0,1,1
106,(주)제넨바이오,72520,14-Dec,서비스업,270.34,-25.47,-1.59,-3.05,-19.09,0.77,-4.06,-2.27,35.59,-2.36,1.24,-89.1,6.76,2.51,288.63,55.0,643.63,39.29,-31.3,3.37,1.91,-31.47,-11.64,111.64,44.34,10.39,0.742688891,0.023457877,-0.077268147,0.116203464,2.399516022,7.972210557,-53.73904858,-47.50504665,-42.56122646,-0.287402012,-0.486605559,0.015054666,-641.6652194,-1487.097733,1,1,4,1
107,(주)피에이치씨,57880,14-Dec,서비스업,45.1,-248.44,-26.45,-23.48,-53.26,0.27,-237.44,-7.73,2.35,-60.97,0.21,-71.17,0.93,0.98,49.13,225.69,543.59,145.86,38.01,25.15,0.8,-52.7,-77.8,177.8,22.21,0.88,0.329458612,0.076065394,-0.074365414,0.986513721,0.473462675,7.725378568,-50.42982862,-48.64792083,-50.11825929,-0.374290589,-1.979636257,0.007027649,-589.2514008,-1183.658074,1,0,1,1
108,더이앤엠(주),89230,14-Dec,서비스업,412.42,-90.04,-0.97,-0.72,-6.58,4.97,-55.92,-0.61,3.23,-36.84,0.63,-385.82,8.22,0.94,577.86,49.03,75.3,17.06,-31.01,0.23,0.74,-56.92,-55.36,155.36,65.79,3.25,0.852477116,0.001423513,-0.868763019,0.100372143,4.756309377,8.02906449,-70.82300604,-56.04688383,7.374166514,-0.277417068,-0.492664719,0.041832955,-104.9087951,-115.6500987,1,0,1,1
109,동신건설(주),25950,14-Dec,제조업,15.98,3.82,19.93,73.95,153.39,-2.0,3116.58,12.1,12.02,9.24,0.6,2.77,26.66,220.26,19.56,520.01,1656.64,491.53,56.14,312.26,3.51,2.3,11.23,88.77,0.81,28.79,0.163590523,0.417348985,0.76506766,0.079945251,0.36462018,7.920058339,0.356791713,-5.042698081,-42.08045051,0.019462509,0.134191736,0.000126882,-81.16498277,-75.94645435,2,0,2,1
110,에스케이커뮤니케이션즈(주),66270,14-Dec,서비스업,30.74,-19.58,-14.71,-32.9,999999999.0,-1.7,216.89,-7.84,4.32,10.55,0.49,-12.85,4.96,6.66,31.29,216.07,617.95,216.01,27.18,49.83,1.96,-9.63,0.0,0.0,0.0,3949.2,0.238338745,0.116685676,-0.48755886,1.17009018,0.648629141,8.245927675,-11.74471742,-17.79896202,-26.78883168,-0.083637605,-0.38406795,0.0,64.35768191,56.11269912,1,0,1,1
111,(주)더블유아이,73570,15-Dec,제조업,42.68,-4.88,62.04,130.24,0.18,6.57,109.42,41.77,2.15,21.48,0.53,-7.78,9.72,2.96,47.21,43.54,216.58,40.47,-16.37,3.89,0.79,-2.58,16.71,83.29,23.31,6.16,0.320719966,0.011272033,-1.507177864,0.151162136,1.286299311,7.352675847,313.1039495,-61.52350201,-87.19647722,0.00841697,-0.038620884,0.045648948,1212.191219,97.13909476,2,0,2,1
112,(주)비덴트,121800,15-Dec,제조업,19.53,-18.32,12.52,14.65,-6.47,0.19,35.6,4.03,3.86,7.78,0.36,-8.8,8.47,1.47,37.97,335.74,793.04,186.19,33.37,106.73,1.5,-6.66,34.08,65.92,23.2,1.51,0.275216398,0.151088987,0.333562989,0.435958893,0.723941528,7.847749512,17.58869852,13.82669676,-21.86339398,-0.034613937,-0.274844125,0.005353908,-372.6956704,-492.414137,2,0,2,1
113,(주)스틸플라워,87220,15-Dec,제조업,188.62,-25.59,-6.41,-4.82,-2.54,4.7,-2.56,-3.35,11.78,-1.47,0.48,-38.72,3.2,0.87,227.88,54.74,509.73,41.84,-26.04,4.36,0.69,-12.23,3.59,96.41,59.72,5.11,0.695013437,0.025102132,-0.061908698,0.199618599,2.24629297,8.421370447,-15.69156821,-36.3681374,-31.26419051,-0.078222242,-0.176010113,0.030840709,0.438420302,-30.19904823,2,1,5,1
114,(주)썬코어,51170,15-Dec,제조업,157.16,-32.7,-0.18,-0.11,-6.71,2.58,0.79,-0.07,3.49,0.28,0.51,-35.88,3.16,1.33,183.54,79.72,233.87,55.74,-11.24,2.59,0.83,-16.8,3.65,96.35,42.84,3.04,0.647316067,0.014335196,-0.147926807,0.294910999,1.582440474,8.069563051,47.20013405,53.64126188,18.06620659,-0.132741335,-0.27174335,0.019779677,-390.3342887,-368.564145,2,0,2,1
115,(주)씨엔플러스,115530,15-Dec,제조업,157.13,-44.41,-6.92,-5.71,-5.9,1.77,-4.44,-3.76,11.53,-2.57,0.51,-56.12,5.92,0.85,192.84,46.48,708.2,38.03,-28.71,4.27,0.85,-22.73,7.73,92.27,57.9,10.96,0.65851887,0.02291613,-0.063317239,0.239511414,2.198026248,7.710469483,-33.0328157,-14.63122555,-18.55235143,-0.083028716,-0.379483141,0.014066748,36.43819199,5.388592524,2,0,2,1
116,(주)알파홀딩스,117670,15-Dec,제조업,97.19,5.08,11.67,18.0,1.16,1.61,150.41,8.89,12.65,20.61,0.76,7.56,6.1,5.41,97.71,124.3,839.97,123.2,11.95,61.68,1.54,3.85,18.03,81.97,19.0,103.5,0.494195902,0.303201416,0.38988672,0.148247065,0.76896251,7.824122624,-2.33171139,9.556490257,33.27376053,0.024309639,0.078429018,0.020876009,-68.64678945,-42.62200103,2,0,2,1
117,(주)에스엘바이오닉스,214310,15-Dec,제조업,29.01,8.96,11.03,42.47,25.56,0.25,101.25,12.97,21.98,40.16,1.18,15.4,5.44,2.83,43.97,247.76,1277.77,218.36,29.77,33.41,3.85,10.54,20.41,79.59,15.76,19.86,0.30541917,0.067317122,0.170806113,0.087374752,0.721016208,7.687184412,79.56888992,46.55635318,18.93082611,0.15537815,0.298804299,0.006075886,-22.44893984,-17.95850274,2,0,2,1
118,(주)에이루트,96690,15-Dec,제조업,9.91,8.46,9.72,70.87,196.34,-1.81,67.17,6.39,5.87,15.87,0.69,6.26,6.3,2.61,9.91,684.34,812.61,589.35,52.67,219.67,9.78,5.82,26.22,73.78,5.46,8.07,0.090140404,0.198008436,0.624215456,0.16107021,0.421094377,7.649880373,5.12964839,15.38517345,5.590777312,0.069596103,0.827259752,0.000354476,97.77565995,-6.62342601,2,0,2,1
119,(주)중앙디앤엠,51980,15-Dec,제조업,149.31,-115.38,6.42,6.69,-17.87,1.11,-462.62,4.2,1.99,-54.52,0.55,-103.14,4.7,5.43,168.1,121.5,105.5,94.07,11.98,64.2,1.45,-63.44,-25.86,125.86,35.65,3.83,0.627007689,0.357555463,-0.06742987,0.223711049,0.86683596,7.45950848,-66.15883626,18.2158553,-8.163411552,-0.265159281,-1.669857578,0.014840221,-98.45090954,-129.1993336,2,0,2,1
