,회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류),유동부채비율,매출액순이익률,CASH FLOW 대 매출액비율,CASH FLOW 대 부채비율,이자보상배율(이자비용),금융비용 대 총비용비율,설비투자효율,CASH FLOW 대 총자본비율,자본금회전률,총자본투자효율,총자본회전률,자기자본순이익률,매출채권회전률,유형자산회전율,부채비율,유동비율,자기자본배율,당좌비율,순운전자본비율,현금비율,타인자본회전률,총자본순이익률,매출액총이익률,매출원가 대 매출액비율,차입금의존도,재고자산회전률,총자산부채비율,현금비율(CASHTA),유보이익대총자산비율,판매관리비대매출액,고정비율,log총자산,총자본증가율,유동자산증가율,매출액증가율,총자산영업이익률,순이익률,이자비용/부채,영업이익증가율,순이익증가율,업종,규모,층화,label
792,(주)흥국에프엔비,189980,19-Dec,제조업,37.43,9.86,13.2,28.11,117.53,-0.54,63.18,7.94,14.65,22.97,0.63,8.57,10.19,1.32,39.39,160.65,1745.38,111.08,16.29,38.31,2.27,6.2,34.03,65.97,22.08,4.46,0.282586001,0.102857129,0.399304156,0.232201378,0.568618244,7.950862114,9.1,6.68,12.84,0.067928668,0.061971904,0.002089053,36.714534,92.09333408,2,0,2,0
1079,피앤씨테크(주),237750,19-Dec,제조업,12.34,12.99,8.17,20.27,79.05,-2.35,37.51,2.56,6.59,11.49,0.32,4.74,4.99,1.0,14.48,561.78,1834.33,474.82,49.78,55.06,2.65,4.17,27.53,72.47,3.58,3.45,0.126498816,0.059364365,0.464040141,0.168976465,0.394342665,7.833870537,4.68,9.56,-6.03,0.034109653,0.041678951,0.003558256,24.92801285,19.32147567,2,0,2,0
102,(주)디알젬,263690,19-Dec,제조업,76.91,9.1,4.14,8.16,114.19,0.0,135.66,3.95,10.61,26.82,1.1,17.88,5.63,5.12,93.86,176.08,574.3,101.87,30.18,43.31,2.5,10.01,28.96,71.04,9.72,3.92,0.484163492,0.171830228,0.216740081,0.213513079,0.301464593,7.79965928,36.21,38.44,6.11,0.083648501,0.100077251,0.001663885,8.735615894,17.56883666,2,0,2,0
541,(주)인콘,83640,19-Dec,제조업,55.27,-64.06,-3.78,-3.65,-0.87,4.78,-137.2,-1.32,2.11,-10.36,0.33,-36.6,6.86,4.61,56.5,120.18,355.63,116.42,7.13,24.66,0.79,-21.21,18.11,81.89,23.68,19.71,0.36103727,0.087101537,0.064916168,0.258148376,0.575547251,7.946072848,-9.42,-29.56,-25.04,-0.025518701,-0.212094394,0.069570488,-20.78807089,-1527.460531,2,0,2,0
424,(주)엠투엔,33310,19-Dec,제조업,47.23,9.24,4.83,5.8,0.46,0.9,114.31,2.27,4.23,14.07,0.47,7.75,4.6,3.57,64.08,77.73,508.9,65.38,-6.41,19.59,1.15,4.38,12.14,87.86,23.38,11.1,0.390530515,0.056379855,0.40474285,0.112540767,0.776268988,7.996185755,2.33,-21.15,-12.74,0.004211534,0.043789705,0.022195761,-75.20291669,-2.618031546,2,0,2,0
959,에이비엘바이오(주),298380,19-Dec,제조업,7.07,-927.68,-457.81,-167.62,-445.6,-3.01,-613.38,-12.78,0.18,-21.64,0.03,-25.61,1.5,1.03,8.25,1443.66,582.77,1443.66,87.7,977.18,0.35,-23.74,0.0,0.0,0.56,0.0,0.076237507,0.637820757,-1.702452315,11.13519903,0.05770195,8.155040571,-15.38,-16.41,217.12,-0.259349019,-0.237382752,0.007958273,-68.26226761,68.43527747,2,0,2,0
47,(주)녹십자셀,31390,19-Dec,제조업,57.5,29.17,14.25,7.87,4.05,2.27,60.06,3.51,6.33,17.23,0.27,14.52,5.97,0.54,80.65,93.13,1397.29,87.28,-2.19,4.14,0.6,7.92,57.46,42.54,38.5,15.19,0.446429388,0.013161753,0.151514484,0.424403518,0.703589006,8.186736018,22.61,10.25,28.02,0.040785888,0.079236918,0.022215967,50.81338103,-20.48214406,2,0,2,0
219,(주)삼일기업공사,2290,19-Dec,제조업,17.5,4.31,7.13,49.41,999999999.0,-0.97,96.66,7.79,12.3,5.58,1.16,5.69,0.0,18.75,18.71,595.39,948.75,571.52,73.04,462.7,9.53,5.0,9.31,90.69,0.02,30.7,0.157622938,0.682161567,0.753588921,0.045470405,0.122209759,7.844036724,13.03,15.91,35.74,0.055221507,0.049999255,0.0,19.45181892,6.32701781,2,0,2,0
402,(주)엔바이오니아,317870,19-Dec,제조업,21.82,10.16,26.09,29.52,4.2,3.07,53.06,8.41,3.02,16.2,0.4,7.25,12.57,0.98,39.85,380.25,579.34,331.53,43.73,176.51,0.93,4.1,43.35,56.65,17.21,4.7,0.284943462,0.27544212,-0.163022472,0.296133687,0.406624919,7.479171417,67.2,139.74,13.76,0.055442268,0.041006502,0.030353871,-37.09426979,52.52509965,2,0,2,0
720,(주)팬젠,222110,19-Dec,제조업,102.61,-310.19,-160.91,-22.44,-6.57,5.48,-62.14,-11.86,0.6,-10.99,0.07,-39.4,5.23,0.41,112.1,135.44,382.22,131.21,17.14,23.08,0.15,-21.11,-72.79,172.79,44.48,4.49,0.528531209,0.111643011,-0.881112856,2.040954712,0.344793594,7.591987215,-14.31,-17.05,-49.27,-0.188399416,-0.21105895,0.061761962,-162.1286043,-93.03083761,2,0,2,0
500,(주)유에스티,263770,19-Dec,제조업,31.35,4.86,2.02,7.25,7.43,0.47,42.0,1.73,22.09,14.88,0.8,5.64,6.05,2.38,31.42,267.27,1957.23,159.28,39.9,0.61,2.62,3.9,12.86,87.14,19.17,2.65,0.23909007,0.001459022,0.357364003,0.055862074,0.362477085,7.785059598,-11.99,-14.8,5.55,0.058527936,0.039046211,0.025649213,11.00797579,123.4611727,2,0,2,0
926,아이쓰리시스템(주),214430,19-Dec,제조업,23.75,0.35,15.5,35.73,-29.85,-0.3,70.93,8.78,14.48,25.17,0.57,0.26,5.98,1.66,32.6,309.55,1928.15,162.08,37.53,72.07,2.38,0.2,9.1,90.9,9.81,2.11,0.245839892,0.129074447,0.461283353,0.137190055,0.44563845,7.961640208,-0.41,-12.31,-25.02,-0.026121099,0.001960527,0.003679266,-126.6520119,-98.16190771,2,0,2,0
572,(주)제일바이오,52670,19-Dec,제조업,9.06,8.89,14.38,109.08,440.39,-1.18,106.07,9.54,3.06,16.27,0.69,6.67,8.45,4.23,9.58,981.16,421.57,728.38,72.83,193.75,8.1,6.1,21.22,78.78,0.31,3.37,0.087460831,0.160140998,0.369629706,0.189555862,0.189022636,7.539680339,7.17,22.48,-17.34,0.015530067,0.061002015,0.000415938,-62.93301405,96.39990579,2,0,2,0
179,(주)바이오솔루션,86820,19-Dec,제조업,5.85,-7.85,-8.61,-20.61,-35.51,-7.46,121.74,-1.48,2.24,7.63,0.17,-1.44,2.89,3.0,7.72,1593.06,1197.09,1574.22,81.03,53.7,2.36,-1.33,66.44,33.56,1.47,14.53,0.071628002,0.029144172,-0.245246053,0.874667238,0.135397891,7.714392434,-2.0,-7.62,-15.61,-0.035686087,-0.013328083,0.014003113,-272.4320701,-151.7612968,2,0,2,0
89,(주)동운아나텍,94170,19-Dec,제조업,69.46,12.06,-10.67,-19.94,-1.77,1.88,2789.6,-10.82,7.7,37.02,1.14,29.12,5.05,97.97,118.58,235.17,327.45,142.08,42.95,63.12,2.18,13.8,28.17,71.83,36.58,4.3,0.542497912,0.200577069,0.324185145,0.321657341,0.252739679,7.732723441,29.68,40.62,17.27,-0.045737111,0.138025143,0.049080557,65.15097889,219.1551439,2,0,2,0
438,(주)오스테오닉,226400,19-Dec,제조업,36.42,4.47,-9.59,-4.58,0.35,8.81,55.5,-2.05,2.64,14.51,0.23,1.74,1.13,1.01,80.67,297.54,684.68,228.99,39.82,50.92,0.57,1.04,45.06,54.94,35.55,1.94,0.446517828,0.102649023,-0.173726075,0.407624392,0.400244149,7.718645505,18.91,5.78,22.86,0.009956927,0.010355053,0.071050493,253.1076026,1430.830454,2,0,2,0
1087,하이즈항공(주),221840,19-Dec,제조업,24.05,5.03,5.16,6.38,2.96,0.83,50.75,2.77,8.33,25.75,0.55,4.89,8.05,1.04,76.75,317.82,864.25,275.11,29.63,149.61,1.28,2.77,14.31,85.69,34.7,9.1,0.434237737,0.203534979,0.075596521,0.091133334,0.56763731,8.137638636,5.19,15.86,42.53,0.028615301,0.027672185,0.02250699,213.6969512,479.0805618,2,0,2,0
336,(주)알로이스,297570,19-Dec,제조업,27.98,-13.32,-3.78,-21.38,42.24,0.17,-220.47,-5.22,17.42,-2.36,1.38,-24.33,2.82,128.99,32.27,461.26,953.43,395.89,76.42,40.19,5.66,-18.4,26.6,73.4,15.62,9.99,0.243947461,0.085022049,-0.010872592,0.128269052,0.024214321,7.339518816,0.0,0.0,0.0,0.38041988,-0.367913628,0.036922357,93738.48249,-78560.3393,2,0,2,0
444,(주)옵투스제약,131030,19-Dec,제조업,9.02,24.15,26.37,142.02,3846.18,-2.93,123.11,13.4,7.3,22.93,0.54,14.41,8.94,2.57,10.42,912.64,1300.91,852.73,66.36,361.9,5.98,13.1,61.09,38.91,0.15,11.19,0.094326261,0.295514959,0.537008352,0.35959047,0.254770107,8.075433154,14.5,25.44,21.8,0.136297377,0.130978564,0.000390488,41.74628313,45.91857698,2,0,2,0
839,덕산네오룩스(주),213420,19-Dec,제조업,10.04,19.57,15.49,70.93,899.04,-1.18,86.28,8.36,20.38,22.17,0.57,12.73,10.6,1.97,13.36,488.11,3330.75,343.6,34.38,242.2,4.8,11.21,33.99,66.01,0.73,4.19,0.117854021,0.214573199,0.336739661,0.127753094,0.567561363,8.258424105,13.09,8.68,7.92,0.121542409,0.112149532,0.001133535,2.173365068,1.833477664,2,0,2,0
533,(주)이지,37370,19-Dec,제조업,64.52,-0.97,0.89,1.38,2.57,0.77,52.94,0.78,8.96,22.08,0.89,-2.22,4.77,1.49,129.98,100.58,442.62,93.6,0.16,11.63,1.62,-0.86,17.92,82.08,36.55,24.63,0.565180742,0.032618445,-0.04281746,0.156919061,0.717823248,7.887611793,5.28,-19.08,-40.28,0.019921166,-0.008632222,0.014099647,698.5047521,96.21154278,2,0,2,0
77,(주)덕산테코피아,317330,19-Dec,제조업,6.65,18.0,30.06,136.0,67.11,-0.75,50.98,11.7,7.38,19.0,0.51,10.78,8.6,0.97,9.41,624.78,1580.1,489.96,31.91,103.05,3.28,9.11,41.89,58.11,2.23,5.05,0.086040456,0.062655558,0.374830692,0.201753293,0.62013281,8.201011767,86.13,110.48,-12.82,0.10999131,0.091148833,0.010626368,-45.33544436,-40.74765304,2,0,2,0
348,(주)에너토크,19990,19-Dec,제조업,6.37,2.08,12.01,100.45,33.23,-1.49,74.47,6.58,4.81,19.31,0.54,1.2,4.09,2.08,7.01,778.89,821.24,559.17,40.4,176.76,9.18,1.13,27.64,72.36,0.44,4.05,0.065475362,0.105196671,0.688530045,0.267059368,0.536449605,7.632124276,-1.56,-11.21,1.86,0.005100345,0.011310998,0.00259133,-84.80078074,-63.35179276,2,0,2,0
21,(주)나노,187790,19-Dec,제조업,69.57,-0.41,5.06,6.89,-0.54,1.93,44.92,3.21,5.94,15.41,0.66,0.95,6.09,1.5,87.26,113.91,390.8,63.88,5.17,20.69,1.43,-0.27,9.78,90.22,31.17,3.28,0.465978517,0.076868773,0.142785165,0.109640897,0.576821072,8.064986429,7.28,-3.85,-10.07,-0.007751891,-0.002660968,0.031475788,-139.6569821,36.11062369,2,0,2,0
