,회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류),유동부채비율(IFRS연결),매출액순이익률(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),이자보상배율(이자비용)(IFRS연결),금융비용 대 총비용비율(IFRS연결),설비투자효율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),자본금회전률(IFRS연결),총자본투자효율(IFRS연결),총자본회전률(IFRS연결),자기자본순이익률(IFRS연결),매출채권회전률(IFRS연결),유형자산회전율(IFRS연결),부채비율(IFRS연결),유동비율(IFRS연결),자기자본배율(IFRS연결),당좌비율(IFRS연결),순운전자본비율(IFRS연결),현금비율(IFRS연결),타인자본회전률(IFRS연결),총자본순이익률(IFRS연결),총자산부채비율,순이익률,현금비율,이자비용/부채,유보이익대총자산비율,자기자본비율,매출액대판매관리비,고정비율,총자산영업이익율,log총자산,총자본증가율(IFRS연결),유동자산증가율(IFRS연결),매출액증가율(IFRS연결),차입금의존도(IFRS연결),매출액총이익률(IFRS연결),재고자산회전률(IFRS연결),매출원가 대 매출액비율(IFRS연결),영업이익증가율,순이익증가율,업종,규모,층화,label
444,(주)옵투스제약,131030,19-Dec,제조업,9.02,24.15,26.37,142.02,3846.18,-2.93,123.11,13.4,7.3,22.93,0.54,14.41,8.94,2.57,10.42,912.64,1300.91,852.73,66.36,361.9,5.98,13.1,0.0943262612842591,0.1309785636213151,0.2955149592977387,0.0003904880126162,0.5370083522724693,0.9056737387157408,0.3595904699117431,0.2547701069910587,0.1362973765936487,8.075433154028833,14.5,25.44,21.8,0.15,61.09,11.19,38.91,41.7462831289377,45.91857698318732,2,0,2,0
839,덕산네오룩스(주),213420,19-Dec,제조업,10.04,19.57,15.49,70.93,899.04,-1.18,86.28,8.36,20.38,22.17,0.57,12.73,10.6,1.97,13.36,488.11,3330.75,343.6,34.38,242.2,4.8,11.21,0.1178540207548379,0.1121495323272939,0.2145731990417789,0.0011335348250019,0.3367396613266334,0.8821459792451621,0.1277530943079969,0.5675613633548282,0.1215424087790472,8.258424105303558,13.09,8.68,7.92,0.73,33.99,4.19,66.01,2.1733650684413757,1.8334776640526247,2,0,2,0
533,(주)이지,37370,19-Dec,제조업,64.52,-0.97,0.89,1.38,2.57,0.77,52.94,0.78,8.96,22.08,0.89,-2.22,4.77,1.49,129.98,100.58,442.62,93.6,0.16,11.63,1.62,-0.86,0.5651807423827305,-0.0086322218520224,0.032618444733904,0.0140996470254233,-0.0428174600815209,0.4348192576172695,0.1569190608485021,0.7178232480435212,0.0199211660725382,7.887611792861724,5.28,-19.08,-40.28,36.55,17.92,24.63,82.08,698.5047520592257,96.21154278329097,2,0,2,0
77,(주)덕산테코피아,317330,19-Dec,제조업,6.65,18.0,30.06,136.0,67.11,-0.75,50.98,11.7,7.38,19.0,0.51,10.78,8.6,0.97,9.41,624.78,1580.1,489.96,31.91,103.05,3.28,9.11,0.0860404560449806,0.0911488330252444,0.0626555581727615,0.0106263681424425,0.3748306918175522,0.9139595439550192,0.2017532934266527,0.6201328097419032,0.1099913095069654,8.201011766975231,86.13,110.48,-12.82,2.23,41.89,5.05,58.11,-45.33544436,-40.74765304,2,0,2,0
348,(주)에너토크,19990,19-Dec,제조업,6.37,2.08,12.01,100.45,33.23,-1.49,74.47,6.58,4.81,19.31,0.54,1.2,4.09,2.08,7.01,778.89,821.24,559.17,40.4,176.76,9.18,1.13,0.0654753619190205,0.0113109978441653,0.1051966709121119,0.0025913301229914,0.6885300450692777,0.9345246380809794,0.2670593683430582,0.5364496054166648,0.005100345286722,7.632124276300602,-1.56,-11.21,1.86,0.44,27.64,4.05,72.36,-84.80078073811478,-63.35179276445291,2,0,2,0
21,(주)나노,187790,19-Dec,제조업,69.57,-0.41,5.06,6.89,-0.54,1.93,44.92,3.21,5.94,15.41,0.66,0.95,6.09,1.5,87.26,113.91,390.8,63.88,5.17,20.69,1.43,-0.27,0.4659785165702392,-0.0026609682519306,0.0768687730124991,0.0314757876224735,0.1427851652202208,0.5340214748195542,0.109640897399286,0.5768210724680448,-0.0077518913144859,8.064986428619674,7.28,-3.85,-10.07,31.17,9.78,3.28,90.22,-139.65698205119554,36.11062369199296,2,0,2,0
723,(주)포메탈,119500,19-Dec,제조업,24.31,4.27,6.93,19.88,9.97,0.32,28.19,5.7,8.57,19.44,0.84,5.0,5.58,1.13,40.15,146.36,743.99,97.94,8.04,8.98,2.93,3.57,0.2864997295537101,0.0357064458473081,0.0155715333227951,0.0122261971323894,0.4966845884853843,0.7135002704462898,0.0748185792830748,0.7461799920150155,0.0348114855241229,7.797216766274979,3.36,8.61,-7.01,13.51,11.65,10.92,88.35,0.052566728988686966,5.295248878514236,2,0,2,0
344,(주)앤디포스,238090,19-Dec,제조업,59.66,-1.84,8.63,10.04,2.47,2.44,93.46,3.82,9.12,6.86,0.53,-0.64,7.84,4.92,61.46,191.66,1092.57,176.18,33.87,28.38,1.47,-0.97,0.380647267156551,-0.0096763716360402,0.1048778932755273,0.0615541733729686,0.1043733181410222,0.6193527328434489,0.1533630465079182,0.2918006374787222,0.0541773006795272,8.278580175401657,45.68,66.69,76.15,20.99,25.65,6.61,74.35,9.592105108592145,88.60703227497415,2,0,2,0
511,(주)이노와이어리스,73490,19-Dec,제조업,31.84,13.57,12.47,30.13,12.38,1.18,149.54,9.98,32.27,43.35,0.89,17.76,6.22,2.8,49.54,273.47,2695.71,250.02,36.93,156.23,2.75,12.03,0.3313014568903055,0.1202976956497206,0.3326139435750075,0.0351451374228086,0.5344587595055192,0.6686985431096946,0.2852104464729554,0.4177703817124805,0.1404171138099645,8.082744652402745,23.99,44.37,51.24,13.84,44.37,15.44,55.63,6045.911264548273,5938.227121368699,2,0,2,0
820,다믈멀티미디어(주),93640,19-Dec,제조업,52.47,4.08,-2.21,-2.38,1.13,3.6,966.87,-0.87,2.8,13.43,0.54,3.61,27.27,47.16,57.72,165.3,392.15,154.29,21.72,39.91,1.41,2.22,0.3659451948284207,0.022168060019592,0.1327760090504854,0.0988568731859984,-0.3397006916932544,0.6340548051715793,0.3099939929663207,0.4501291373559936,0.0430316664000239,7.523657076167409,123.2,31.98,18.07,26.66,38.92,9.03,61.08,346.5235912893701,774.1387899492687,2,0,2,0
252,(주)세진티에스,67770,19-Dec,제조업,7.42,-9.94,6.78,41.87,-6.7,-1.48,61.53,3.51,5.05,13.79,0.51,-5.49,7.57,2.04,9.16,965.41,892.89,927.11,58.78,141.05,7.33,-5.11,0.0839470165201502,-0.0510673240061509,0.0958110164425379,0.0130092685030801,0.4668237679985164,0.9160529834798498,0.1979548519654963,0.3442311141230671,-0.0061071229266596,7.611950048217063,-1.74,4.93,1.49,2.45,18.61,18.62,81.39,82.43979937885733,11.292133271283019,2,0,2,0
747,(주)피제이전자,6140,19-Dec,제조업,18.88,4.92,8.93,28.21,42.6,-0.08,74.53,6.41,13.24,14.96,0.74,4.61,5.03,3.53,29.38,254.72,1427.15,151.63,22.58,1.71,3.62,3.66,0.2271055491131511,0.036612315303397,0.0024933025691323,0.0050378835817848,0.6997662501763242,0.7728944508868488,0.0189828517406292,0.6282027937405752,0.0441471686956892,8.141411531852539,7.88,-2.72,-1.82,9.22,7.83,4.77,92.17,-3.5612231032060864,-31.07752535791147,2,0,2,0
793,(주)희림종합건축사사무소,37440,19-Dec,서비스업,176.27,2.0,9.19,15.36,2.88,1.02,4481.83,10.15,25.65,63.34,1.21,7.01,7.07,71.88,194.86,129.41,765.47,129.41,17.58,37.64,1.88,2.41,0.6608514823376177,0.0241183640614859,0.2250291380475898,0.0265172886571409,0.2986011893485696,0.3391485114755663,0.0982891464923625,0.2263885795137147,0.0488566275217153,8.208532795899792,20.15,15.85,5.36,33.43,13.88,0.0,86.12,6.389861584714144,-9.747557898434351,1,1,4,0
468,(주)원익홀딩스,30530,19-Dec,제조업,23.47,10.87,18.93,29.77,7.42,1.67,74.45,6.96,11.67,13.27,0.37,4.42,15.32,1.89,30.53,86.23,1989.75,54.99,-2.48,18.22,1.51,4.02,0.2339200439117104,0.0402436165442837,0.0327623610253442,0.0277982091609587,0.2879727362909857,0.7660799560882896,0.1669020994856182,0.8449813262081984,0.0506510505537017,9.088207088449034,1.34,5.04,-9.88,15.24,30.37,6.36,69.63,-21.44347751227091,-49.173124251670274,2,1,5,0
809,금강철강(주),53260,19-Dec,제조업,22.34,2.56,5.89,38.03,32.88,-1.22,83.91,7.39,17.38,9.8,1.27,4.0,7.1,10.56,24.1,404.71,1120.61,364.22,54.86,76.51,6.73,3.25,0.1942256045626458,0.0325134129396706,0.1377480684265101,0.0025802255408841,0.6560551209893931,0.8057743954373542,0.0437637078339981,0.2713407823069369,0.0159876589855209,8.135466436671544,2.4,7.54,-12.16,1.1,5.64,20.0,94.36,44.09068817910655,-16.492852855480905,2,1,5,0
349,(주)에스디생명공학,217480,19-Dec,제조업,34.35,-12.56,-4.21,-16.04,-28.61,-0.04,-1.6,-4.79,13.94,-0.6,1.09,-18.46,10.18,3.36,42.64,234.01,809.31,134.19,32.27,30.62,4.04,-13.66,0.2989404220159184,-0.13659449354024,0.0737368899707737,0.0148213267059534,0.3047556639033756,0.7010595852708316,0.4295554418840336,0.4364588691523539,-0.1141842200608626,8.137466127173628,-8.61,-21.95,-0.23,18.42,32.46,3.76,67.54,-258.60072805445526,-423.9281909692453,2,1,5,0
789,(주)휴온스,243070,19-Dec,제조업,48.54,10.25,8.63,30.85,42.93,0.15,174.89,10.49,85.13,38.06,1.32,21.36,4.39,5.42,51.52,208.89,4330.37,152.66,34.88,39.3,3.93,13.56,0.3400139391244988,0.1356249215159464,0.125908687164377,0.012134895540144,0.3952269827355794,0.6599860608755012,0.415312343274419,0.3308346635544335,0.1754452414484733,8.47761559848857,19.48,16.91,11.08,11.86,54.79,7.59,45.21,6.952002346693567,-16.105151061507232,2,1,5,0
460,(주)우주일렉트로닉스,65680,19-Dec,제조업,32.25,6.17,10.78,33.26,14.6,-0.14,103.79,8.19,38.45,28.87,0.79,6.37,7.59,2.37,32.66,242.81,3819.05,206.89,34.72,78.42,3.35,4.87,0.2461856456274423,0.0487112996911859,0.1906669646354769,0.019063087951623,0.6993122243589042,0.7538143543725576,0.1527982938811087,0.4096768472429437,0.06561027854674,8.400550608787425,8.19,2.1,2.36,14.17,23.59,9.26,76.41,2077.240986821355,2393.0987732656513,2,1,5,0
649,(주)코아시아,45970,19-Dec,제조업,102.79,2.8,5.79,13.81,3.74,1.12,67.36,7.79,39.09,27.26,1.34,5.82,12.79,3.5,129.23,91.37,948.65,64.8,-3.87,25.87,2.35,3.76,0.5637500666490546,0.0375678292758307,0.1159889505168794,0.0293722075466034,0.1642311773584683,0.4362499333509454,0.089423189919163,0.5902640519851041,0.062697218394437,8.513615346189473,-0.36,-0.77,15.99,32.81,13.61,13.02,86.39,310.0816944193721,246.78815724950974,2,1,5,0
467,(주)원익피앤이,131390,19-Dec,제조업,119.19,10.82,-2.91,-4.4,27.09,0.34,174.91,-2.42,20.61,24.0,0.89,21.81,5.84,5.58,122.03,142.25,1099.45,61.1,22.68,3.29,1.59,9.63,0.5496119800167633,0.0962701160341906,0.0176440264047474,0.0071004882095943,0.3254076680160203,0.4503880199832367,0.1003721412953433,0.2363839175066701,0.1074150588730442,8.249164008844451,15.79,14.93,43.21,7.31,22.11,2.18,77.89,51.187812380639194,43.925235756932956,2,1,5,0
