일자,기관,개인,외국인,기타,전체
"2021/11/09","1355650","91734","2863862","0","4311246"
"2021/11/08","1499923","82464","2740916","0","4323303"
"2021/11/05","993682","81381","2613993","0","3689056"
"2021/11/04","599312","76462","2626027","0","3301801"
"2021/11/03","1484148","91137","2489668","0","4064953"
"2021/11/02","821940","115097","2715417","0","3652454"
"2021/11/01","717164","88430","2402744","0","3208338"
"2021/10/29","2063795","80877","4361431","0","6506103"
"2021/10/28","1163172","104191","2397474","0","3664837"
"2021/10/27","1128611","65556","1721157","0","2915324"
"2021/10/26","389434","52447","2441997","0","2883878"
"2021/10/25","372501","38456","2167260","0","2578217"
"2021/10/22","1666034","78359","2137244","0","3881637"
"2021/10/21","1098536","92683","2852405","0","4043624"
"2021/10/20","665867","76443","3029532","0","3771842"
"2021/10/19","1042299","38138","2820689","0","3901126"
"2021/10/18","1625872","102320","3246509","17","4974718"
"2021/10/15","1146657","101454","3144590","0","4392701"
"2021/10/14","900993","46981","3071676","0","4019650"
"2021/10/13","639163","89711","2845613","0","3574487"
"2021/10/12","765979","106069","3312938","0","4184986"
"2021/10/08","2890949","65162","3519894","11","6476016"
"2021/10/07","830165","92940","3798923","66","4722094"
"2021/10/06","884486","82351","4611429","18","5578284"
"2021/10/05","751568","81922","3850614","0","4684104"
"2021/10/01","1391522","58042","3781150","0","5230714"
"2021/09/30","1073694","75638","6232638","0","7381970"
"2021/09/29","1149841","63573","2788666","0","4002080"
"2021/09/28","1521795","75578","3226610","0","4823983"
"2021/09/27","1126048","95573","2728540","0","3950161"
"2021/09/24","1467952","265776","4728973","0","6462701"
"2021/09/23","436421","35191","1998218","0","2469830"
"2021/09/17","2173360","59580","2808554","0","5041494"
"2021/09/16","1780262","49793","2751680","0","4581735"
"2021/09/15","1199419","116618","2809195","1000","4126232"
"2021/09/14","1378341","59711","2467616","52","3905720"
"2021/09/13","1664251","41318","2824285","0","4529854"
"2021/09/10","1302569","90329","2669536","19","4062453"
"2021/09/09","1745403","53727","3101456","0","4900586"
"2021/09/08","1540851","72642","3135656","0","4749149"
"2021/09/07","1078223","56889","2755495","0","3890607"
"2021/09/06","439216","65749","2134078","83","2639126"
"2021/09/03","456073","71639","2589932","0","3117644"
"2021/09/02","1337500","87968","2995284","0","4420752"
"2021/09/01","1394186","56085","3399749","944","4850964"
"2021/08/31","868069","74793","3449415","0","4392277"
"2021/08/30","1088885","79440","2760781","0","3929106"
"2021/08/27","337245","52241","5560388","3001","5952875"
"2021/08/26","1343969","78237","3050804","1000","4474010"
"2021/08/25","2376688","96441","3209381","2020","5684530"
"2021/08/24","1364360","121692","3205804","56","4691912"
"2021/08/23","1180163","129905","3748094","0","5058162"
"2021/08/20","1113061","61619","4036021","0","5210701"
"2021/08/19","1776601","102030","4391406","0","6270037"
"2021/08/18","834928","110592","4055889","0","5001409"
"2021/08/17","1304194","79828","3538094","0","4922116"
"2021/08/13","1167810","91771","3666880","0","4926461"
"2021/08/12","1143633","92451","4394111","0","5630195"
"2021/08/11","2181298","122253","2969428","0","5272979"
"2021/08/10","944842","153105","3769040","0","4866987"
"2021/08/09","3531692","165263","2701973","19","6398947"
"2021/08/06","1314712","91231","2295641","0","3701584"
"2021/08/05","845875","49799","1877490","0","2773164"
"2021/08/04","1192711","98454","2043305","0","3334470"
"2021/08/03","1358342","83713","2513035","10","3955100"
"2021/08/02","486037","100104","1920855","0","2506996"
"2021/07/30","1803005","91833","2098162","0","3993000"
"2021/07/29","545048","97406","2024517","0","2666971"
"2021/07/28","1624109","108949","2876221","0","4609279"
"2021/07/27","1140395","134224","2895093","0","4169712"
"2021/07/26","1347181","73669","3101338","0","4522188"
"2021/07/23","781571","59887","2432637","0","3274095"
"2021/07/22","792260","82387","3111871","303","3986821"
"2021/07/21","778717","59317","3210042","0","4048076"
"2021/07/20","1007917","102057","2790433","0","3900407"
"2021/07/19","780631","109912","2717254","0","3607797"
"2021/07/16","915799","56168","2321527","0","3293494"
"2021/07/15","1511354","129753","3641686","119","5282912"
"2021/07/14","1191383","71406","2063949","678","3327416"
"2021/07/13","840055","79328","2442645","177","3362205"
"2021/07/12","566647","60299","2027259","84","2654289"
"2021/07/09","892851","83421","3187952","0","4164224"
"2021/07/08","1000873","64689","3406700","0","4472262"
"2021/07/07","983704","70800","2305433","0","3359937"
"2021/07/06","1077264","44808","2757076","0","3879148"
"2021/07/05","398416","82252","2070237","1500","2552405"
"2021/07/02","1018326","110553","2815990","0","3944869"
"2021/07/01","779263","63172","2531470","0","3373905"
"2021/06/30","709067","70429","2159692","0","2939188"
"2021/06/29","1668499","55909","2626502","0","4350910"
"2021/06/28","423525","55850","2206350","0","2685725"
"2021/06/25","544995","42140","2295448","0","2882583"
"2021/06/24","797823","57993","3888796","174","4744786"
"2021/06/23","744957","53466","3575887","516","4374826"
"2021/06/22","500118","59774","3945857","0","4505749"
"2021/06/21","813796","71327","3403026","100","4288249"
"2021/06/18","757394","50903","3302538","500","4111335"
"2021/06/17","1078945","41280","3371364","93","4491682"
"2021/06/16","507100","29997","2767194","0","3304291"
"2021/06/15","909313","52085","3632527","0","4593925"
"2021/06/14","200428","71416","3115787","606","3388237"
"2021/06/11","1604877","73024","4245612","600","5924113"
"2021/06/10","443352","109346","3335218","152","3888068"
