공시의무발생일,종목코드,종목명,성명(법인명),생년월일(사업자번호 등),국적,주소,대리인성명,최초의무발생일
"2022/07/06","223310","커머스마이너","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2020/02/28"
"2022/07/06","032500","케이엠더블유","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2020/01/07"
"2022/07/06","032500","케이엠더블유","골드만삭스인터내셔널","000821","영국","Plumtree Court, ** Shoe Lane, London","골드만삭스증권회사 서울지점","2019/10/25"
"2022/07/06","032500","케이엠더블유","메릴린치인터내셔날","5946","영국","* King Edward Street, London, England, EC*A *HQ United Kingdom","메릴린치 인터내셔날 엘엘씨 증권 서울지점","2022/05/13"
"2022/07/06","041960","코미팜","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2022/01/07"
"2022/07/06","108230","톱텍","크레디트 스위스 에이지","641","영국","* PARADEPLATZ, **** ZURICH SWITZERLAND","SC 제일은행","2021/07/20"
"2022/07/06","104480","티케이케미칼","메릴린치인터내셔날","5946","영국","* King Edward Street, London, England, EC*A *HQ United Kingdom","메릴린치 인터내셔날 엘엘씨 증권 서울지점","2022/07/04"
"2022/07/06","034230","파라다이스","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2021/10/18"
"2022/07/06","091700","파트론","골드만삭스인터내셔널","000821","영국","Plumtree Court, ** Shoe Lane, London","골드만삭스증권회사 서울지점","2022/06/30"
"2022/07/06","263750","펄어비스","골드만삭스인터내셔널","000821","영국","Plumtree Court, ** Shoe Lane, London","골드만삭스증권회사 서울지점","2022/02/15"
"2022/07/06","263750","펄어비스","메릴린치인터내셔날","5946","영국","* King Edward Street, London, England, EC*A *HQ United Kingdom","메릴린치 인터내셔날 엘엘씨 증권 서울지점","2022/03/15"
"2022/07/06","022100","포스코 ICT","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2022/06/03"
"2022/07/06","319660","피에스케이","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2022/07/01"
"2022/07/06","017890","한국알콜","유비에스에이쥐","751","스위스","Bahnhofstrasse **, **** ZurichAeschenvorstadt * **** Basel Seitzerland","스탠다드차타드 은행","2021/06/17"
"2022/07/06","084990","헬릭스미스","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2021/12/02"
"2022/07/06","048410","현대바이오","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2021/11/29"
"2022/07/06","048410","현대바이오","골드만삭스인터내셔널","000821","영국","Plumtree Court, ** Shoe Lane, London","골드만삭스증권회사 서울지점","2022/03/04"
"2022/07/06","048410","현대바이오","제이피모간 증권회사","3587","영국","** Bank Street, Canary Wharf London, England","제이피모간증권회사","2022/03/04"
