종목코드,종목명,수량_공매도잔고수량,수량_상장주식수,금액_공매도잔고금액,금액_시가총액,비중
"063440","SM Life Design","0","45629154","0.0","9.3996057E7","0.00"
"289080","SV인베스트먼트","0","53234000","0.0","1.3787606E8","0.00"
"089230","THE E&M","0","173450191","0.0","7.9093287E7","0.00"
"161570","THE MIDONG","0","15582830","0.0","1.8855224E7","0.00"
"192410","THQ","0","37023713","0.0","1.73641214E8","0.00"
"032540","TJ미디어","0","13931609","0.0","8.0942648E7","0.00"
"022220","TKG애강","137471","51794579","253634.0","9.5560998E7","0.27"
"048770","TPC","0","15478339","0.0","7.1200359E7","0.00"
"246690","TS인베스트먼트","0","39245879","0.0","9.8114698E7","0.00"
"317240","TS트릴리온","0","94447625","0.0","7.5841443E7","0.00"
"038340","UCI","0","12465789","0.0","1.6641828E7","0.00"
"073570","WI","0","80904873","0.0","8.0904873E7","0.00"
"057030","YBM넷","0","16312697","0.0","6.2640756E7","0.00"
"040300","YTN","0","42000000","0.0","1.5288E8","0.00"
"051390","YW","0","11355368","0.0","4.0595441E7","0.00"
"052220","iMBC","0","23000000","0.0","7.061E7","0.00"
"079940","가비아","15240","13535684","164592.0","1.46185387E8","0.11"
"078890","가온미디어","26479","16155561","218717.0","1.33444934E8","0.16"
"399720","가온칩스","0","11488320","0.0","2.89505664E8","0.00"
"036620","감성코퍼레이션","0","79626260","0.0","1.17846865E8","0.00"
"217730","강스템바이오텍","0","37937925","0.0","1.05657121E8","0.00"
"114190","강원에너지","0","26123038","0.0","1.64313909E8","0.00"
"094480","갤럭시아머니트리","34180","39229838","198244.0","2.2753306E8","0.09"
"039240","경남스틸","0","26979604","0.0","8.3636772E7","0.00"
"053950","경남제약","0","30849565","0.0","7.8049399E7","0.00"
"011040","경동제약","0","30768766","0.0","2.64919075E8","0.00"
"024910","경창산업","0","35819005","0.0","8.5965612E7","0.00"
"198440","고려시멘트","0","31979960","0.0","1.06333367E8","0.00"
"049720","고려신용정보","0","14300000","0.0","1.68025E8","0.00"
"014570","고려제약","17736","11000000","133020.0","8.25E7","0.16"
"348150","고바이오랩","0","16815519","0.0","2.10193988E8","0.00"
"098460","고영","384173","68654755","5071084.0","9.06242766E8","0.56"
"035290","골드앤에스","0","36223910","0.0","8.7118504E7","0.00"
