공시의무발생일,종목코드,종목명,성명(법인명),생년월일(사업자번호 등),국적,주소,대리인성명,최초의무발생일
"2022/07/06","336260","두산퓨얼셀","골드만삭스인터내셔널","000821","영국","Plumtree Court, ** Shoe Lane, London","골드만삭스증권회사 서울지점","2022/03/04"
"2022/07/06","336260","두산퓨얼셀","유비에스에이쥐","751","스위스","Bahnhofstrasse **, **** ZurichAeschenvorstadt * **** Basel Seitzerland","스탠다드차타드 은행","2021/08/30"
"2022/07/06","032350","롯데관광개발","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2021/11/29"
"2022/07/06","032350","롯데관광개발","골드만삭스인터내셔널","000821","영국","Plumtree Court, ** Shoe Lane, London","골드만삭스증권회사 서울지점","2019/09/18"
"2022/07/06","032350","롯데관광개발","유비에스에이쥐","751","스위스","Bahnhofstrasse **, **** ZurichAeschenvorstadt * **** Basel Seitzerland","스탠다드차타드 은행","2019/09/18"
"2022/07/06","009900","명신산업","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2022/04/06"
"2022/07/06","009900","명신산업","골드만삭스인터내셔널","000821","영국","Plumtree Court, ** Shoe Lane, London","골드만삭스증권회사 서울지점","2022/02/23"
"2022/07/06","010140","삼성중공업","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2021/05/06"
"2022/07/06","068270","셀트리온","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2019/11/18"
"2022/07/06","068270","셀트리온","메릴린치인터내셔날","5946","영국","* King Edward Street, London, England, EC*A *HQ United Kingdom","메릴린치 인터내셔날 엘엘씨 증권 서울지점","2018/01/31"
"2022/07/06","003620","쌍용차","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2019/12/09"
"2022/07/06","004770","써니전자","메릴린치인터내셔날","5946","영국","* King Edward Street, London, England, EC*A *HQ United Kingdom","메릴린치 인터내셔날 엘엘씨 증권 서울지점","2021/11/01"
"2022/07/06","112610","씨에스윈드","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2021/12/16"
"2022/07/06","112610","씨에스윈드","골드만삭스인터내셔널","000821","영국","Plumtree Court, ** Shoe Lane, London","골드만삭스증권회사 서울지점","2022/06/08"
