일자,수량_공매도거래량_전체,수량_공매도거래량_업틱룰적용,수량_공매도거래량_업틱룰예외,수량_거래량,수량_비중,금액_공매도거래대금_전체,금액_공매도거래대금_업틱룰적용,금액_공매도거래대금_업틱룰예외,금액_거래대금,금액_비중
"2021/11/23","38941","30939","8002","250802","15.53","3071720900","2440392900","631328000","19779094500","15.53"
"2021/11/22","54499","13621","40878","314256","17.34","4279260900","1070542700","3208718200","24659707000","17.35"
"2021/11/19","58464","34751","23713","544036","10.75","4620967800","2748578600","1872389200","42973467800","10.75"
"2021/11/18","46141","44147","1994","333995","13.81","3676655200","3518137600","158517600","26618188500","13.81"
"2021/11/17","53550","51989","1561","336908","15.89","4304342900","4178990500","125352400","27092359400","15.89"
"2021/11/16","25122","23884","1238","211719","11.87","2038815700","1938332300","100483400","17180887900","11.87"
"2021/11/15","17265","14330","2935","323855","5.33","1404571200","1168114200","236457000","26272126600","5.35"
"2021/11/12","33639","31955","1684","249599","13.48","2737530800","2600644800","136886000","20301730800","13.48"
"2021/11/11","68560","36185","32375","376584","18.21","5526453700","2920764700","2605689000","30382934100","18.19"
"2021/11/10","32514","28879","3635","386305","8.42","2643706900","2348445300","295261600","31410685200","8.42"
"2021/11/09","38538","34842","3696","394746","9.76","3181790800","2876280800","305510000","32616032800","9.76"
"2021/11/08","51879","47881","3998","922602","5.62","4271632900","3941395300","330237600","76108022700","5.61"
"2021/11/05","66040","56388","9652","684458","9.65","5269414800","4501247500","768167300","54557366500","9.66"
"2021/11/04","52083","51426","657","477333","10.91","4223131500","4169810200","53321300","38718302600","10.91"
"2021/11/03","68767","68010","757","541359","12.70","5566502000","5505246200","61255800","43785888200","12.71"
"2021/11/02","22798","0","22798","876811","2.60","1850149300","0","1850149300","71218331100","2.60"
"2021/11/01","666888","531589","135299","2765983","24.11","54810507900","43672436000","11138071900","226511923600","24.20"
"2021/10/29","70736","61586","9150","367934","19.23","6164725700","5366289100","798436600","32079066200","19.22"
"2021/10/28","170143","136549","33594","517069","32.91","14952010700","11999261900","2952748800","45453148600","32.90"
"2021/10/27","120191","106146","14045","456891","26.31","10734174500","9478630700","1255543800","40888431800","26.25"
"2021/10/26","80438","75000","5438","323550","24.86","7354115900","6856586600","497529300","29629319300","24.82"
"2021/10/25","57958","51946","6012","419183","13.83","5288087300","4742662700","545424600","38206441700","13.84"
"2021/10/22","19845","18361","1484","222881","8.90","1771692900","1639171000","132521900","19886875900","8.91"
"2021/10/21","35205","27140","8065","232018","15.17","3168425900","2441940000","726485900","20893425500","15.16"
"2021/10/20","98475","88314","10161","416996","23.62","8875294400","7957786200","917508200","37600476800","23.60"
"2021/10/19","92022","78571","13451","406848","22.62","8352577000","7130099000","1222478000","36973602300","22.59"
"2021/10/18","64920","44925","19995","398519","16.29","5945373600","4111411400","1833962200","36534309100","16.27"
"2021/10/15","51817","29089","22728","361644","14.33","4803999000","2697973300","2106025700","33512360400","14.34"
"2021/10/14","90385","25712","64673","396035","22.82","8343173400","2376285300","5966888100","36580847700","22.81"
"2021/10/13","28397","24717","3680","594247","4.78","2621151900","2282208600","338943300","54760458800","4.79"
"2021/10/12","37633","35914","1719","382941","9.83","3391308100","3236557200","154750900","34525727600","9.82"
"2021/10/08","55066","55015","51","411395","13.39","4972782300","4968141900","4640400","37145866900","13.39"
"2021/10/07","109499","88965","20534","605416","18.09","9930234500","8072196800","1858037700","54917027200","18.08"
"2021/10/06","101013","53389","47624","1073969","9.41","9102735500","4806213700","4296521800","97042250300","9.38"
"2021/10/05","116719","106339","10380","905160","12.89","10303069300","9395781600","907287700","79633810800","12.94"
"2021/10/01","51198","33923","17275","372263","13.75","4349061400","2881654800","1467406600","31629719000","13.75"
"2021/09/30","37293","28481","8812","231468","16.11","3219914000","2459150800","760763200","19985640800","16.11"
"2021/09/29","59753","26679","33074","437633","13.65","5138939800","2293776000","2845163800","37684666200","13.64"
"2021/09/28","17836","10974","6862","274027","6.51","1570796500","965479100","605317400","24106545700","6.52"
"2021/09/27","7006","3646","3360","199549","3.51","620662900","322807800","297855100","17727127800","3.50"
"2021/09/24","23297","17297","6000","411538","5.66","2085194200","1545271600","539922600","36848445400","5.66"
"2021/09/23","59751","54084","5667","320862","18.62","5271947400","4771318700","500628700","28295680800","18.63"
"2021/09/17","74941","58497","16444","272944","27.46","6669559100","5207296400","1462262700","24292039700","27.46"
"2021/09/16","47071","35997","11074","289069","16.28","4187256200","3198886300","988369900","25735516100","16.27"
"2021/09/15","59868","24277","35591","314258","19.05","5391921100","2183318300","3208602800","28345235000","19.02"
"2021/09/14","20977","5650","15327","688296","3.05","1883974800","511510600","1372464200","62023263500","3.04"
"2021/09/13","69540","12564","56976","300834","23.12","6030531300","1089839100","4940692200","26120544300","23.09"
"2021/09/10","21916","9023","12893","178162","12.30","1924277700","793640900","1130636800","15655494900","12.29"
"2021/09/09","36174","27444","8730","354709","10.20","3174848500","2410099000","764749500","31184359400","10.18"
"2021/09/08","20484","20483","1","330248","6.20","1840230300","1840141000","89300","29629813900","6.21"
"2021/09/07","7074","6605","469","159608","4.43","631687800","589759100","41928700","14247260600","4.43"
"2021/09/06","25706","25443","263","188876","13.61","2292075200","2268589500","23485700","16841818200","13.61"
"2021/09/03","48588","47071","1517","202636","23.98","4347534600","4211668200","135866400","18129720900","23.98"
"2021/09/02","112757","104207","8550","275893","40.87","10052629800","9290594400","762035400","24605675600","40.85"
"2021/09/01","82294","66703","15591","303474","27.12","7319641800","5933810900","1385830900","26994270200","27.12"
"2021/08/31","41795","39825","1970","215382","19.41","3732944700","3557123100","175821600","19234413500","19.41"
"2021/08/30","28208","26884","1324","223594","12.62","2521626600","2403309400","118317200","20022611400","12.59"
"2021/08/27","5418","4910","508","276805","1.96","481696800","436571900","45124900","24367490000","1.98"
"2021/08/26","23312","23005","307","310945","7.50","2082931200","2055581900","27349300","27842467300","7.48"
"2021/08/25","11965","6152","5813","360474","3.32","1058501300","543356900","515144400","31891661200","3.32"
"2021/08/24","23372","18610","4762","492903","4.74","2067842100","1649097900","418744200","43557165400","4.75"
"2021/08/23","19224","16293","2931","266951","7.20","1638099000","1389010500","249088500","22739606200","7.20"
"2021/08/20","19902","15039","4863","351585","5.66","1676888900","1266646000","410242900","29691481800","5.65"
"2021/08/19","16899","16899","0","634464","2.66","1444126600","1444126600","0","54401326000","2.65"
"2021/08/18","37697","37692","5","332404","11.34","3325742800","3325309300","433500","29320210100","11.34"
"2021/08/17","22588","22497","91","495947","4.55","1965838300","1957857700","7980600","43433536300","4.53"
"2021/08/13","34706","32070","2636","503326","6.90","3135534000","2898082700","237451300","45454120600","6.90"
"2021/08/12","21233","21227","6","270345","7.85","1955627900","1955075400","552500","24902198500","7.85"
"2021/08/11","12201","12201","0","192234","6.35","1122470100","1122470100","0","17692240900","6.34"
"2021/08/10","29255","28363","892","311995","9.38","2697956800","2615777800","82179000","28764774900","9.38"
"2021/08/09","25489","24875","614","312631","8.15","2372433900","2315009400","57424500","29096207000","8.15"
"2021/08/06","3706","3545","161","250880","1.48","350018100","334803900","15214200","23757119500","1.47"
"2021/08/05","8645","5499","3146","191249","4.52","813285600","517354000","295931600","17998124800","4.52"
"2021/08/04","11996","5199","6797","395585","3.03","1123645000","488338400","635306600","37104756900","3.03"
"2021/08/03","11351","6383","4968","188231","6.03","1046690000","588703000","457987000","17366053900","6.03"
"2021/08/02","20206","9188","11018","419465","4.82","1865108800","848521600","1016587200","38738577000","4.81"
"2021/07/30","23990","16198","7792","293060","8.19","2249469500","1519948300","729521200","27450640900","8.19"
"2021/07/29","15891","9355","6536","242056","6.57","1499741900","884311900","615430000","22863018800","6.56"
"2021/07/28","9475","4904","4571","177233","5.35","885246400","458410000","426836400","16556728800","5.35"
"2021/07/27","13672","8005","5667","267954","5.10","1284580300","753485900","531094400","25178150600","5.10"
"2021/07/26","14273","3555","10718","247931","5.76","1334633000","332531700","1002101300","23173249500","5.76"
"2021/07/23","10911","6874","4037","282827","3.86","1035255600","653062600","382193000","26811624100","3.86"
"2021/07/22","17590","7380","10210","1129634","1.56","1688912600","706803700","982108900","108539021600","1.56"
"2021/07/21","3572","598","2974","274610","1.30","329301700","55297800","274003900","25306917300","1.30"
"2021/07/20","3666","3506","160","225549","1.63","339916700","325099300","14817400","20895289400","1.63"
"2021/07/19","8819","7336","1483","324772","2.72","825576300","686714700","138861600","30390951255","2.72"
"2021/07/16","5684","452","5232","200894","2.83","537148600","42666300","494482300","18999005000","2.83"
"2021/07/15","22881","19174","3707","252026","9.08","2161622800","1812405600","349217200","23812056400","9.08"
"2021/07/14","34626","30497","4129","312373","11.08","3257070500","2869009000","388061500","29388928200","11.08"
"2021/07/13","18900","10600","8300","406785","4.65","1791950400","1006206400","785744000","38608495600","4.64"
"2021/07/12","25732","8945","16787","205543","12.52","2402894500","835887800","1567006700","19205082200","12.51"
"2021/07/09","39039","8588","30451","545807","7.15","3590912000","790079400","2800832600","50212242400","7.15"
"2021/07/08","33695","8679","25016","470511","7.16","3157097600","811279500","2345818100","43918006600","7.19"
"2021/07/07","47309","32991","14318","883245","5.36","4456877800","3110859900","1346017900","83492116400","5.34"
"2021/07/06","45189","45174","15","409315","11.04","4372346500","4370888500","1458000","39662665900","11.02"
"2021/07/05","15691","15672","19","193431","8.11","1504799800","1502980800","1819000","18542661900","8.12"
"2021/07/02","2809","2684","125","248611","1.13","269932600","257915800","12016800","23886904300","1.13"
"2021/07/01","21846","21565","281","352984","6.19","2104190200","2077062000","27128200","33970747000","6.19"
"2021/06/30","2829","2592","237","266524","1.06","274545600","251570600","22975000","25844913300","1.06"
"2021/06/29","8041","7871","170","361532","2.22","780912400","764510600","16401800","35070302900","2.23"
"2021/06/28","11894","11139","755","420037","2.83","1163911300","1090107800","73803500","41071643200","2.83"
