적출일,공매도 거래제한일_시작일,공매도 거래제한일_종료일,종목코드,종목명,시장구분,공매도 과열종목 적출 지표_과거40거래일 중 종목 거래일수,공매도 과열종목 적출 지표_공매도비중,공매도 과열종목 적출 지표_주가 수익률,공매도 과열종목 적출 지표_공매도 거래대금 증가배율,공매도 과열종목 적출 지표_직전40거래일 공매도비중 평균,지정유형
"2022/03/25","2022/03/28","2022/03/28","035600","KG이니시스","KOSDAQ","40",,,"8.73","7.71","유형3"
"2022/03/25","2022/03/28","2022/03/28","045390","대아티아이","KOSDAQ","40",,,"5.81","5.97","유형3"
"2022/03/25","2022/03/28","2022/03/28","256840","한국비엔씨","KOSDAQ","40","23.69","-6.02","11.27",,"유형1"
"2022/03/24","2022/03/25","2022/03/25","214370","케어젠","KOSDAQ","32",,,"5.08","14.23","유형3"
"2022/03/21","2022/03/22","2022/03/22","006730","서부T&D","KOSDAQ","40",,,"19.33","9.06","유형3"
"2022/03/18","2022/03/21","2022/03/21","137400","피엔티","KOSDAQ","40",,,"6.65","7.33","유형3"
"2022/03/16","2022/03/17","2022/03/17","214370","케어젠","KOSDAQ","27",,"-14.77","10.88",,"유형2"
"2022/03/15","2022/03/16","2022/03/16","323990","박셀바이오","KOSDAQ","40",,,"5.29","6.25","유형3"
"2022/03/10","2022/03/11","2022/03/11","025980","아난티","KOSDAQ","40",,"-10.76","8.85",,"유형2"
"2022/03/08","2022/03/10","2022/03/10","323990","박셀바이오","KOSDAQ","40",,,"5.60","6.33","유형3"
"2022/03/04","2022/03/07","2022/03/07","323990","박셀바이오","KOSDAQ","40",,,"12.20","6.90","유형3"
"2022/03/03","2022/03/04","2022/03/04","256840","한국비엔씨","KOSDAQ","40","21.94","-5.88","12.42",,"유형1"
"2022/03/02","2022/03/03","2022/03/03","104830","원익머트리얼즈","KOSDAQ","40",,,"5.72","6.51","유형3"
"2022/02/25","2022/02/28","2022/02/28","100090","삼강엠앤티","KOSDAQ","40",,,"7.04","5.83","유형3"
"2022/02/25","2022/02/28","2022/02/28","104830","원익머트리얼즈","KOSDAQ","40",,,"7.47","6.38","유형3"
"2022/02/25","2022/02/28","2022/02/28","018000","유니슨","KOSDAQ","40",,,"13.37","10.33","유형3"
"2022/02/25","2022/02/28","2022/02/28","003380","하림지주","KOSDAQ","40",,,"5.45","9.83","유형3"
"2022/02/23","2022/02/24","2022/02/24","213420","덕산네오룩스","KOSDAQ","40","18.26","-5.10","6.13",,"유형1"
"2022/02/23","2022/02/24","2022/02/24","323990","박셀바이오","KOSDAQ","40",,,"5.57","7.12","유형3"
"2022/02/23","2022/02/24","2022/02/24","003380","하림지주","KOSDAQ","40",,,"8.11","9.02","유형3"
"2022/02/22","2022/02/23","2022/02/23","033640","네패스","KOSDAQ","40",,,"6.11","9.53","유형3"
"2022/02/17","2022/02/18","2022/02/18","183490","엔지켐생명과학","KOSDAQ","40",,"-15.62","50.61",,"유형2"
"2022/02/17","2022/02/18","2022/02/18","200130","콜마비앤에이치","KOSDAQ","40",,,"8.46","9.76","유형3"
