종목코드,종목명,증권구분,수량_공매도거래량_전체,수량_공매도거래량_업틱룰적용,수량_공매도거래량_업틱룰예외,수량_거래량,수량_비중,금액_공매도거래대금_전체,금액_공매도거래대금_업틱룰적용,금액_공매도거래대금_업틱룰예외,금액_거래대금,금액_비중
"032640","LG유플러스","주권","1604","1","1603","878079","0.18","19756800","12400","19744400","10861939400","0.18"
"011070","LG이노텍","주권","13536","8845","4691","199666","6.78","4585439500","2993963500","1591476000","67751569000","6.77"
"066570","LG전자","주권","111972","111794","178","1494419","7.49","10464129100","10447004800","17124300","140554588700","7.44"
"066575","LG전자우","주권","0","0","0","30629","0.00","0","0","0","1390365800","0.00"
"037560","LG헬로비전","주권","420","0","420","1831244","0.02","2359030","0","2359030","10330723280","0.02"
"051910","LG화학","주권","9243","9113","130","272655","3.39","5046550000","4975456000","71094000","149121964000","3.38"
"051915","LG화학우","주권","0","0","0","18287","0.00","0","0","0","4608540500","0.00"
"079550","LIG넥스원","주권","3001","2984","17","75099","4.00","209956000","208762600","1193400","5260266800","3.99"
"006260","LS","주권","12288","11967","321","269526","4.56","683759000","665991200","17767800","15000852700","4.56"
"010120","LS ELECTRIC","주권","18646","18589","57","190384","9.79","1000365500","997329000","3036500","10240404300","9.77"
"000680","LS네트웍스","주권","1","0","1","52785","0.00","2665","0","2665","141344065","0.00"
"229640","LS전선아시아","주권","12","0","12","78359","0.02","83040","0","83040","541790250","0.02"
"001120","LX인터내셔널","주권","3769","3329","440","344668","1.09","111845250","98833450","13011800","10236644050","1.09"
"108670","LX하우시스","주권","17","0","17","11729","0.14","715700","0","715700","497922850","0.14"
"108675","LX하우시스우","주권","0","0","0","1782","0.00","0","0","0","36271000","0.00"
"383800","LX홀딩스","주권","0","0","0","118405","0.00","0","0","0","1061116170","0.00"
"38380K","LX홀딩스1우","주권","0","0","0","1405","0.00","0","0","0","17066000","0.00"
"023150","MH에탄올","주권","0","0","0","23029","0.00","0","0","0","195657700","0.00"
"035420","NAVER","주권","21033","20809","224","652395","3.22","5234302500","5178965500","55337000","162485327500","3.22"
"181710","NHN","주권","639","0","639","352261","0.18","17670750","0","17670750","9751411100","0.18"
"400760","NH올원리츠","부동산투자회사","665","0","665","41398","1.61","3005800","0","3005800","187319285","1.60"
"005940","NH투자증권","주권","29529","28755","774","504325","5.86","272249410","265135210","7114200","4636778220","5.87"
"005945","NH투자증권우","주권","0","0","0","23921","0.00","0","0","0","220307170","0.00"
"338100","NH프라임리츠","부동산투자회사","0","0","0","23560","0.00","0","0","0","109220260","0.00"
"034310","NICE","주권","0","0","0","101282","0.00","0","0","0","1477235650","0.00"
"008260","NI스틸","주권","0","0","0","85633","0.00","0","0","0","413060800","0.00"
"004250","NPC","주권","0","0","0","7028373","0.00","0","0","0","63200805660","0.00"
"004255","NPC우","주권","0","0","0","1731404","0.00","0","0","0","8845663835","0.00"
"010060","OCI","주권","72087","53123","18964","571932","12.60","9452456000","6969449000","2483007000","74731511500","12.65"
"178920","PI첨단소재","주권","9457","9436","21","100773","9.38","322231700","321516650","715050","3431191800","9.39"
"005490","POSCO홀딩스","주권","8955","8691","264","209419","4.28","2094772500","2033418000","61354500","48764407000","4.30"
"010950","S-Oil","주권","4841","3696","1145","336332","1.44","456067000","348394000","107673000","31583639600","1.44"
"010955","S-Oil우","주권","0","0","0","25777","0.00","0","0","0","1503383900","0.00"
"034120","SBS","주권","131","0","131","59876","0.22","5580750","0","5580750","2516602200","0.22"
"005090","SGC에너지","주권","6","0","6","30207","0.02","201700","0","201700","1022427500","0.02"
"001380","SG글로벌","주권","1","0","1","98191","0.00","1365","0","1365","133974050","0.00"
"004060","SG세계물산","주권","15","0","15","660563","0.00","8396","0","8396","370486141","0.00"
"001770","SHD","주권","0","0","0","9899","0.00","0","0","0","293078350","0.00"
"002360","SH에너지화학","주권","2","0","2","2080175","0.00","2010","0","2010","2084294479","0.00"
"009160","SIMPAC","주권","15","0","15","161401","0.01","93780","0","93780","1010358420","0.01"
"123700","SJM","주권","11","0","11","2169","0.51","38500","0","38500","7581750","0.51"
"025530","SJM홀딩스","주권","0","0","0","4211","0.00","0","0","0","12726305","0.00"
"034730","SK","주권","207","131","76","111719","0.19","43449500","27546500","15903000","23472492500","0.19"
