종목코드,종목명,수량_공매도잔고수량,수량_상장주식수,금액_공매도잔고금액,금액_시가총액,비중
"001560","제일연마","0","10000000","0.0","9.0E7","0.00"
"002620","제일파마홀딩스","0","15973355","0.0","1.8449225E8","0.00"
"006220","제주은행","0","32128774","0.0","1.3863566E8","0.00"
"089590","제주항공","11612","49759668","183470.0","7.86202754E8","0.02"
"004910","조광페인트","38051","12800000","227925.0","7.6672E7","0.30"
"004700","조광피혁","0","6649138","0.0","2.74609399E8","0.00"
"001550","조비","0","5192239","0.0","9.8652541E7","0.00"
"000480","조선내화","0","4000000","0.0","3.2E8","0.00"
"120030","조선선재","0","1257651","0.0","1.7607114E8","0.00"
"018470","조일알미늄","71780","125831721","111977.0","1.96297485E8","0.06"
"002600","조흥","0","600000","0.0","1.02E8","0.00"
"185750","종근당","118555","11988038","1.0219441E7","1.033368876E9","0.99"
"063160","종근당바이오","7812","5485962","221080.0","1.55252725E8","0.14"
"001630","종근당홀딩스","2781","5009861","154902.0","2.79049258E8","0.06"
"044380","주연테크","0","59199244","0.0","4.6826602E7","0.00"
"013890","지누스","156633","17232431","7659354.0","8.42665876E8","0.91"
"013870","지엠비코리아","53693","19072280","281888.0","1.0012947E8","0.28"
"071320","지역난방공사","0","11578744","0.0","3.54888504E8","0.00"
"035000","지투알","0","16567409","0.0","9.7416365E7","0.00"
"088790","진도","0","12447744","0.0","3.6098458E7","0.00"
"003780","진양산업","0","13000000","0.0","9.204E7","0.00"
"010640","진양폴리","0","10000000","0.0","5.45E7","0.00"
"100250","진양홀딩스","0","55895292","0.0","1.99266716E8","0.00"
"051630","진양화학","0","12000000","0.0","4.32E7","0.00"
"272450","진에어","0","52200000","0.0","7.7256E8","0.00"
"011000","진원생명과학","32408","77678502","337043.0","8.07856421E8","0.04"
"002780","진흥기업","0","145471745","0.0","2.40028379E8","0.00"
"002787","진흥기업2우B","0","294808","0.0","4215754.0","0.00"
"002785","진흥기업우B","0","857218","0.0","4654694.0","0.00"
"009310","참엔지니어링","0","58867419","0.0","4.7564875E7","0.00"
"000650","천일고속","0","1429220","0.0","8.9755016E7","0.00"
"033250","체시스","0","32000000","0.0","3.232E7","0.00"
"118000","초록뱀헬스케어","0","84704985","0.0","8.1994425E7","0.00"
"035720","카카오","2960348","444822497","2.17585578E8","3.269445353E10","0.67"
"323410","카카오뱅크","12956978","476282437","4.05553411E8","1.4907640278E10","2.72"
"377300","카카오페이","1297796","132515154","8.3188724E7","8.494221371E9","0.98"
"006380","카프로","67979","40000000","190341.0","1.12E8","0.17"
"109070","컨버즈","0","17549275","0.0","7.1952028E7","0.00"
"001620","케이비아이동국실업","0","87286004","0.0","5.219703E7","0.00"
"029460","케이씨","18762","13554044","338654.0","2.44650494E8","0.14"
"281820","케이씨텍","11074","20861556","196010.0","3.69249541E8","0.05"
"381970","케이카","739567","48086533","1.4865297E7","9.66539313E8","1.54"
"145270","케이탑리츠","0","48060774","0.0","4.9983205E7","0.00"
"417310","코람코더원리츠","0","40400000","0.0","2.18968E8","0.00"
"357120","코람코에너지리츠","21998","88534474","127368.0","5.12614604E8","0.02"
"007815","코리아써우","0","2964690","0.0","2.2413056E7","0.00"
"007810","코리아써키트","38279","23620751","710075.0","4.38164931E8","0.16"
"00781K","코리아써키트2우B","0","783699","0.0","6442006.0","0.00"
"003690","코리안리","141358","120369116","1197302.0","1.019526413E9","0.12"
"192820","코스맥스","87381","11349509","5094312.0","6.61676375E8","0.77"
"044820","코스맥스비티아이","11521","9603921","110256.0","9.1909524E7","0.12"
"005070","코스모신소재","28936","30650756","1341184.0","1.420662541E9","0.09"
"005420","코스모화학","27934","31260157","399456.0","4.47020245E8","0.09"
"071950","코아스","0","30907210","0.0","3.0258159E7","0.00"
"002020","코오롱","10431","12626426","233133.0","2.82200621E8","0.08"
"003070","코오롱글로벌","24204","25210438","371531.0","3.86980223E8","0.10"
"003075","코오롱글로벌우","0","312803","0.0","8664643.0","0.00"
"002025","코오롱우","0","1076390","0.0","1.6953143E7","0.00"
"120110","코오롱인더","52687","27519091","2692306.0","1.40622555E9","0.19"
"120115","코오롱인더우","0","2767860","0.0","7.4593827E7","0.00"
"138490","코오롱플라스틱","0","38000000","0.0","3.895E8","0.00"
"021240","코웨이","408956","73799619","2.5764228E7","4.649375997E9","0.55"
"036420","콘텐트리중앙","3229","19172319","113499.0","6.73907013E8","0.02"
"031820","콤텍시스템","0","121051466","0.0","9.2120166E7","0.00"
"192400","쿠쿠홀딩스","0","35562185","0.0","5.58326305E8","0.00"
"284740","쿠쿠홈시스","181901","22437330","5011373.0","6.18148442E8","0.81"
"015590","큐로","0","231211638","0.0","8.9016481E7","0.00"
"264900","크라운제과","0","12523850","0.0","1.03321763E8","0.00"
"26490K","크라운제과우","0","773560","0.0","8238414.0","0.00"
"005740","크라운해태홀딩스","15919","14847347","111274.0","1.03782956E8","0.11"
"005745","크라운해태홀딩스우","0","600726","0.0","6728131.0","0.00"
"259960","크래프톤","724638","49072045","1.69565292E8","1.148285853E10","1.48"
"020120","키다리스튜디오","0","36580741","0.0","2.99230461E8","0.00"
"039490","키움증권","192625","26219513","1.5313688E7","2.084451284E9","0.73"
"014580","태경비케이","38098","27583100","153154.0","1.10884062E8","0.14"
"015890","태경산업","38991","29228750","235896.0","1.76833938E8","0.13"
"006890","태경케미컬","21667","11600000","312005.0","1.6704E8","0.19"
"003240","태광산업","3444","1113400","3085824.0","9.976064E8","0.31"
"011280","태림포장","55847","70805940","168658.0","2.13833939E8","0.08"
"004100","태양금속","0","36700000","0.0","5.19305E7","0.00"
"004105","태양금속우","0","3300000","0.0","8431500.0","0.00"
"009410","태영건설","34732","38899098","233746.0","2.6179093E8","0.09"
"009415","태영건설우","0","1302142","0.0","1.2630777E7","0.00"
"001420","태원물산","0","7600000","0.0","3.6024E7","0.00"
"007980","태평양물산","0","48149587","0.0","8.6428509E7","0.00"
"055490","테이팩스","0","4717650","0.0","3.18441375E8","0.00"
"078000","텔코웨어","0","9702706","0.0","9.0914355E7","0.00"
"214420","토니모리","0","24054799","0.0","1.01030156E8","0.00"
"019180","티에이치엔","0","18000000","0.0","5.274E7","0.00"
"363280","티와이홀딩스","30827","50929268","559510.0","9.24366214E8","0.06"
"36328K","티와이홀딩스우","0","1255338","0.0","2.065031E7","0.00"
"091810","티웨이항공","0","160330279","0.0","3.18255604E8","0.00"
"004870","티웨이홀딩스","241743","109472167","129091.0","5.8458137E7","0.22"
"005690","파미셀","15087","59958950","178781.0","7.10513558E8","0.03"
"036580","팜스코","0","36727943","0.0","1.7409045E8","0.00"
"004720","팜젠사이언스","50882","15477041","368895.0","1.12208547E8","0.33"
"028670","팬오션","3056673","534569512","1.6750568E7","2.929440926E9","0.57"
"010820","퍼스텍","156783","48061460","503273.0","1.54277287E8","0.33"
"016800","퍼시스","0","11500000","0.0","3.69725E8","0.00"
"001020","페이퍼코리아","0","47566810","0.0","8.7047262E7","0.00"
"090080","평화산업","0","54902259","0.0","7.3569027E7","0.00"
"010770","평화홀딩스","0","14625466","0.0","4.7532765E7","0.00"
"058430","포스코스틸리온","0","6000000","0.0","1.998E8","0.00"
"047050","포스코인터내셔널","180179","123375149","3153133.0","2.159065108E9","0.15"
"003670","포스코케미칼","2171624","77463220","2.30192144E8","8.21110132E9","2.80"
"017810","풀무원","0","38120542","0.0","4.76506775E8","0.00"
"103140","풍산","127047","28024278","2991957.0","6.59971747E8","0.45"
"005810","풍산홀딩스","0","10409528","0.0","2.59197247E8","0.00"
"950210","프레스티지바이오파마","0","60096155","0.0","6.85096167E8","0.00"
"009810","플레이그램","0","89717066","0.0","1.03174626E8","0.00"
"086790","하나금융지주","1067676","295903476","4.0091234E7","1.1111175524E10","0.36"
"293480","하나제약","0","17772946","0.0","3.18135733E8","0.00"
"039130","하나투어","286744","13939185","1.5082734E7","7.33201131E8","2.06"
"352820","하이브","513400","41353387","7.67533E7","6.182331357E9","1.24"
"071090","하이스틸","0","19999440","0.0","8.1997704E7","0.00"
"019490","하이트론","0","9611224","0.0","2.3739723E7","0.00"
"000080","하이트진로","65161","70133611","1974378.0","2.125048413E9","0.09"
"000087","하이트진로2우B","0","1130138","0.0","2.1472622E7","0.00"
"000140","하이트진로홀딩스","0","23206765","0.0","2.61076106E8","0.00"
"000145","하이트진로홀딩스우","0","470810","0.0","6591340.0","0.00"
"152550","한국ANKOR유전","0","70020000","0.0","1.092312E8","0.00"
"036460","한국가스공사","573140","92313000","1.9687359E7","3.17095155E9","0.62"
"005430","한국공항","0","3166355","0.0","1.19688219E8","0.00"
"071050","한국금융지주","368465","55725992","2.2918523E7","3.466156702E9","0.66"
"071055","한국금융지주우","0","5858251","0.0","3.36263607E8","0.00"
"010040","한국내화","0","41067062","0.0","1.27513228E8","0.00"
"025540","한국단자","0","10415000","0.0","5.384555E8","0.00"
"004090","한국석유","0","12694120","0.0","1.3963532E8","0.00"
"002200","한국수출포장","0","4000000","0.0","9.12E7","0.00"
"002960","한국쉘석유","1029","1300000","251076.0","3.172E8","0.08"
"000240","한국앤컴퍼니","256096","94935240","3124371.0","1.158209928E9","0.27"
"123890","한국자산신탁","0","123977752","0.0","4.27103356E8","0.00"
"015760","한국전력","1536616","641964077","3.4036044E7","1.4219504306E10","0.24"
"006200","한국전자홀딩스","0","46803136","0.0","6.2014155E7","0.00"
"009540","한국조선해양","138338","70773116","1.135755E7","5.810472824E9","0.20"
"023350","한국종합기술","29725","10950000","235125.0","8.66145E7","0.27"
"025890","한국주강","0","11309259","0.0","2.9969536E7","0.00"
"000970","한국주철관","14155","22800500","115363.0","1.85824075E8","0.06"
"104700","한국철강","60061","42450000","393400.0","2.780475E8","0.14"
"017960","한국카본","48032","43960757","602802.0","5.517075E8","0.11"
"161890","한국콜마","1026062","22881180","3.8323416E7","8.54612073E8","4.48"
"024720","한국콜마홀딩스","31374","18576719","536495.0","3.17661895E8","0.17"
"161390","한국타이어앤테크놀로지","271078","123875069","8904912.0","4.069296017E9","0.22"
"034830","한국토지신탁","143047","252489230","236028.0","4.1660723E8","0.06"
"007280","한국특강","0","60343051","0.0","1.46030183E8","0.00"
"168490","한국패러랠","0","80020000","0.0","1.708427E8","0.00"
"010100","한국프랜지","0","30450420","0.0","7.4299025E7","0.00"
"047810","한국항공우주","320632","97475107","1.5855252E7","4.820144041E9","0.33"
"123690","한국화장품","31804","16068000","227717.0","1.1504688E8","0.20"
"003350","한국화장품제조","0","4532000","0.0","9.9704E7","0.00"
"011500","한농화성","0","15637042","0.0","1.85298948E8","0.00"
"002390","한독","12989","13763533","225359.0","2.38797298E8","0.09"
"014790","한라","109630","37858601","426461.0","1.47269958E8","0.29"
"060980","한라홀딩스","3911","10472070","141578.0","3.79088934E8","0.04"
"053690","한미글로벌","24832","10957550","286810.0","1.26559703E8","0.23"
"042700","한미반도체","150726","98919754","1861466.0","1.221658962E9","0.15"
"008930","한미사이언스","161810","68623684","6561396.0","2.782690386E9","0.24"
"128940","한미약품","45734","12317971","1.4520545E7","3.910955793E9","0.37"
"009240","한샘","460879","23533928","2.8021443E7","1.430862822E9","1.96"
"020000","한섬","10471","24630000","312036.0","7.33974E8","0.04"
"003680","한성기업","0","6209515","0.0","3.7629661E7","0.00"
"105630","한세실업","176076","40000000","2975684.0","6.76E8","0.44"
"069640","한세엠케이","0","12909322","0.0","4.2600763E7","0.00"
"016450","한세예스24홀딩스","41197","40000000","235647.0","2.288E8","0.10"
"010420","한솔PNS","0","20493012","0.0","3.0739518E7","0.00"
"009180","한솔로지스틱스","0","27477425","0.0","8.6553889E7","0.00"
"213500","한솔제지","0","23800576","0.0","3.08217459E8","0.00"
"014680","한솔케미칼","86880","11335195","1.828824E7","2.386058548E9","0.77"
"004710","한솔테크닉스","0","32109878","0.0","1.62475983E8","0.00"
"004150","한솔홀딩스","0","42008577","0.0","1.2665586E8","0.00"
"025750","한솔홈데코","652567","80565149","841811.0","1.03929042E8","0.81"
"004960","한신공영","23304","11570702","272657.0","1.35377213E8","0.20"
"011700","한신기계","105554","32446151","867654.0","2.66707361E8","0.33"
"001750","한양증권","0","12728534","0.0","1.30467474E8","0.00"
"001755","한양증권우","0","525000","0.0","7796250.0","0.00"
"018880","한온시스템","3752764","533800000","3.6176645E7","5.145832E9","0.70"
"009420","한올바이오파마","511854","52240638","8650333.0","8.82866782E8","0.98"
"014130","한익스프레스","0","12000000","0.0","6.096E7","0.00"
"300720","한일시멘트","174684","69261540","2340766.0","9.28104636E8","0.25"
"002220","한일철강","0","26697460","0.0","1.01049886E8","0.00"
"006390","한일현대시멘트","9626","17774535","207440.0","3.83041229E8","0.05"
"003300","한일홀딩스","11747","30832884","126280.0","3.31453503E8","0.04"
"051600","한전KPS","730356","45000000","2.7315314E7","1.683E9","1.62"
"052690","한전기술","668351","38220000","4.2908134E7","2.453724E9","1.75"
"130660","한전산업","34745","32600000","352662.0","3.3089E8","0.11"
"002320","한진","85976","14947628","2407328.0","4.18533584E8","0.58"
"003480","한진중공업홀딩스","0","29529812","0.0","1.20186335E8","0.00"
"180640","한진칼","727381","66761264","4.1897146E7","3.845448806E9","1.09"
"18064K","한진칼우","0","536766","0.0","1.7444895E7","0.00"
"005110","한창","0","73943034","0.0","6.58093E7","0.00"
"009460","한창제지","0","59667486","0.0","9.516964E7","0.00"
"372910","한컴라이프케어","0","27674406","0.0","1.37818542E8","0.00"
"000880","한화","130330","74958735","3153986.0","1.814001387E9","0.17"
