일자,기관,개인,외국인,기타,전체
"2021/12/03","1112993","100699","5095529","0","6309221"
"2021/12/02","998337","135101","5818272","0","6951710"
"2021/12/01","1134595","183346","5846802","0","7164743"
"2021/11/30","2011257","224285","12801689","0","15037231"
"2021/11/29","1400129","145913","7444605","0","8990647"
"2021/11/26","1684177","71740","5225890","0","6981807"
"2021/11/25","705251","72379","5224367","0","6001997"
"2021/11/24","1197680","74933","5061458","0","6334071"
"2021/11/23","1311921","92349","5887785","0","7292055"
"2021/11/22","1928333","81657","6234464","0","8244454"
"2021/11/19","849843","79383","6357766","0","7286992"
"2021/11/18","1068399","217464","5233890","0","6519753"
"2021/11/17","2328340","143313","6761051","0","9232704"
"2021/11/16","1241217","122750","6675311","0","8039278"
"2021/11/15","1439158","146850","7363500","0","8949508"
"2021/11/12","1598376","179438","7293766","0","9071580"
"2021/11/11","1528076","125503","7044638","0","8698217"
"2021/11/10","707027","122866","6036860","0","6866753"
"2021/11/09","1620486","65339","5665902","0","7351727"
"2021/11/08","1530879","118940","5437821","0","7087640"
"2021/11/05","1531240","232804","6793965","0","8558009"
"2021/11/04","1426849","187236","6501807","0","8115892"
"2021/11/03","1081285","168916","9080481","0","10330682"
"2021/11/02","972510","89920","4229152","0","5291582"
"2021/11/01","986050","136518","5766990","1513","6891071"
"2021/10/29","1442081","136584","6466856","0","8045521"
"2021/10/28","1790990","166010","6815586","0","8772586"
"2021/10/27","3725380","241385","8198505","14000","12179270"
"2021/10/26","1566302","119770","6089992","0","7776064"
"2021/10/25","1931636","219513","4592896","0","6744045"
"2021/10/22","1022677","111715","4270295","0","5404687"
"2021/10/21","928883","163908","5661852","0","6754643"
"2021/10/20","1814048","117796","6708984","0","8640828"
"2021/10/19","1487949","119228","4553345","0","6160522"
"2021/10/18","2098091","123122","4512545","0","6733758"
"2021/10/15","2049391","167664","7075330","0","9292385"
"2021/10/14","2178073","265611","8464061","0","10907745"
"2021/10/13","1570192","174226","7137757","0","8882175"
"2021/10/12","1656827","186561","7861887","0","9705275"
"2021/10/08","1781283","186686","7296665","0","9264634"
"2021/10/07","1372574","225641","7020643","0","8618858"
"2021/10/06","1710676","178769","9140120","84","11029649"
"2021/10/05","2004365","227476","9962857","0","12194698"
"2021/10/01","2746835","187569","7581275","0","10515679"
"2021/09/30","2501271","236811","8223215","0","10961297"
"2021/09/29","2470191","148411","6020160","0","8638762"
"2021/09/28","2183914","151835","4514782","5000","6855531"
"2021/09/27","1291357","122875","4264718","0","5678950"
"2021/09/24","1201045","109561","6636611","0","7947217"
"2021/09/23","1148700","153014","6483443","2","7785159"
"2021/09/17","1517716","138770","9008626","2","10665114"
"2021/09/16","1222408","156827","8379715","5","9758955"
"2021/09/15","1754861","127153","6463164","5","8345183"
"2021/09/14","1281582","89602","5559164","10","6930358"
"2021/09/13","1362457","141824","5547252","0","7051533"
"2021/09/10","1988441","115615","6469142","31","8573229"
"2021/09/09","2401295","114108","7509391","0","10024794"
"2021/09/08","1584806","174874","6388447","8","8148135"
"2021/09/07","1711854","98339","4752310","0","6562503"
"2021/09/06","875168","86158","4957888","0","5919214"
"2021/09/03","1002302","76742","6503790","15","7582849"
"2021/09/02","1164583","180961","5483258","0","6828802"
"2021/09/01","1689400","125015","5486741","0","7301156"
"2021/08/31","1402137","116801","5965008","0","7483946"
"2021/08/30","1311474","133280","4264539","15","5709308"
"2021/08/27","866495","165483","4228042","0","5260020"
"2021/08/26","1411114","181157","6876317","0","8468588"
"2021/08/25","1177930","240605","6240879","0","7659414"
"2021/08/24","1077310","152409","7048264","30","8278013"
"2021/08/23","1322611","167225","7839711","0","9329547"
"2021/08/20","1732569","226940","8750735","45","10710289"
"2021/08/19","1373460","158339","6672437","0","8204236"
"2021/08/18","976414","275831","5090047","0","6342292"
"2021/08/17","1511571","146429","5380838","10","7038848"
"2021/08/13","1403580","86989","8168546","0","9659115"
"2021/08/12","1822004","211609","7737549","0","9771162"
"2021/08/11","1189596","101251","5373012","0","6663859"
"2021/08/10","2258413","237415","4899641","0","7395469"
"2021/08/09","2046064","123888","4511372","0","6681324"
"2021/08/06","855579","100600","6399350","0","7355529"
"2021/08/05","1006536","216389","3983512","0","5206437"
"2021/08/04","969064","159405","4571134","0","5699603"
"2021/08/03","883541","121905","4755161","20","5760627"
"2021/08/02","910129","115312","4702556","0","5727997"
"2021/07/30","1045967","138551","5310178","0","6494696"
"2021/07/29","891354","145473","4715733","0","5752560"
"2021/07/28","649317","140464","5395827","0","6185608"
"2021/07/27","871864","95867","5305892","0","6273623"
"2021/07/26","882142","118417","4456383","0","5456942"
"2021/07/23","1429135","137823","5073723","0","6640681"
"2021/07/22","1392077","149129","5730906","0","7272112"
"2021/07/21","3427195","183540","5825438","0","9436173"
"2021/07/20","2344989","141937","5612774","0","8099700"
"2021/07/19","1646264","102016","4187671","0","5935951"
"2021/07/16","1797473","81705","5179010","100","7058288"
"2021/07/15","1753322","106252","5200937","0","7060511"
"2021/07/14","1366747","113121","5705962","0","7185830"
"2021/07/13","1073484","141527","5600618","0","6815629"
"2021/07/12","1194594","124434","4775357","0","6094385"
"2021/07/09","3027598","220705","7043932","0","10292235"
