일자,기관,개인,외국인,기타,전체
"2021/10/05","158904644317","11196406565","526863718755","0","696964769637"
"2021/10/01","189912212915","9552981120","341638973005","0","541104167040"
"2021/09/30","187654485984","9632648695","355924513430","0","553211648109"
"2021/09/29","173895742941","10700540340","340434645185","0","525030928466"
"2021/09/28","124965569356","9192945490","271352785835","95710000","405607010681"
"2021/09/27","73927501984","7857705085","245073072580","0","326858279649"
"2021/09/24","82045903903","6847866380","357279790015","0","446173560298"
"2021/09/23","68337069149","7411696985","335281197004","529000","411030492138"
"2021/09/17","109708746211","8249813550","472142757785","551000","590101868546"
"2021/09/16","62476113511","6830243635","386344033458","192000","455650582604"
"2021/09/15","105275090162","6836286850","338039886910","191000","450151454922"
"2021/09/14","74274329112","6405695645","355746296535","385500","436426706792"
"2021/09/13","116382152398","8609371540","285514661545","0","410506185483"
"2021/09/10","166281114398","9597521930","497715363775","1208000","673595208103"
"2021/09/09","175721734908","7015860970","347406874910","0","530144470788"
"2021/09/08","136537028443","10194639755","450075581622","1108000","596808357820"
"2021/09/07","68668263649","5393404085","271177287615","0","345238955349"
"2021/09/06","38457239826","4651955180","252100622310","0","295209817316"
"2021/09/03","62940570079","6611604045","372981365405","599500","442534139029"
"2021/09/02","72790148458","6880282150","315415343605","0","395085774213"
"2021/09/01","79514452955","6271953690","285350154450","0","371136561095"
"2021/08/31","80656368912","8713315600","349089768125","0","438459452637"
"2021/08/30","61471405591","8116898315","300578020590","615000","370166939496"
"2021/08/27","53618829088","7697714505","235315664970","0","296632208563"
"2021/08/26","85402766437","8765837165","393132906805","0","487301510407"
"2021/08/25","70255811932","10092911055","347678607725","0","428027330712"
"2021/08/24","82769422244","7291491935","435881401415","5880000","525948195594"
"2021/08/23","82756487001","11049349060","427330775745","0","521136611806"
"2021/08/20","82838755339","10130572125","394350626620","6480000","487326434084"
"2021/08/19","90702989777","8378747590","313331998750","0","412413736117"
"2021/08/18","54113945801","9005510290","248468388249","0","311587844340"
"2021/08/17","89750894662","13163423650","369820334455","2910000","472737562767"
"2021/08/13","118357981390","8003131300","432134015275","0","558495127965"
"2021/08/12","121260052427","10159298440","357808361505","0","489227712372"
"2021/08/11","82531488525","8516335080","378020687755","0","469068511360"
"2021/08/10","90106736370","19111886625","285919471390","0","395138094385"
"2021/08/09","117338378052","5142701470","247432107295","0","369913186817"
"2021/08/06","62799726928","6283954690","267923487040","0","337007168658"
"2021/08/05","58600076479","8859401210","241592973135","0","309052450824"
"2021/08/04","49452088141","8618845710","261796778835","0","319867712686"
"2021/08/03","51939233401","7463306655","294655052885","2880000","354060472941"
"2021/08/02","53151392699","5776884615","285641436915","0","344569714229"
"2021/07/30","69255993816","7551313725","288619266715","0","365426574256"
"2021/07/29","40199751573","5835212975","247893290650","0","293928255198"
"2021/07/28","55633732321","6241027285","310943857815","0","372818617421"
"2021/07/27","60356986218","5566891085","260588104525","0","326511981828"
"2021/07/26","81203241545","5927642815","259091634500","0","346222518860"
"2021/07/23","76203413134","7901158910","267756589965","0","351861162009"
"2021/07/22","92201436227","7995837970","265339435970","0","365536710167"
"2021/07/21","125685302435","7267344445","245178343290","0","378130990170"
"2021/07/20","96350990932","7838060775","297797038570","0","401986090277"
"2021/07/19","98259074939","4885508870","210444640000","0","313589223809"
"2021/07/16","125150386528","5803576340","277146302125","15750000","408116014993"
"2021/07/15","110604889863","6785742770","280567942550","0","397958575183"
"2021/07/14","78070673417","6772553835","294243973995","0","379087201247"
"2021/07/13","97352417401","7426678290","257831097685","0","362610193376"
"2021/07/12","71464866769","5675253940","217251553515","0","294391674224"
"2021/07/09","180892720002","7659951990","348372768930","0","536925440922"
"2021/07/08","90406639077","6444266265","332586142385","0","429437047727"
"2021/07/07","110080729915","6342537390","244213831460","0","360637098765"
"2021/07/06","72779150527","5931730420","187657737475","0","266368618422"
"2021/07/05","66914665916","6924251995","199188446105","0","273027364016"
"2021/07/02","64129718322","5336870840","211080297310","0","280546886472"
"2021/07/01","111412797988","9618423540","317790282680","0","438821504208"
"2021/06/30","73197127905","7998832135","228833972965","0","310029933005"
"2021/06/29","82123591299","6610141970","205843886040","0","294577619309"
"2021/06/28","91486482740","8716763155","256057217960","0","356260463855"
"2021/06/25","101991111007","9682281080","224340476605","0","336013868692"
"2021/06/24","183822212146","12420609845","329382437920","0","525625259911"
"2021/06/23","122260422021","9843024005","291174980010","20690500","423299116536"
"2021/06/22","80414741666","8298727780","259469023060","0","348182492506"
"2021/06/21","131888071839","4810964890","358669075175","0","495368111904"
"2021/06/18","89817298941","4953150355","281344664525","0","376115113821"
"2021/06/17","155294292998","5168735100","304168855035","0","464631883133"
"2021/06/16","66496218906","4698153860","224726235408","0","295920608174"
"2021/06/15","43987681285","5122778340","343466974150","0","392577433775"
"2021/06/14","49580171764","5655393550","206067356710","4248000","261307170024"
"2021/06/11","117808378792","7901998400","341373412255","26673700","467110463147"
"2021/06/10","126053718815","8851189800","391357003160","0","526261911775"
"2021/06/09","121240111078","7655691360","246489683415","19617800","375405103653"
"2021/06/08","85126018458","10071972395","276212667895","0","371410658748"
"2021/06/07","114936755114","8219028580","288030963060","22447340","411209194094"
"2021/06/04","125541397752","8800228545","311682560655","0","446024186952"
"2021/06/03","67715540372","5459317835","298605895830","0","371780754037"
"2021/06/02","125236706302","9790434870","333088526305","0","468115667477"
"2021/06/01","62989821206","7701336935","318132694470","12012150","388835864761"
"2021/05/31","91105610708","4517767470","365716020400","92106620","461431505198"
"2021/05/28","82678333332","5075559270","356732631540","15927000","444502451142"
"2021/05/27","81884757657","6902109360","652451282580","0","741238149597"
"2021/05/26","69173893064","5967856965","494266004580","0","569407754609"
"2021/05/25","44049622442","7612681120","377760705755","16060800","429439070117"
"2021/05/24","71370228139","7909683085","436917623520","16141000","516213675744"
"2021/05/21","87497777278","10261780055","469398047355","30217200","567187821888"
"2021/05/20","78400630999","7828683140","531892967585","0","618122281724"
"2021/05/18","53355789549","8844208000","411273246605","0","473473244154"
"2021/05/17","94386603042","6741361095","346759934611","0","447887898748"
"2021/05/14","64715276016","9705101055","350244321460","16110000","424680808531"
"2021/05/13","120012033270","10600329460","601031429840","43641860","731687434430"
"2021/05/12","99777664828","9932382355","706546924855","29702000","816286674038"
"2021/05/11","93853147765","9009004070","586421465435","2675200","689286292470"
"2021/05/10","49791789074","9290849645","395289166735","1373500","454373178954"
"2021/05/07","38123351874","8344111390","351364119420","382500","397831965184"
"2021/05/06","52333737964","11538926975","598143939195","0","662016604134"
"2021/05/04","85016825643","10990763195","619900976110","0","715908564948"
"2021/05/03","62573024203","13412146460","753931912570","0","829917083233"
"2021/04/30","15250052698","0","0","0","15250052698"
"2021/04/29","10793647915","0","0","0","10793647915"
"2021/04/28","19667328271","0","0","0","19667328271"
"2021/04/27","18461928427","0","0","0","18461928427"
"2021/04/26","17555294324","0","0","0","17555294324"
"2021/04/23","10650618984","0","0","0","10650618984"
"2021/04/22","8997394555","0","0","0","8997394555"
"2021/04/21","21635607673","0","0","0","21635607673"
"2021/04/20","8699459546","0","0","0","8699459546"
"2021/04/19","8240573447","0","0","0","8240573447"
"2021/04/16","6075557308","0","0","0","6075557308"
"2021/04/15","17864340702","0","0","0","17864340702"
"2021/04/14","6382153779","0","0","0","6382153779"
"2021/04/13","9215464255","0","0","0","9215464255"
"2021/04/12","8227100333","0","0","0","8227100333"
"2021/04/09","14074227928","0","0","0","14074227928"
"2021/04/08","17826298227","0","0","0","17826298227"
"2021/04/07","16321052200","0","0","0","16321052200"
"2021/04/06","13519131735","0","0","0","13519131735"
"2021/04/05","5426766419","0","0","0","5426766419"
"2021/04/02","11738165198","0","0","0","11738165198"
"2021/04/01","14187337909","0","0","0","14187337909"
"2021/03/31","15276554947","0","0","0","15276554947"
"2021/03/30","10222600824","0","0","0","10222600824"
"2021/03/29","19104642874","0","0","0","19104642874"
"2021/03/26","11414310942","0","0","0","11414310942"
"2021/03/25","9586407533","0","0","0","9586407533"
"2021/03/24","8493085903","0","0","0","8493085903"
"2021/03/23","10327614156","0","0","0","10327614156"
"2021/03/22","13691374709","0","0","0","13691374709"
"2021/03/19","28415819902","0","0","0","28415819902"
"2021/03/18","12175657735","0","0","0","12175657735"
"2021/03/17","21800868291","0","0","0","21800868291"
"2021/03/16","9041451447","0","0","0","9041451447"
"2021/03/15","21733770815","0","0","0","21733770815"
"2021/03/12","11943697855","0","0","0","11943697855"
"2021/03/11","15303070355","0","0","0","15303070355"
"2021/03/10","5072474612","0","0","0","5072474612"
"2021/03/09","10132396450","0","0","0","10132396450"
"2021/03/08","6237610855","0","0","0","6237610855"
"2021/03/05","17616098543","0","0","0","17616098543"
"2021/03/04","16650826693","0","0","0","16650826693"
"2021/03/03","3839507182","0","0","0","3839507182"
"2021/03/02","11036249531","0","0","0","11036249531"
"2021/02/26","19905180071","0","0","0","19905180071"
"2021/02/25","7665261156","0","0","0","7665261156"
"2021/02/24","8474311674","0","0","0","8474311674"
"2021/02/23","7181947334","0","0","0","7181947334"
"2021/02/22","8957520357","0","0","0","8957520357"
"2021/02/19","10045251027","0","0","0","10045251027"
"2021/02/18","8718677782","0","0","0","8718677782"
"2021/02/17","10451529588","0","0","0","10451529588"
"2021/02/16","5709673794","0","0","0","5709673794"
"2021/02/15","4621947118","0","0","0","4621947118"
"2021/02/10","5191771938","0","0","0","5191771938"
"2021/02/09","7857011397","0","0","0","7857011397"
"2021/02/08","11445022999","0","0","0","11445022999"
"2021/02/05","8914438284","0","0","0","8914438284"
"2021/02/04","11901597490","0","0","0","11901597490"
"2021/02/03","5333766488","0","0","0","5333766488"
"2021/02/02","10534111977","0","0","0","10534111977"
"2021/02/01","11528837744","0","0","0","11528837744"
"2021/01/29","12117028467","0","0","0","12117028467"
"2021/01/28","9396231438","0","0","0","9396231438"
"2021/01/27","11463273599","0","0","0","11463273599"
"2021/01/26","13770392399","0","0","0","13770392399"
"2021/01/25","12165731063","0","0","0","12165731063"
"2021/01/22","13621266642","0","0","0","13621266642"
"2021/01/21","13072231798","0","0","0","13072231798"
"2021/01/20","7703123621","0","0","0","7703123621"
"2021/01/19","13204142167","0","0","0","13204142167"
"2021/01/18","12034930566","0","0","0","12034930566"
"2021/01/15","10377046950","0","0","0","10377046950"
"2021/01/14","11063934652","0","0","0","11063934652"
"2021/01/13","9441229082","0","0","0","9441229082"
"2021/01/12","11918772069","0","0","0","11918772069"
"2021/01/11","8369405213","0","0","0","8369405213"
"2021/01/08","15758050170","0","0","0","15758050170"
"2021/01/07","8899480971","0","0","0","8899480971"
"2021/01/06","12510404426","0","0","0","12510404426"
"2021/01/05","13862504742","0","0","0","13862504742"
"2021/01/04","31128651988","0","0","0","31128651988"
"2020/12/30","13211520756","0","0","0","13211520756"
"2020/12/29","9784974721","0","0","0","9784974721"
"2020/12/28","7989972776","0","0","0","7989972776"
"2020/12/24","7898001076","0","0","0","7898001076"
"2020/12/23","16444530427","0","0","0","16444530427"
"2020/12/22","7065805350","0","0","0","7065805350"
"2020/12/21","6207359854","0","0","0","6207359854"
"2020/12/18","7143644810","0","0","0","7143644810"
"2020/12/17","7567235287","0","0","0","7567235287"
"2020/12/16","15592773231","0","0","0","15592773231"
"2020/12/15","11454126780","0","0","0","11454126780"
"2020/12/14","14960956307","0","0","0","14960956307"
"2020/12/11","25970723422","0","0","0","25970723422"
"2020/12/10","48094668416","0","0","0","48094668416"
"2020/12/09","10198830851","0","0","0","10198830851"
"2020/12/08","7944735553","0","0","0","7944735553"
"2020/12/07","7437904671","0","0","0","7437904671"
"2020/12/04","10835122842","0","0","0","10835122842"
"2020/12/03","5857623652","0","0","0","5857623652"
"2020/12/02","6602220844","0","0","0","6602220844"
"2020/12/01","6457514819","0","0","0","6457514819"
"2020/11/30","16365914219","0","0","0","16365914219"
"2020/11/27","8756828548","0","0","0","8756828548"
"2020/11/26","9099194472","0","0","0","9099194472"
"2020/11/25","8138047378","0","0","0","8138047378"
"2020/11/24","9243721652","0","0","0","9243721652"
"2020/11/23","10019706348","0","0","0","10019706348"
"2020/11/20","7339105493","0","0","0","7339105493"
"2020/11/19","6107046601","0","0","0","6107046601"
"2020/11/18","6976747561","0","0","0","6976747561"
"2020/11/17","7748670045","0","0","0","7748670045"
"2020/11/16","11572825258","0","0","0","11572825258"
"2020/11/13","5690646558","0","0","0","5690646558"
"2020/11/12","7745347004","0","0","0","7745347004"
"2020/11/11","8724812625","0","0","0","8724812625"
"2020/11/10","7261251382","0","0","0","7261251382"
"2020/11/09","9978701289","0","0","0","9978701289"
"2020/11/06","8783700689","0","0","0","8783700689"
"2020/11/05","8968520024","0","0","0","8968520024"
"2020/11/04","10735219895","0","0","0","10735219895"
"2020/11/03","9132589530","0","0","0","9132589530"
"2020/11/02","3924095502","0","0","0","3924095502"
"2020/10/30","7762206930","0","0","0","7762206930"
"2020/10/29","4791828180","0","0","0","4791828180"
"2020/10/28","4105001061","0","0","0","4105001061"
"2020/10/27","6223063915","0","0","0","6223063915"
"2020/10/26","7473690634","0","0","0","7473690634"
"2020/10/23","5060062045","0","0","0","5060062045"
"2020/10/22","4408811641","0","0","0","4408811641"
"2020/10/21","6494408997","0","0","0","6494408997"
"2020/10/20","8608939746","0","0","0","8608939746"
"2020/10/19","7775602522","0","0","0","7775602522"
"2020/10/16","5641538043","0","0","0","5641538043"
"2020/10/15","5384382808","0","0","0","5384382808"
"2020/10/14","4223832625","0","0","0","4223832625"
"2020/10/13","4455838965","0","0","0","4455838965"
"2020/10/12","7353865843","0","0","0","7353865843"
"2020/10/08","9486286630","0","0","0","9486286630"
"2020/10/07","3110995534","0","0","0","3110995534"
