,종목명,종가,거래량_합계,거래대금_합계,years,month,시가총액,상장주식수,kospi벤치마크지수,시가총액대비거래대금,소외주,종목코드_y,PBR,업종명,업종월평균PBR,LOW P/B
842,새론오토모티브,4015,118869,479545140,2020,9,77088000000,19200000,0.8796248469332253,0.6220749533001245,so,075180,0.36,운수장비,0.8535294117647059,LOW
234,대림통상,4020,20595,82268790,2013,8,61204500000,15225000,0.34572989982408203,0.13441624390363455,so,006570,0.44,기계,0.9259090909090912,LOW
108,대림통상,4020,45271,180642505,2012,7,61204500000,15225000,0.3886272337776552,0.29514578993374674,so,006570,0.41,기계,0.83,LOW
746,대림통상,4020,34168,136271740,2019,11,61204500000,15225000,0.3720141257896043,0.22264987051605684,so,006570,0.58,기계,1.0058064516129033,LOW
208,대림통상,4020,24221,96556630,2013,5,61204500000,15225000,0.36792781989249856,0.1577606711924777,so,006570,0.44,기계,0.9454545454545454,LOW
252,대림통상,4025,21720,85971150,2013,10,61280625000,15225000,0.3568913321082163,0.14029091576660652,so,006570,0.44,기계,0.9372727272727276,LOW
375,도화엔지니어링,4025,94848,394245265,2015,9,135723000000,33720000,0.40587282816327674,0.29047785931640174,so,002150,0.63,서비스업,2.6380434782608693,LOW
319,흥국화재,4030,155489,636901635,2014,5,258897859350,64242645,0.30803690559940516,0.24600498304583607,so,000540,0.9,보험,1.0450000000000002,LOW
270,대림통상,4040,28619,113439710,2013,11,61509000000,15225000,0.31210260052721794,0.1844278235705344,so,006570,0.44,기계,0.881363636363636,LOW
194,대림통상,4040,13075,52156240,2013,3,61509000000,15225000,0.33225589484901363,0.08479448535986604,so,006570,0.42,기계,0.9449999999999998,LOW
856,대림통상,4040,61488,251107530,2020,11,61509000000,15225000,0.8855653748837969,0.4082451836316637,so,006570,0.67,기계,1.8651515151515148,LOW
213,대림통상,4040,35559,141479835,2013,6,61509000000,15225000,0.3753315123956449,0.23001485148514852,so,006570,0.44,기계,0.8513636363636361,LOW
308,대림통상,4040,26647,107776930,2014,3,61509000000,15225000,0.31720100920644656,0.17522139849452925,so,006570,0.44,기계,0.9090476190476189,LOW
185,대림통상,4045,35376,142043675,2013,2,61585125000,15225000,0.3204307511804749,0.23064607727921313,so,006570,0.42,기계,0.9072727272727271,LOW
247,대림통상,4050,20750,82489300,2013,9,61661250000,15225000,0.38404992695172885,0.13377818321879625,so,006570,0.45,기계,0.9363636363636361,LOW
711,대림통상,4055,43265,181566500,2019,7,61737375000,15225000,0.31964141304656624,0.29409494653765245,so,006570,0.58,기계,1.011290322580645,LOW
378,도화엔지니어링,4055,129028,526023350,2015,10,136734600000,33720000,0.41799981423063737,0.384703908154922,so,002150,0.64,서비스업,2.6293478260869567,LOW
11,대림통상,4060,67164,267806535,2012,1,61813500000,15225000,0.49998729901411776,0.43324926593705254,so,006570,0.51,기계,1.018,LOW
864,대림통상,4075,95945,400744095,2021,1,62041875000,15225000,1.2436685344928111,0.6459251835957569,so,006570,0.68,기계,1.9496969696969697,LOW
306,흥국화재,4085,164728,671387685,2014,3,262431204825,64242645,0.31720100920644656,0.2558337852572483,so,000540,0.72,보험,0.9349999999999999,LOW
75,대림통상,4090,65845,266092625,2012,5,62270250000,15225000,0.43191862856455754,0.4273190247349256,so,006570,0.42,기계,0.8376190476190475,LOW
296,흥국화재,4090,146654,594346920,2014,2,262752418050,64242645,0.32358909492292,0.22620036169825078,so,000540,0.72,보험,0.9360000000000002,LOW
542,대동전자,4095,47249,192046170,2018,4,42958380465,10490447,0.4763980008007101,0.4470516996246358,so,008110,0.35,전기전자,1.99531914893617,LOW
373,도화엔지니어링,4100,154893,633831315,2015,8,138252000000,33720000,0.47703044189566235,0.4584608649422793,so,002150,0.65,서비스업,2.683777777777778,LOW
289,대림통상,4100,45036,184385150,2014,1,62422500000,15225000,0.3379591512120073,0.29538251431775403,so,006570,0.45,기계,0.8436363636363637,LOW
316,흥국화재,4120,160220,663369475,2014,4,264679697400,64242645,0.30131362900403463,0.2506310387673883,so,000540,0.92,보험,1.038,LOW
753,대림통상,4120,17120,68790665,2019,12,62727000000,15225000,0.35086877151012275,0.10966675434820732,so,006570,0.59,기계,1.0703225806451613,LOW
282,흥국화재,4120,216662,892671075,2014,1,264679697400,64242645,0.3379591512120073,0.3372646575347037,so,000540,0.73,보험,0.9650000000000002,LOW
367,흥국화재,4125,256779,1107374790,2015,5,265000910625,64242645,0.44618758447961354,0.41787584328984984,so,000540,0.67,보험,0.9520000000000002,LOW
154,대림통상,4135,56743,233444725,2012,11,62955375000,15225000,0.3935360244208503,0.370809839509335,so,006570,0.43,기계,0.838095238095238,LOW
837,대림통상,4145,123714,500522450,2020,9,63107625000,15225000,0.8796248469332253,0.7931251572214927,so,006570,0.69,기계,1.4724242424242424,LOW
681,대림통상,4145,52975,215631650,2019,3,63107625000,15225000,0.34430832810427264,0.34168874204979194,so,006570,0.57,기계,1.155806451612903,LOW
823,대림통상,4150,76700,345966980,2020,8,63183750000,15225000,1.0138335236559897,0.5475568955625457,so,006570,0.69,기계,1.2321874999999998,LOW
720,대림통상,4150,44682,179283560,2019,8,63183750000,15225000,0.3597976288584445,0.2837494767246325,so,006570,0.59,기계,0.9854838709677416,LOW
802,대림통상,4150,51986,216655595,2020,6,63183750000,15225000,0.9104022812711847,0.34289765169050584,so,006570,0.69,기계,1.1503125,LOW
301,대림통상,4150,15522,62992215,2014,2,63183750000,15225000,0.32358909492292,0.09969686034779512,so,006570,0.46,기계,0.8804545454545455,LOW
645,대림통상,4180,17411,70379940,2018,12,63640500000,15225000,0.38276591630765733,0.11058986023051358,so,006570,0.58,기계,1.0900000000000003,LOW
278,흥국화재,4180,47909,204117315,2013,12,268534256100,64242645,0.2932497775657455,0.07601164855629755,so,000540,0.74,보험,0.97,LOW
796,대림통상,4180,34797,144413950,2020,5,63640500000,15225000,0.7521586910500662,0.226921457248136,so,006570,0.7,기계,1.15375,LOW
726,대림통상,4185,37993,159109215,2019,9,63716625000,15225000,0.33054681921881063,0.2497138148795546,so,006570,0.6,기계,1.06,LOW
847,대림통상,4195,62132,269858150,2020,10,63868875000,15225000,0.6731917961509821,0.42251902824341275,so,006570,0.7,기계,1.4460606060606063,LOW
