종목명,years,month,상장주식수대비월거래량합계,거래대금,상장시가총액,벤치마크지수,소외주,EPS,PER,BPS,PBR,업종명,업종월평균PBR,LOW P/B
LS네트웍스,2017,5,0.3245802165744519,6208851.684210527,1500435875.631579,0.4137612507588453,소외주,,,7650.0,0.41,유통업,1.528775510204082,LOW
LS네트웍스,2017,6,0.3604646299324381,6132872.19047619,1537018560.0952382,0.39906106450836776,소외주,,,7650.0,0.4,유통업,1.4075510204081632,LOW
LS네트웍스,2017,7,0.27892587258335394,5310060.428571428,1567589319.857143,0.3387411617151975,소외주,,,7650.0,0.4,유통업,1.3410204081632657,LOW
LS네트웍스,2017,10,0.1811707308258354,6202413.625,1615598492.5,0.3839944110923485,소외주,,,7650.0,0.38,유통업,1.2830000000000001,LOW
LS네트웍스,2018,2,0.25268068420122397,6886748.222222222,1607400127.2222223,0.42888500986471795,소외주,,,7650.0,0.41,유통업,1.25734693877551,LOW
LS네트웍스,2018,3,0.19450143887893834,6883677.857142857,1628916155.6190476,0.4228930866411998,소외주,,,7650.0,0.41,유통업,1.2916326530612245,LOW
LS네트웍스,2018,11,0.3020493530349143,5292702.0,1396110029.2727273,0.379092720665869,소외주,280.0,9.18,7902.0,0.33,유통업,1.290192307692308,LOW
LS네트웍스,2018,12,0.3097965184479741,5249589.157894737,1371269442.0,0.38276591485349426,소외주,280.0,8.86,7902.0,0.31,유통업,1.2709615384615387,LOW
LS네트웍스,2019,1,0.33271061605053287,5603161.363636363,1386157413.6363637,0.4032552534195176,소외주,280.0,10.13,7902.0,0.36,유통업,1.3688461538461536,LOW
LS네트웍스,2020,5,0.7241271070132645,9957334.47368421,1320678066.5789473,0.7521586946298098,소외주,,,6590.0,0.29,유통업,1.137857142857143,LOW
NPC,2017,2,0.32893790849673205,4484081.35,1347227097.25,0.332872062289318,소외주,596.0,11.41,4960.0,1.37,화학,1.8615662650602403,LOW
NPC,2017,3,0.336593137254902,5025620.090909091,1382749052.590909,0.3634812135281776,소외주,596.0,10.82,4960.0,1.3,화학,1.838674698795181,LOW
NPC,2017,5,0.29936546840958606,6208851.684210527,1500435875.631579,0.4137612507588453,소외주,966.0,6.78,5845.0,1.12,화학,1.6759523809523802,LOW
NPC,2017,6,0.3825381263616558,6132872.19047619,1537018560.0952382,0.39906106450836776,소외주,966.0,6.64,5845.0,1.1,화학,1.6410714285714287,LOW
NPC,2017,7,0.1262418300653595,5310060.428571428,1567589319.857143,0.3387411617151975,소외주,966.0,6.61,5845.0,1.09,화학,1.622976190476191,LOW
NPC,2017,8,0.20142701525054466,4939218.2272727275,1539981849.409091,0.320802677188011,소외주,966.0,6.61,5845.0,1.09,화학,1.671428571428572,LOW
NPC,2017,10,0.29732298474945534,6202413.625,1615598492.5,0.3839944110923485,소외주,966.0,6.24,5845.0,1.03,화학,1.8470588235294119,LOW
NPC,2017,11,0.34544117647058825,6269779.636363637,1645791085.9545455,0.3812153047557505,소외주,966.0,5.65,5845.0,0.93,화학,1.9811764705882347,LOW
NPC,2018,2,0.16108660130718955,6886748.222222222,1607400127.2222223,0.42888500986471795,소외주,966.0,5.8,5845.0,0.96,화학,1.9010714285714279,LOW
NPC,2018,4,0.3247113289760349,7812027.0,1638803401.1904762,0.4763979976332588,소외주,966.0,5.61,5845.0,0.93,화학,2.147441860465116,LOW
NPC,2018,7,0.12363017429193901,5510769.181818182,1527309146.4545455,0.3608696312306022,소외주,280.0,15.48,5966.0,0.73,화학,1.720111111111111,LOW
NPC,2018,8,0.10782952069716775,5226406.636363637,1527952908.6363637,0.3420772858876253,소외주,280.0,16.48,5966.0,0.77,화학,1.7758888888888884,LOW
NPC,2018,12,0.36155773420479304,5249589.157894737,1371269442.0,0.38276591485349426,소외주,280.0,13.45,5966.0,0.63,화학,1.477555555555555,LOW
NPC,2019,1,0.2391230936819172,5603161.363636363,1386157413.6363637,0.4032552534195176,소외주,280.0,13.86,5966.0,0.65,화학,1.549555555555556,LOW
NPC,2019,3,0.33275599128540306,4921997.25,1428377200.5,0.34430832741815387,소외주,280.0,14.2,5966.0,0.67,화학,1.525730337078652,LOW
NPC,2019,5,0.3818654684095861,5382849.0,1384116388.9047618,0.3889409605308684,소외주,282.0,12.94,6215.0,0.59,화학,1.2902127659574467,LOW
SJM홀딩스,2018,4,0.46288980158574977,7812027.0,1638803401.1904762,0.4763979976332588,소외주,418.0,10.85,8884.0,0.51,유통업,1.3889999999999998,LOW
