,종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,years,month,상장주식수대비거래량,시가총액대비거래대금
59,009770,삼정펄프,43350,150,0.35,43600,43600,43200,699,30241450,108373742850,2499971,2017,10,0.02796032433976234,0.02790477582919431
60,004080,신흥,10450,100,0.97,10350,10450,10300,2700,28064750,100320000000,9600000,2017,10,0.028124999999999997,0.027975229266347688
61,002005,한국유리우,25950,450,1.76,25500,25950,25500,128,3274000,11801203650,454767,2017,10,0.028146281502395735,0.027742932815162463
62,015890,태경산업,5180,20,0.39,5160,5190,5130,8361,43208700,151404925000,29228750,2017,10,0.028605397083351154,0.028538503618690078
63,002250,알보젠코리아,28000,250,0.9,28050,28050,27750,3408,94653350,332021816000,11857922,2017,10,0.028740280126652886,0.028508171884705315
64,002220,한일철강,25150,100,0.4,24700,25250,24700,588,14703400,51306000000,2040000,2017,10,0.028823529411764703,0.028658246598838342
65,037710,광주신세계,239500,4000,1.7,235500,240500,235000,466,111247000,383200000000,1600000,2017,10,0.029125,0.029031054279749478
66,024090,디씨엠,12700,150,1.2,12550,12700,12450,3460,43367500,148590000000,11700000,2017,10,0.029572649572649573,0.029186015209637258
67,003460,유화증권,17650,0,0.0,17450,17650,17250,3395,59537350,200159524950,11340483,2017,10,0.02993699651064245,0.029744949691938204
68,016380,동부제철,7290,-70,-0.95,7400,7400,7230,7500,54526880,182250896670,25000123,2017,10,0.02999985240072619,0.02991857982390688
69,035000,지투알,11150,200,1.83,10950,11250,10800,5134,57066500,184726610350,16567409,2017,10,0.030988551076393415,0.030892408999372952
70,025000,KPX케미칼,75300,-2200,-2.84,77500,77800,75300,1606,122648200,364452000000,4840000,2017,10,0.03318181818181818,0.03365277183277908
71,012160,영흥철강,1260,0,0.0,1250,1265,1250,28720,35966155,108141401340,85826509,2017,10,0.03346285469912332,0.03325845102276904
72,094800,맵스리얼티1,3950,0,0.0,3950,3955,3935,31297,123470020,366695607450,92834331,2017,10,0.033712743618521904,0.03367098418729641
73,025530,SJM홀딩스,4705,55,1.18,4650,4715,4630,5198,24417370,70264507640,14934008,2017,10,0.034806463208001494,0.034750645553658935
74,004255,NPC우,2930,15,0.51,2915,2930,2880,1848,5357445,15470400000,5280000,2017,10,0.034999999999999996,0.03463029398076326
75,019440,세아특수강,21350,-300,-1.39,21650,21900,21350,3005,64765550,182969500000,8570000,2017,10,0.035064177362893814,0.03539691041403075
76,163560,동일고무벨트,9680,-100,-1.02,9800,9800,9600,4448,42988440,122355200000,12640000,2017,10,0.03518987341772152,0.035134134062140394
77,013700,까뮤이앤씨,10050,0,0.0,10050,10050,9960,1617,16131180,45378041400,4515228,2017,10,0.03581214503453646,0.0355484271738533
78,021820,세원정공,17100,700,4.27,15950,17400,15950,3621,60658950,171000000000,10000000,2017,10,0.03621,0.0354730701754386
79,003830,대한화섬,114000,500,0.44,114000,115000,113000,488,55669500,151392000000,1328000,2017,10,0.03674698795180723,0.03677175808497147
80,001725,신영증권우,55800,-200,-0.36,56000,56000,55700,2600,145433300,393599975400,7053763,2017,10,0.03685975840129588,0.03694951958576774
81,003960,사조대림,24150,-300,-1.23,24400,24400,24100,2298,55635050,143947886250,5960575,2017,10,0.03855332748937812,0.03864943866100014
82,023000,삼원강재,3390,-5,-0.15,3395,3425,3385,15517,52685465,135600000000,40000000,2017,10,0.0387925,0.038853587758112096
83,006110,삼아알미늄,3460,0,0.0,3495,3495,3415,4348,14971345,38060000000,11000000,2017,10,0.03952727272727273,0.03933616657908565
84,009140,경인전자,20250,-250,-1.22,20500,20500,20150,624,12630200,31808639250,1570797,2017,10,0.039725056770543866,0.039706822730557395
85,001795,대한제당우,14400,100,0.7,14300,14400,14150,262,3714900,9335174400,648276,2017,10,0.040414885018109574,0.03979465022099641
86,015350,부산가스,36750,-150,-0.41,37100,37100,36700,4480,164637100,404250000000,11000000,2017,10,0.04072727272727272,0.04072655534941249
87,000157,두산2우B,80100,100,0.13,80300,80300,79500,403,32224600,78953368500,985685,2017,10,0.04088527267839117,0.040814724706774226
88,004970,신라교역,15350,500,3.37,14900,15350,14900,6566,99082700,245600000000,16000000,2017,10,0.0410375,0.04034311889250814
89,011300,성안,687,0,0.0,689,689,679,23449,16046204,39061349820,56857860,2017,10,0.04124143961802291,0.04107949180953317
90,003547,대신증권2우B,8900,20,0.23,8850,8940,8850,4169,37045060,89000000000,10000000,2017,10,0.04169,0.041623662921348316
91,002355,넥센타이어1우B,6120,-10,-0.16,6150,6150,6030,2773,16975640,39780000000,6500000,2017,10,0.04266153846153846,0.04267380593262946
92,079660,사조해표,10750,50,0.47,10700,10800,10500,3073,32736000,76970000000,7160000,2017,10,0.042918994413407824,0.042530856177731585
93,001790,대한제당,26000,100,0.39,25850,26150,25700,3950,102250800,229840052000,8840002,2017,10,0.04468324780921996,0.04448780754713717
94,006660,삼성공조,12050,-100,-0.82,11950,12100,11850,3687,44106850,97922083700,8126314,2017,10,0.045371123980687926,0.04504280171889357
95,101060,SBS미디어홀딩스,3035,-10,-0.33,3050,3050,3025,65108,197937045,424584936650,139896190,2017,10,0.046540223861707745,0.04661895133674192
96,072710,농심홀딩스,114500,500,0.44,114000,115000,113500,2168,247216000,531026955000,4637790,2017,10,0.046746402920356464,0.046554322275410676
97,008040,사조동아원,1555,-15,-0.96,1570,1575,1550,65995,102696015,219479853000,141144600,2017,10,0.04675701372918269,0.0467906341271333
98,003925,남양유업우,228500,3000,1.33,224000,228500,224000,78,17774500,38082267000,166662,2017,10,0.04680131043669222,0.04667395457313505
99,138040,메리츠금융지주,16300,150,0.93,16200,16350,16000,67189,1087329600,2329038833400,142885818,2017,10,0.047022861289144874,0.04668576514942364
100,000490,대동공업,7590,0,0.0,7560,7630,7540,11312,85925420,180097113900,23728210,2017,10,0.04767321260221483,0.04771060354010481
101,009200,무림페이퍼,2500,-5,-0.2,2515,2515,2485,20029,49942465,104023275000,41609310,2017,10,0.0481358619020599,0.048010856224244045
102,017810,풀무원,118500,500,0.42,117500,119000,116000,1841,217014500,451377757500,3809095,2017,10,0.048331690335893435,0.048078244085830925
103,001130,대한제분,169500,500,0.3,169000,171000,168000,817,138662000,286455000000,1690000,2017,10,0.04834319526627219,0.04840620690858948
104,168490,한국패러랠,2350,-5,-0.21,2385,2385,2345,38815,91546650,188047000000,80020000,2017,10,0.04850662334416396,0.048682855881774234
105,002150,도화엔지니어링,5050,-30,-0.59,5030,5080,5020,16558,83432310,170286000000,33720000,2017,10,0.04910438908659549,0.0489954018533526
106,000215,대림산업우,32650,50,0.15,32500,32800,32350,1886,61381850,124070000000,3800000,2017,10,0.04963157894736842,0.04947356331103409
107,071320,지역난방공사,71800,-700,-0.97,72300,73000,71700,5841,420302800,831353819200,11578744,2017,10,0.05044588601319798,0.050556428597928554
108,001570,금양,2380,5,0.21,2380,2390,2355,21556,51105735,101650064180,42710111,2017,10,0.05047048461194587,0.05027614631851381
109,000390,삼화페인트,7720,0,0.0,7740,7760,7700,13503,104144820,202236416440,26196427,2017,10,0.05154519736603775,0.05149657110884277
110,012320,경동인베스트,46000,0,0.0,46000,46850,45550,1220,55843600,108791058000,2365023,2017,10,0.05158512200515598,0.051331057006541836
111,000140,하이트진로홀딩스,10850,50,0.46,10750,10850,10600,12551,135069000,251793400250,23206765,2017,10,0.05408336750081281,0.0536427880420587
112,100840,S&TC,15350,50,0.33,15300,15500,15150,3876,59356000,108748794200,7084612,2017,10,0.05471012385717101,0.054580835067318846
113,001940,KISCO홀딩스,79900,-1400,-1.72,80200,81200,79800,2030,162420200,295252552400,3695276,2017,10,0.0549350035017682,0.0550105997999833
114,008500,일정실업,26900,-150,-0.55,27550,27550,26650,665,17887550,32280000000,1200000,2017,10,0.05541666666666667,0.05541372366790582
115,072130,유엔젤,4020,5,0.12,4015,4025,3980,7313,29309575,53045725080,13195454,2017,10,0.05542060167084816,0.05525341571973475
116,079980,휴비스,7800,0,0.0,7790,7830,7760,19221,149945950,269100000000,34500000,2017,10,0.055713043478260865,0.0557212746191007
117,092440,기신정기,4925,0,0.0,4880,4925,4865,16446,80447740,143810000000,29200000,2017,10,0.05632191780821918,0.05594029622418469
118,001440,대한전선,1270,-10,-0.78,1270,1280,1260,484646,613641635,1087720721430,856473009,2017,10,0.05658625489737996,0.05641536682258478
119,004700,조광피혁,36400,200,0.55,35800,36550,35800,3771,136524400,242028623200,6649138,2017,10,0.056714118431592186,0.056408369470904794
120,023810,인팩,4805,-20,-0.41,4825,4825,4785,5680,27321670,48050000000,10000000,2017,10,0.0568,0.05686091571279917
121,083420,KPX그린케미칼,4735,-135,-2.77,4810,4870,4705,11524,54635080,94700000000,20000000,2017,10,0.057620000000000005,0.05769279831045407
122,002240,고려제강,35200,-500,-1.4,35450,35700,35200,10403,367197200,633600000000,18000000,2017,10,0.05779444444444444,0.05795410353535353
123,005320,국동,3600,0,0.0,3600,3625,3560,7541,27044465,46917986400,13032774,2017,10,0.05786181821306807,0.0576419984639409
124,014790,한라,4130,0,0.0,4130,4130,4075,21575,88297275,150724110460,36494942,2017,10,0.05911778130788645,0.05858205082818042
125,004890,동일산업,63500,0,0.0,63900,63900,62900,1442,91147800,154001152500,2425215,2017,10,0.05945864593448416,0.059186440179400605
126,002810,삼영무역,17850,150,0.85,17800,17850,17700,9923,175995750,293929220550,16466623,2017,10,0.06026129340545417,0.05987691515347707
127,000087,하이트진로2우B,19200,-50,-0.26,19050,19250,19050,700,13451200,21698649600,1130138,2017,10,0.06193933838168436,0.061990954497002426
128,084695,대상홀딩스우,6600,0,0.0,6600,6600,6570,566,3726810,6028981200,913482,2017,10,0.06196071734308941,0.061814921565852624
129,019490,하이트론,4500,20,0.45,4480,4510,4430,3444,15401495,24888307500,5530735,2017,10,0.06227020459306042,0.06188245223183618
130,001460,BYC,320000,-1500,-0.47,320000,320500,318000,390,124732500,199876800000,624615,2017,10,0.062438462092649076,0.062404691289834543
131,019175,신풍제약우,4250,-5,-0.12,4250,4335,4250,1383,5924210,9350000000,2200000,2017,10,0.06286363636363637,0.0633605347593583
132,004690,삼천리,102500,-1000,-0.97,103500,104000,102000,2577,264852000,415640062500,4055025,2017,10,0.06355077958828861,0.06372148016891419
133,008490,서흥,33450,-100,-0.3,33550,33600,33150,7389,246700600,386986829850,11569113,2017,10,0.06386833631930122,0.06374909453523873
134,001530,동일방직,55600,100,0.18,55500,55600,55100,1518,84070200,129869701600,2335786,2017,10,0.06498883031236595,0.06473426747289916
135,117580,대성에너지,6220,30,0.48,6170,6250,6170,18003,112201010,171050000000,27500000,2017,10,0.06546545454545455,0.06559544577608886
136,014530,극동유화,3190,35,1.11,3155,3215,3155,22934,72997225,111233449800,34869420,2017,10,0.06577109685219885,0.06562524594108202
137,145990,삼양사,97000,-600,-0.61,97400,98000,96800,6793,661656400,998110891000,10289803,2017,10,0.06601681295550556,0.06629087068042022
138,010660,화천기계,20550,-100,-0.48,20700,20700,20500,1460,30094100,45210000000,2200000,2017,10,0.06636363636363636,0.0665651404556514
139,036530,S&T홀딩스,16550,450,2.8,16150,16600,15900,10532,171412450,261988237750,15830105,2017,10,0.06653146015140139,0.06542753654596083
140,067830,세이브존I&C,5150,-40,-0.77,5190,5200,5100,27391,140780900,211360609250,41040895,2017,10,0.06674074724734926,0.06660697113788244
