회사명,거래소코드,회계년도,장기차입금(*)(IFRS),단기차입금(*)(IFRS),유동성장기부채(*)(IFRS),자산(*)(IFRS),장기차입금(*)(IFRS연결),단기차입금(*)(IFRS연결),유동성장기부채(*)(IFRS연결),자산(*)(IFRS연결),차입금의존도2019
(주)이엔코퍼레이션,66980,19-Dec,0,3000000,0,147012952,0,3000000,0,262427959,0.011431709
(주)이엘피,63760,19-Dec,0,0,0,76069563,0,0,0,76209623,0
(주)이엠네트웍스,87730,19-Dec,0,4289846,1950000,57032067,0,5499846,1950000,58841584,0.126608522
(주)이엠넷,123570,19-Dec,0,0,0,71712371,0,0,0,97285984,0
(주)이엠앤아이,83470,19-Dec,0,0,0,9233598,0,0,172208,9942298,0.017320744
(주)이엠텍,91120,19-Dec,0,9900000,0,192833530,23366250,10867232,99960,239272792,0.14349079
(주)이오테크닉스,39030,19-Dec,0,9175000,0,383935725,0,13736605,0,446385713,0.030772949
(주)이즈미디어,181340,19-Dec,3000000,14273000,0,70286822,3000000,14273000,0,75838634,0.227759904
(주)이지,37370,19-Dec,11240000,7891180,0,66201935,19660000,7891180,360000,77199021,0.361548367
(주)이지홀딩스,35810,19-Dec,2134660,73987660,43466660,455352628,52792253,524324162,137475305,1782657220,0.400857614
(주)이큐셀,160600,19-Dec,666640,6580000,5336627,76453369,7600200,6580000,7373067,81964394,0.262958901
(주)이크레더블,92130,19-Dec,0,0,158526,57252182,0,0,190924,62637188,0.003048093
(주)이퓨쳐,134060,19-Dec,0,0,0,23119509,0,0,0,23119509,0
(주)인바디,41830,19-Dec,0,0,0,141768028,0,0,0,154903556,0
(주)인산가,277410,19-Dec,2250000,891000,2650000,47097435,2750000,891000,3725000,49776056,0.147982797
(주)인성정보,33230,19-Dec,596204,18195151,6212106,98715190,5997299,37452218,5140973,182909906,0.265652589
(주)인지디스플레이,37330,19-Dec,5691880,82195079,15423120,311381936,12645080,104066703,30516120,441620561,0.333380997
(주)인콘,83640,19-Dec,0,0,0,96263601,0,0,0,88322804,0
(주)인터로조,119610,19-Dec,4000000,0,0,182328522,4000000,0,0,181124112,0.022084304
(주)인터코스,240340,19-Dec,,,,,0,0,0,0,#DIV/0!
(주)인터플렉스,51370,19-Dec,0,30000000,3375000,392621933,4585,30000000,3388755,351362963,0.095039442
(주)인텍플러스,64290,19-Dec,990000,6950000,345000,41696205,1090000,6950000,345000,42130085,0.19902642
(주)인텔리안테크놀로지스,189300,19-Dec,7770000,6500000,3330000,129710197,14534678,6500000,4024680,137340954,0.182460929
(주)인트로메딕,150840,19-Dec,0,0,187006,34220058,0,0,208152,33325136,0.006246096
(주)인트론바이오테크놀로지,48530,19-Dec,0,0,676420,89255649,0,0,676420,89032050,0.007597489
(주)인포마크,175140,19-Dec,0,14273161,0,54806384,0,14273161,0,54511421,0.261837992
(주)인포바인,115310,19-Dec,0,0,0,89752580,0,0,0,90449856,0
(주)인피니트헬스케어,71200,19-Dec,0,0,0,94773931,0,1188778,0,106751660,0.011135921
(주)일승,333430,19-Dec,,,,,0,0,0,0,#DIV/0!
(주)일신바이오베이스,68330,19-Dec,0,0,0,45313493,0,0,0,45626018,0
(주)일야,58450,19-Dec,3310870,8900000,966480,35412863,3310870,16238097,966480,43816892,0.468208631
(주)일지테크,19540,19-Dec,3275000,28000000,2466667,207799660,3275000,99389973,2466667,349635528,0.300689237
(주)일진파워,94820,19-Dec,0,0,0,129742172,0,0,0,148305572,0
(주)잉크테크,49550,19-Dec,9750000,18170000,10007902,107911660,9750000,18170000,10113886,108136120,0.351722311
(주)자비스,254120,19-Dec,0,1652604,1000000,28657262,0,1652604,1000000,29076599,0.091228138
(주)자연과환경,43910,19-Dec,295422,7010695,30761,61219693,295422,12117746,30761,71998225,0.172836608
(주)장원테크,174880,19-Dec,0,8500000,0,138346349,0,15466000,0,167185271,0.092508149
(주)전우정밀,120780,19-Dec,,,,,0,0,0,0,#DIV/0!
(주)정다운,208140,19-Dec,12640117,30000000,6558750,112861951,16221397,30000000,10318730,123003077,0.45966433
(주)정상제이엘에스,40420,19-Dec,18200000,3987959,2422768,108848242,18200000,3987959,2422768,110789767,0.222138991
(주)정원엔시스,45510,19-Dec,0,4158738,0,82586672,0,8926553,0,91101662,0.097984524
(주)제낙스,65620,19-Dec,150000,7855285,3308644,30175267,150000,7855285,3170000,24780625,0.45096865
(주)제넥신,95700,19-Dec,0,10000000,0,358176683,0,10000000,0,358176683,0.027919182
(주)제넨바이오,72520,19-Dec,0,0,0,83980821,0,150000,0,90027263,0.001666162
(주)제노레이,122310,19-Dec,1583333,5448303,333333,76754029,1583333,5448303,335466,78518323,0.093826533
(주)제노포커스,187420,19-Dec,4208000,6000000,0,73772065,13273361,6400000,0,90202499,0.218102173
(주)제닉,123330,19-Dec,0,3000000,0,37553591,0,14967736,10684509,58148662,0.44114936
(주)제로투세븐,159580,19-Dec,0,3800000,10000000,124637296,0,3800000,10000000,127737817,0.108033786
