,회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS),매출액(수익)(*)(IFRS연결),매출액증가율
144,(주)대한과학,131220,17-Dec,31663846,41364830,-10.21494606
145,(주)대호특수강,21040,16-Dec,185678388,185678388,
146,(주)대호특수강,21040,17-Dec,205306467,205306467,10.57100894
147,(주)더 미동,161570,16-Dec,28872693,28872693,
148,(주)더 미동,161570,17-Dec,28132442,28157406,-2.477382349
149,(주)더블유게임즈,192080,16-Dec,155159525,155636444,
150,(주)더블유게임즈,192080,17-Dec,161222279,319345253,105.1866804
151,(주)더블유아이,73570,16-Dec,4764944,4764944,
152,(주)더블유아이,73570,17-Dec,10064001,12072601,153.3629147
153,(주)덕신하우징,90410,16-Dec,120269693,121634452,
154,(주)덕신하우징,90410,17-Dec,122876930,125887825,3.496848903
155,(주)데이타솔루션,263800,16-Dec,100819750,100819750,
156,(주)데이타솔루션,263800,17-Dec,90041947,90041947,-10.69017033
157,(주)데코앤이,17680,16-Dec,41605038,55398415,
158,(주)데코앤이,17680,17-Dec,39642881,46847589,-15.43514557
159,(주)덱스터스튜디오,206560,16-Dec,31776984,31776984,
160,(주)덱스터스튜디오,206560,17-Dec,24984428,25334023,-20.27555856
161,(주)덴티스,261200,16-Dec,,0,
162,(주)덴티스,261200,17-Dec,,0,
163,(주)동구바이오제약,6620,16-Dec,87363407,87363407,
164,(주)동구바이오제약,6620,17-Dec,101124256,101124256,15.7512733
165,(주)동국알앤에스,75970,16-Dec,67042606,94528209,
166,(주)동국알앤에스,75970,17-Dec,68756029,95193818,0.704137957
167,(주)동국에스엔씨,100130,16-Dec,207195857,383878885,
168,(주)동국에스엔씨,100130,17-Dec,172792712,367922824,-4.156535205
169,(주)동방선기,99410,16-Dec,29215663,29202617,
170,(주)동방선기,99410,17-Dec,19302291,19302291,-33.9021876
171,(주)동성화인텍,33500,16-Dec,332654028,335005289,
172,(주)동성화인텍,33500,17-Dec,212626849,230970494,-31.05467239
173,(주)동아엘텍,88130,16-Dec,73871347,216159935,
174,(주)동아엘텍,88130,17-Dec,124693976,250506618,15.88947693
175,(주)동양에스텍,60380,16-Dec,134441550,151970509,
176,(주)동양에스텍,60380,17-Dec,159869610,186236108,22.5475319
177,(주)동우팜투테이블,88910,16-Dec,235752895,235752895,
178,(주)동우팜투테이블,88910,17-Dec,230843688,230843688,-2.082352796
179,(주)동운아나텍,94170,16-Dec,54673627,54673627,
180,(주)동운아나텍,94170,17-Dec,54989112,54989112,0.577033238
181,(주)동원개발,13120,16-Dec,534393481,534393481,
182,(주)동원개발,13120,17-Dec,563013434,563013434,5.355595459
183,(주)동일기연,32960,16-Dec,28273584,28280102,
184,(주)동일기연,32960,17-Dec,34242984,34429354,21.74409413
185,(주)동진쎄미켐,5290,16-Dec,642548080,764955941,
186,(주)동진쎄미켐,5290,17-Dec,631272541,785154565,2.640495082
187,(주)두산테스나,131970,16-Dec,30280048,30280048,
188,(주)두산테스나,131970,17-Dec,47188713,47188713,55.84094517
189,(주)듀오백,73190,16-Dec,31983156,32483515,
190,(주)듀오백,73190,17-Dec,38302767,38859471,19.62828222
191,(주)드래곤플라이,30350,16-Dec,10939185,10939185,
192,(주)드래곤플라이,30350,17-Dec,7565737,7565737,-30.8382023
193,(주)드림시큐리티,203650,16-Dec,,0,
194,(주)드림시큐리티,203650,17-Dec,20574060,24768402,inf
195,(주)드림어스컴퍼니,60570,16-Dec,49673321,52327953,
196,(주)드림어스컴퍼니,60570,17-Dec,61034418,69451993,32.72445991
197,(주)드림티엔터테인먼트,220110,16-Dec,8428361,18248479,
198,(주)드림티엔터테인먼트,220110,17-Dec,6950405,27756340,52.10221082
199,(주)디딤,217620,16-Dec,,0,
200,(주)디딤,217620,17-Dec,65876555,68808886,inf
201,(주)디모아,16670,16-Dec,53443154,112077282,
202,(주)디모아,16670,17-Dec,55737521,113100719,0.913152944
203,(주)디바이스이엔지,187870,16-Dec,70777194,70777194,
204,(주)디바이스이엔지,187870,17-Dec,115287774,115287774,62.88830834
205,(주)디스플레이테크,66670,16-Dec,89178900,89178900,
206,(주)디스플레이테크,66670,17-Dec,82707089,82707089,-7.257110146
207,(주)디아크,78590,16-Dec,39105093,39105093,
208,(주)디아크,78590,17-Dec,40019060,40019060,2.337207074
209,(주)디알텍,214680,16-Dec,37786686,36639222,
210,(주)디알텍,214680,17-Dec,37757616,38804491,5.909702449
211,(주)디앤씨미디어,263720,16-Dec,18893266,18893266,
212,(주)디앤씨미디어,263720,17-Dec,26536904,26536904,40.45694376
213,(주)디에스앤엘,141020,16-Dec,49888011,50063640,
214,(주)디에스앤엘,141020,17-Dec,46533423,46442299,-7.233475233
215,(주)디에스케이,109740,16-Dec,46508330,59535940,
216,(주)디에스케이,109740,17-Dec,102528479,103291567,73.49447577
217,(주)디에이테크놀로지,196490,16-Dec,74682634,74923371,
218,(주)디에이테크놀로지,196490,17-Dec,100382714,101348011,35.26888826
219,(주)디에이피,66900,16-Dec,247819536,247819536,
220,(주)디에이피,66900,17-Dec,297905538,297905538,20.2106754
221,(주)디엔에이링크,127120,16-Dec,10403732,11483885,
222,(주)디엔에이링크,127120,17-Dec,14179692,14480118,26.0907611
223,(주)디엔에프,92070,16-Dec,58221631,58221631,
224,(주)디엔에프,92070,17-Dec,74380663,74380663,27.75434443
225,(주)디엠에스,68790,16-Dec,248456867,248848765,
226,(주)디엠에스,68790,17-Dec,265966852,268731601,7.989927537
227,(주)디오,39840,16-Dec,76571181,88019748,
228,(주)디오,39840,17-Dec,78075286,94538598,7.40612209
229,(주)디와이디,219550,16-Dec,,0,
230,(주)디와이디,219550,17-Dec,63692286,63692286,inf
231,(주)디이엔티,79810,16-Dec,38609273,45512487,
232,(주)디이엔티,79810,17-Dec,176696709,180427567,296.4353058
233,(주)디지아이,43360,16-Dec,18979552,18979552,
234,(주)디지아이,43360,17-Dec,24750765,24750765,30.40753017
235,(주)디지털대성,68930,16-Dec,52731007,83509558,
236,(주)디지털대성,68930,17-Dec,56820821,89840128,7.580653223
237,(주)디지틀조선일보,33130,16-Dec,38355691,39134399,
238,(주)디지틀조선일보,33130,17-Dec,38315401,39512311,0.96567728
239,(주)디티앤씨,187220,16-Dec,33251805,40391906,
240,(주)디티앤씨,187220,17-Dec,38160395,49819705,23.34081239
241,(주)딜리,131180,16-Dec,37156393,38637658,
242,(주)딜리,131180,17-Dec,50013539,50899907,31.73652244
243,(주)라이온켐텍,171120,16-Dec,120686730,120686730,
244,(주)라이온켐텍,171120,17-Dec,131372664,131372664,8.854274202
245,(주)라이트론,69540,16-Dec,39484162,41502263,
246,(주)라이트론,69540,17-Dec,78298696,82344246,98.40905061
247,(주)랩지노믹스,84650,16-Dec,24057330,24057330,
248,(주)랩지노믹스,84650,17-Dec,24806150,24806150,3.112647995
249,(주)러셀,217500,16-Dec,,0,
250,(주)러셀,217500,17-Dec,,0,
251,(주)레고켐바이오사이언스,141080,16-Dec,15773980,16655492,
252,(주)레고켐바이오사이언스,141080,17-Dec,20876265,22056558,32.42813842
253,(주)레드로버,60300,16-Dec,41895953,41898015,
254,(주)레드로버,60300,17-Dec,35652535,35653276,-14.9046178
255,(주)레드캡투어,38390,16-Dec,233478442,233962102,
256,(주)레드캡투어,38390,17-Dec,260002195,260448023,11.32060311
257,(주)레이언스,228850,16-Dec,91088958,98457314,
258,(주)레이언스,228850,17-Dec,95339722,106517566,8.186544679
259,(주)레이크머티리얼즈,281740,17-Dec,,0,
260,(주)로보로보,215100,16-Dec,,0,
261,(주)로보로보,215100,17-Dec,12480408,14369133,inf
262,(주)로보스타,90360,16-Dec,150596909,151727888,
263,(주)로보스타,90360,17-Dec,204857292,206521699,36.11321012
264,(주)로지시스,67730,16-Dec,35938672,35938672,
265,(주)로지시스,67730,17-Dec,40858179,40858179,13.68861654
266,(주)루멘스,38060,16-Dec,349411876,402840610,
267,(주)루멘스,38060,17-Dec,293386042,361567289,-10.24557107
268,(주)루트로닉,85370,16-Dec,81033015,84496686,
269,(주)루트로닉,85370,17-Dec,80153135,85772314,1.509678143
270,(주)룽투코리아,60240,16-Dec,56370155,71454495,
271,(주)룽투코리아,60240,17-Dec,39011730,52432864,-26.62062198
272,(주)리노스,39980,16-Dec,96635024,100299628,
273,(주)리노스,39980,17-Dec,89707798,101491526,1.188337408
274,(주)리더스코스메틱,16100,16-Dec,114166773,181307216,
275,(주)리더스코스메틱,16100,17-Dec,65416964,139934810,-22.81895167
276,(주)리드,197210,16-Dec,35359539,35384906,
277,(주)리드,197210,17-Dec,37357618,37357618,5.575009864
278,(주)리드코프,12700,16-Dec,376994270,438470616,
279,(주)리드코프,12700,17-Dec,371171513,442470050,0.91213273
280,(주)링네트,42500,16-Dec,125794858,128940792,
281,(주)링네트,42500,17-Dec,146033757,148506989,15.17455934
282,(주)링크제니시스,219420,16-Dec,10194510,10194510,
283,(주)링크제니시스,219420,17-Dec,11793696,11793696,15.68673727
284,(주)마이크로컨텍솔루션,98120,16-Dec,25634601,27223309,
285,(주)마이크로컨텍솔루션,98120,17-Dec,25294173,27006640,-0.795895165
286,(주)마이크로프랜드,147760,16-Dec,44775162,44775162,
287,(주)마이크로프랜드,147760,17-Dec,50189558,50189558,12.09240963
288,(주)마크로젠,38290,16-Dec,67660472,91113058,
289,(주)마크로젠,38290,17-Dec,71459329,101792522,11.72111247
290,(주)맘스터치앤컴퍼니,220630,16-Dec,201871094,201928721,
291,(주)맘스터치앤컴퍼니,220630,17-Dec,223574323,239567842,18.63980558
292,(주)매직마이크로,127160,16-Dec,66119094,64824128,
293,(주)매직마이크로,127160,17-Dec,63906772,77652131,19.7889326
294,(주)매커스,93520,16-Dec,64169757,67725370,
295,(주)매커스,93520,17-Dec,83872865,87364783,28.99860569
296,(주)맥스로텍,141070,16-Dec,40091369,40091369,
297,(주)맥스로텍,141070,17-Dec,38651323,38651323,-3.591910269
298,(주)멀티캠퍼스,67280,16-Dec,176065301,186478433,
299,(주)멀티캠퍼스,67280,17-Dec,190763666,201225659,7.908274304
300,(주)메디아나,41920,16-Dec,52366919,53394731,
301,(주)메디아나,41920,17-Dec,51225192,52362747,-1.932745012
302,(주)메디콕스,54180,16-Jun,19522154,19522154,
303,(주)메디콕스,54180,17-Jun,16025310,16025310,-17.91218326
304,(주)메디톡스,86900,16-Dec,121761686,133255671,
