회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결),재고자산(*)(IFRS연결),매출액(수익)(*)(IFRS),재고자산(*)(IFRS),재고자산회전률2019
(주)서진오토모티브,122690,19-Dec,1429752268,81146890,134130599,18839747,17.61931071
(주)서플러스글로벌,140070,18-Dec,146061392,108734165,138151491,104765741,1.343288855
(주)서플러스글로벌,140070,19-Dec,110327845,98709584,92802567,95770930,1.117701448
(주)서한,11370,18-Dec,640170738,95650622,640170738,95650622,6.692802667
(주)서한,11370,19-Dec,548055256,67400245,548055256,67400245,8.131354063
(주)서희건설,35890,18-Dec,1138810784,4207539,1110474997,4207539,270.6595908
(주)서희건설,35890,19-Dec,1242974178,4144808,1216979059,4144808,299.8870341
(주)선광,3100,18-Dec,135619577,1051178,68618138,313508,129.0167574
(주)선광,3100,19-Dec,144994753,102143,74492370,0,1419.527065
(주)선익시스템,171090,18-Dec,117997699,17816655,117997699,17655149,6.622887349
(주)선익시스템,171090,19-Dec,87647566,12125996,87328757,11865901,7.228071492
(주)성광벤드,14620,18-Dec,169913734,125871989,155160200,117198486,1.349893136
(주)성광벤드,14620,19-Dec,202365162,129014761,188790840,118852270,1.568542703
(주)성도이엔지,37350,18-Dec,529153973,92791285,402401506,14868639,5.702625769
(주)성도이엔지,37350,19-Dec,695685233,98244530,496579444,1475494,7.081159969
(주)성우하이텍,15750,18-Dec,3456881746,438336921,1199397796,133628779,7.886357686
(주)성우하이텍,15750,19-Dec,3389454157,437534523,1218068087,137813446,7.746712497
(주)성창오토텍,80470,18-Dec,130670809,14303643,76261648,6907488,9.135491497
(주)성창오토텍,80470,19-Dec,132801199,15382663,70903490,8697881,8.633173528
(주)세경하이테크,148150,18-Dec,256592701,21281162,176797059,6114505,12.05726929
