회사명,거래소코드,회계년도,장기차입금(*)(IFRS),단기차입금(*)(IFRS),유동성장기부채(*)(IFRS),자산(*)(IFRS),장기차입금(*)(IFRS연결),단기차입금(*)(IFRS연결),유동성장기부채(*)(IFRS연결),자산(*)(IFRS연결),차입금의존도
(주)삼일,32280,17-Dec,1300000,5400000,5300000,84414537,1300000,5400000,5300000,84414537,0.14215561
(주)삼일기업공사,2290,17-Dec,0,0,0,64106791,0,0,0,64106791,0
(주)삼진,32750,17-Dec,0,2000000,0,72597948,0,2000000,0,79676217,0.025101593
(주)삼진엘앤디,54090,17-Dec,12314005,9279141,3224266,135258427,16088100,18284329,6662217,162170125,0.253034559
(주)삼표시멘트,38500,17-Dec,136297994,41479799,122949072,1103910928,235471903,50479799,151010173,1265303707,0.345341496
(주)삼화네트웍스,46390,17-Dec,0,0,0,45489230,0,0,0,44058838,0
(주)상보,27580,17-Dec,1000000,54310000,0,145590340,12775523,58728550,0,162384453,0.440338171
(주)상상인,38540,17-Dec,0,0,0,145314680,150000,500000,300000,2043693616,0.000464845
(주)상상인인더스트리,101000,17-Dec,0,31560765,39203026,156987990,0,40185424,39203026,168270390,0.471790967
(주)상아프론테크,89980,17-Dec,0,22603171,8440316,192553694,6303486,40317457,12700531,219920722,0.269740266
(주)상지카일룸,42940,17-Dec,0,1941200,0,40562325,0,1941200,0,40446347,0.047994446
(주)새로닉스,42600,17-Dec,19750,3000000,7487217,80020016,3564850,9650000,9027394,116633451,0.1907021
(주)서린바이오사이언스,38070,17-Dec,1672860,0,4030680,68904819,1672860,66356,4030680,71038280,0.081222349
(주)서부티엔디,6730,17-Dec,602680384,152000000,0,1502577668,602680384,152000000,0,1502577668,0.502257155
(주)서산,79650,17-Dec,0,0,0,44271747,0,0,0,126631601,0
(주)서연탑메탈,19770,17-Dec,4083300,36549972,24412990,153637839,20155649,44922952,24412990,206264694,0.433867713
(주)서울리거,43710,17-Dec,0,0,0,38437903,0,0,0,38212815,0
(주)서울옥션,63170,17-Dec,20334000,23799230,4250000,125135968,20534000,25399230,4350000,154338745,0.325797842
(주)서울제약,18680,17-Dec,9777760,0,5055573,70270901,9777760,0,5055573,70270901,0.211087844
(주)서원인텍,93920,17-Dec,0,9803816,0,177750900,5365460,18925098,0,196942719,0.123338187
(주)서전기전,189860,17-Dec,0,1686198,0,43583060,0,1686198,0,43583060,0.038689298
(주)서진시스템,178320,17-Dec,450000,32608882,5707094,138415110,7928095,68528091,12256792,259231952,0.342214674
(주)서진오토모티브,122690,17-Dec,17135000,44000000,20810000,214056901,65249508,197354760,56273924,828627924,0.384826751
(주)서플러스글로벌,140070,17-Dec,6500000,15500000,0,149174879,6500000,18086000,0,155283308,0.15832996
(주)서한,11370,17-Dec,0,2327000,14000000,391890974,0,2327000,14000000,391890974,0.041662098
(주)서희건설,35890,17-Dec,3104583,18260307,12605404,665644810,71866272,48047762,19876080,807007034,0.173220441
(주)선광,3100,17-Dec,39450000,15000000,12250000,403571213,167886538,15000000,23180769,541277167,0.380705708
(주)선익시스템,171090,17-Dec,0,0,225000,117633116,0,0,225000,117826131,0.001909593
(주)성광벤드,14620,17-Dec,0,0,0,469214393,0,19106887,180000,502479497,0.038383431
(주)성도이엔지,37350,17-Dec,0,25000000,0,283354128,0,25000000,0,328533571,0.076095724
(주)성우하이텍,15750,17-Dec,76771008,222323850,315061545,1900200679,515857247,446243225,443879395,3385206082,0.415330657
(주)성창오토텍,80470,17-Dec,0,6900000,0,76426273,4356420,14935500,830218,106028645,0.189780205
(주)세동,53060,17-Dec,9079450,27751050,9695094,101220871,9079450,29389842,9695094,114492516,0.420677156
(주)세보엠이씨,11560,17-Dec,0,4000000,0,245392317,0,4000000,0,257713994,0.015521082
