,Unnamed: 0.1,Unnamed: 0,회사명,거래소코드,회계년도,유동자산(*)(IFRS연결),유동자산(*)(IFRS),유동자산증가율
1234,1234,1234,(주)제이티,89790,16-Dec,13473248,13473248.0,
1235,1235,1235,(주)제이티,89790,17-Dec,17754224,17754224.0,31.77389742992929
1236,1236,1236,(주)제일바이오,52670,16-Dec,31318917,31318917.0,
1237,1237,1237,(주)제일바이오,52670,17-Dec,21760699,21760699.0,-30.51899272251336
1238,1238,1238,(주)제일테크노스,38010,16-Dec,45939877,43304254.0,
1239,1239,1239,(주)제일테크노스,38010,17-Dec,57771642,55678235.0,25.754890462593096
1240,1240,1240,(주)제주반도체,80220,16-Dec,79107677,77028140.0,
1241,1241,1241,(주)제주반도체,80220,17-Dec,78898639,78438191.0,-0.2642448974958578
1242,1242,1242,(주)젬백스&카엘,82270,16-Dec,54892608,25407420.0,
1243,1243,1243,(주)젬백스&카엘,82270,17-Dec,75217233,73657680.0,37.026160243652484
1244,1244,1244,(주)젬백스링크,64800,16-Dec,52313060,49291478.0,
1245,1245,1245,(주)젬백스링크,64800,17-Dec,171746059,18554787.0,228.30436414922008
1246,1246,1246,(주)조이시티,67000,16-Dec,41079079,40744207.0,
1247,1247,1247,(주)조이시티,67000,17-Dec,34978686,33635221.0,-14.850364585827258
1248,1248,1248,(주)좋은사람들,33340,16-Dec,86323978,86484794.0,
1249,1249,1249,(주)좋은사람들,33340,17-Dec,77477240,77477421.0,-10.248297408166241
1250,1250,1250,(주)주노콜렉션,221670,16-Dec,0,,
1251,1251,1251,(주)주노콜렉션,221670,17-Dec,0,,
1252,1252,1252,(주)중앙디앤엠,51980,16-Dec,11192847,9264542.0,
1253,1253,1253,(주)중앙디앤엠,51980,17-Dec,12918579,13130043.0,15.41816840701924
1254,1254,1254,(주)중앙백신연구소,72020,16-Dec,36359038,36359038.0,
1255,1255,1255,(주)중앙백신연구소,72020,17-Dec,33366338,33366338.0,-8.230965846786154
1256,1256,1256,(주)중앙에너비스,440,16-Dec,14909269,5703007.0,
1257,1257,1257,(주)중앙에너비스,440,17-Dec,5099750,5099750.0,-65.79476834176108
1258,1258,1258,(주)지니뮤직,43610,16-Dec,90806340,90806340.0,
1259,1259,1259,(주)지니뮤직,43610,17-Dec,120002238,120002238.0,32.15182772480423
1260,1260,1260,(주)지란지교시큐리티,208350,16-Dec,25433098,25433098.0,
1261,1261,1261,(주)지란지교시큐리티,208350,17-Dec,36244222,11082707.0,42.50808926226761
1262,1262,1262,(주)지씨셀,144510,16-Dec,44934620,44934620.0,
1263,1263,1263,(주)지씨셀,144510,17-Dec,44116086,44116086.0,-1.821611042888538
1264,1264,1264,(주)지어소프트,51160,16-Dec,19768367,11413829.0,
1265,1265,1265,(주)지어소프트,51160,17-Dec,16679118,9018985.0,-15.627234156468262
