회사명,거래소코드,회계년도,매출원가(*)(IFRS),매출액(수익)(*)(IFRS),매출원가(*)(IFRS연결),매출액(수익)(*)(IFRS연결),매출원가대매출액
(주)다산네트웍스,39560,16-Dec,20194799,28309465,161705417,222842801,72.56479288
(주)다산네트웍스,39560,17-Dec,18509140,29756967,202193627,307090231,65.8417646
(주)다우데이타,32190,16-Dec,93701076,107492139,826622500,1378367701,59.97111652
(주)다우데이타,32190,17-Dec,129780084,151156995,934268361,1614385776,57.87144404
(주)다원시스,68240,16-Dec,50223151,72591838,51216436,74193619,69.03078282
(주)다원시스,68240,17-Dec,77729542,115527028,75146302,111462046,67.41873552
(주)대동스틸,48470,16-Dec,60675075,68177746,60675075,68177746,88.99542528
(주)대동스틸,48470,17-Dec,81181770,90505698,81181770,90505698,89.69796576
(주)대륙제관,4780,16-Dec,154536077,186222141,154536077,186222141,82.98480308
(주)대륙제관,4780,17-Dec,171125438,197112543,171125438,197112543,86.81610789
(주)대림제지,17650,16-Dec,56010092,67430955,56010092,67430955,83.06287817
(주)대림제지,17650,17-Dec,80630874,90533322,104251361,118019206,88.3342335
(주)대명소노시즌,7720,16-Dec,171098482,206149572,173193281,217451478,79.6468631
(주)대명소노시즌,7720,17-Dec,180691307,219151391,192521667,235523369,81.74206569
(주)대성미생물연구소,36480,16-Dec,20582690,30801319,20582690,30801319,66.82405387
(주)대성미생물연구소,36480,17-Dec,16815821,24043374,16815821,24043374,69.93952263
(주)대성엘텍,25440,16-Dec,334726067,352277390,346642718,366692739,94.53220125
(주)대성엘텍,25440,17-Dec,330635453,344500547,335628059,350575739,95.73624802
(주)대성파인텍,104040,16-Dec,38391228,46924145,38963771,47677369,81.72382792
(주)대성파인텍,104040,17-Dec,33915101,42539088,34321389,43233993,79.3851935
(주)대원,7680,16-Dec,198897292,226695965,236734556,267470103,88.50879158
(주)대원,7680,17-Dec,222688528,260757969,248227032,289919901,85.61917659
(주)대창솔루션,96350,16-Dec,38641115,36520316,48633368,49327918,98.59197382
(주)대창솔루션,96350,17-Dec,34458183,30923027,43729577,42774854,102.2319726
(주)대창스틸,140520,16-Dec,227603324,239314048,287482046,302662749,94.98428431
(주)대창스틸,140520,17-Dec,232919969,244793248,302768895,318055221,95.19381384
(주)대한과학,131220,16-Dec,30107121,38812724,34454415,46070953,74.78554872
(주)대한과학,131220,17-Dec,23461410,31663846,29555630,41364830,71.45110955
(주)대호특수강,21040,16-Dec,163349721,185678388,163349721,185678388,87.97454715
(주)대호특수강,21040,17-Dec,184512836,205306467,184512836,205306467,89.87190647
(주)더 미동,161570,16-Dec,27836526,28872693,27836526,28872693,96.41125613
(주)더 미동,161570,17-Dec,25593226,28132442,25594527,28157406,90.89802875
(주)더블유게임즈,192080,16-Dec,0,155159525,0,155636444,0
(주)더블유게임즈,192080,17-Dec,0,161222279,0,319345253,0
(주)더블유아이,73570,16-Dec,5462645,4764944,5462645,4764944,114.6423757
(주)더블유아이,73570,17-Dec,10732723,10064001,10732723,12072601,88.90149687
(주)덕신하우징,90410,16-Dec,116138258,120269693,116770375,121634452,96.00106966
