회사명,거래소코드,회계년도,매출총이익(손실)(IFRS연결),매출액(수익)(*)(IFRS연결),매출총이익(손실)(IFRS),매출액(수익)(*)(IFRS),매출액총이익률2019
(주)로보로보,215100,18-Dec,7728136,17320271,6360543,14681307,44.61902473
(주)로보로보,215100,19-Dec,5720784,13825738,4252103,11262334,41.37778396
(주)로보스타,90360,18-Dec,21400997,193174244,20661220,189700329,11.07859752
(주)로보스타,90360,19-Dec,13936267,177224395,14558357,170632097,7.863627916
(주)로보티즈,108490,18-Dec,10849363,24266778,11214372,24098201,44.70870834
(주)로보티즈,108490,19-Dec,13160994,25231157,10807000,22704394,52.16167455
(주)로지시스,67730,18-Dec,4137838,40026290,4137838,40026290,10.33780048
(주)로지시스,67730,19-Dec,3556287,33448153,3556287,33448153,10.6322373
(주)루멘스,38060,18-Dec,28556200,325834561,6713145,155418796,8.76401813
(주)루멘스,38060,19-Dec,11465675,323587779,-14147651,140695879,3.543296671
(주)루트로닉,85370,18-Dec,45531549,92141601,37758037,86000503,49.41475784
(주)루트로닉,85370,19-Dec,58476369,115684801,43343099,98650924,50.54801365
(주)룽투코리아,60240,18-Dec,37339750,57526531,23941863,34464503,64.90874619
(주)룽투코리아,60240,19-Dec,19667378,30101838,20596151,29017327,65.33613662
(주)리노스,39980,18-Dec,32326689,71640318,32326689,71640318,45.12359786
(주)리노스,39980,19-Dec,28951522,81286180,28951132,81276664,35.61678258
(주)리더스코스메틱,16100,18-Dec,48987919,139186289,38530871,78695637,35.1959373
(주)리더스코스메틱,16100,19-Dec,27497664,95635456,13660054,39573883,28.75258314
(주)리드,197210,18-Dec,9580562,32781295,9414850,32067167,29.22569715
(주)리드,197210,19-Dec,-80809,18396311,40129,16811323,-0.439267416
(주)리드코프,12700,18-Dec,218098383,464040182,159404894,391229511,46.9998917
(주)리드코프,12700,19-Dec,115165079,495358851,88334510,430997607,23.24881826
(주)리메드,302550,18-Dec,3996784,8003940,3996784,8003940,49.93520691
(주)리메드,302550,19-Dec,10675856,18550238,10675856,18550238,57.55104598
(주)링네트,42500,18-Dec,13835918,137560878,13144060,137188238,10.05803263
(주)링네트,42500,19-Dec,18497982,131919333,18049595,130579734,14.02219188
(주)링크제니시스,219420,18-Dec,4196350,11631823,4082403,11528946,36.07646024
(주)링크제니시스,219420,19-Dec,3459777,11404801,3057174,11010719,30.33614528
(주)마니커에프앤지,195500,18-Dec,15436480,99418999,15436480,99418999,15.52669023
(주)마니커에프앤지,195500,19-Dec,14247057,99832950,14247057,99832950,14.27089653
(주)마이크로디지탈,305090,18-Dec,1571780,4723394,1571780,4723394,33.27649567
(주)마이크로디지탈,305090,19-Dec,-160217,3926071,-160217,3926071,-4.080848258
(주)마이크로컨텍솔루션,98120,18-Dec,876626,25683997,1288211,24600590,3.413121408
(주)마이크로컨텍솔루션,98120,19-Dec,5040452,34428727,4719598,34266457,14.64025086
(주)마이크로프랜드,147760,18-Dec,3251287,40562200,3251287,40562200,8.015558821
(주)마이크로프랜드,147760,19-Dec,4074839,36672298,4074839,36672298,11.11149075
(주)마크로젠,38290,18-Dec,36095418,110298578,32197012,84732068,32.7251889
(주)마크로젠,38290,19-Dec,38889215,122252823,30104658,90977359,31.81048425
(주)맘스터치앤컴퍼니,220630,18-Dec,84755948,284496704,75755046,258138875,29.79153952
(주)맘스터치앤컴퍼니,220630,19-Dec,82681921,288853438,82572597,287716994,28.62417757
(주)매직마이크로,127160,18-Dec,11212170,80032261,5396515,65992112,14.00956297
(주)매직마이크로,127160,19-Dec,8352164,73799745,2469346,54356941,11.3173345
(주)매커스,93520,18-Dec,22985348,89614543,22160473,86558400,25.64912706
(주)매커스,93520,19-Dec,13360877,57482392,12364638,55004160,23.24342557
(주)맥스로텍,141070,18-Dec,6637354,59576150,6637354,59576150,11.14095825
(주)맥스로텍,141070,19-Dec,-5584067,37317298,-5584067,37317298,-14.96374952
(주)머큐리,100590,18-Dec,23357790,133892278,23357790,133892278,17.44521069
(주)머큐리,100590,19-Dec,16546867,111047785,16546867,111047785,14.90067271
(주)멀티캠퍼스,67280,18-Dec,69463353,240025980,60520269,228543701,28.939931
(주)멀티캠퍼스,67280,19-Dec,76631388,288001022,66335045,274956298,26.60802641
(주)메드팩토,235980,18-Dec,0,0,0,0,#DIV/0!
(주)메드팩토,235980,19-Dec,0,0,0,0,#DIV/0!
(주)메디아나,41920,18-Dec,14665093,46826224,14269758,45946514,31.31811995
(주)메디아나,41920,19-Dec,17410588,48399859,17019507,47894112,35.97239405
(주)메디콕스,54180,18-Jun,825077,13971223,825077,13971223,5.905545993
(주)메디콕스,54180,19-Jun,4037380,25225051,4158895,25161937,16.0054384
(주)메디톡스,86900,18-Dec,151206884,205444935,133083229,186434369,73.59971371
(주)메디톡스,86900,19-Dec,136370349,205900276,115387356,181011435,66.2312609
(주)메디프론디비티,65650,18-Dec,1377114,19889604,1377114,19889604,6.923787925
(주)메디프론디비티,65650,19-Dec,844292,17412906,844292,17412906,4.848656508
(주)메지온,140410,18-Dec,3238027,19087500,3238027,19087500,16.96412312
(주)메지온,140410,19-Dec,3095701,18930988,3095701,18930988,16.3525591
(주)메카로,241770,18-Dec,52995107,100499216,52988076,100492185,52.73186111
(주)메카로,241770,19-Dec,30287279,72495382,30307462,72451879,41.77821837
(주)메타바이오메드,59210,18-Dec,18126047,63813054,16300184,46872147,28.4049201
(주)메타바이오메드,59210,19-Dec,26135810,59391345,17219801,52545143,44.00609213
(주)멕아이씨에스,58110,18-Dec,3396821,8727657,2757225,7711557,38.92019359
(주)멕아이씨에스,58110,19-Dec,5533001,12863659,4180596,9685767,43.01265293
(주)멜파스,96640,18-Dec,-1156946,50785936,-1156946,50785936,-2.278083444
(주)멜파스,96640,19-Dec,12276336,75991828,12276336,75991828,16.15481075
(주)모다이노칩,80420,18-Dec,203664747,321219499,93771057,139663175,63.40360645
(주)모다이노칩,80420,19-Dec,184909383,320072758,94182396,143900823,57.77104686
(주)모두투어네트워크,80160,18-Dec,277993783,364973001,242433511,310858815,76.16831443
(주)모두투어네트워크,80160,19-Dec,244038667,297168691,205170831,242318994,82.12125785
(주)모바일리더,100030,18-Dec,7815607,15345180,2122429,5572070,50.93199949
(주)모바일리더,100030,19-Dec,8910942,23558937,1635606,5451465,37.82404104
(주)모베이스,101330,18-Dec,52368270,375310929,16396440,29406030,13.9533027
(주)모베이스,101330,19-Dec,79975606,652513096,17276234,28045795,12.25655186
(주)모베이스전자,12860,18-Dec,55075398,717990836,37511434,606411908,7.670766149
(주)모베이스전자,12860,19-Dec,64712287,771679604,44427034,616170568,8.385900919
(주)모비스,250060,18-Dec,669442,2496632,669442,2496632,26.81380356
(주)모비스,250060,19-Dec,6129837,12147693,681307,2030264,50.46091468
(주)모헨즈,6920,18-Dec,7156039,106914819,2107122,39439933,6.693215278
(주)모헨즈,6920,19-Dec,6046290,85683500,2617536,37047844,7.056539474
(주)미래SCI,28040,18-Dec,1341473,57593486,1309064,57409508,2.329209592
(주)미래SCI,28040,19-Dec,885089,14797966,791644,14699802,5.981153085
(주)미래생명자원,218150,18-Dec,6234103,35199454,5673736,23636944,17.7107946
(주)미래생명자원,218150,19-Dec,6332371,50079355,5700397,31780152,12.64467364
(주)미래컴퍼니,49950,18-Dec,53889219,213396156,52155790,206951173,25.25313483
(주)미래컴퍼니,49950,19-Dec,27487912,97432267,26384889,92458445,28.21232929
(주)미래테크놀로지,213090,18-Dec,18312577,32416628,9152411,23256463,56.49130749
(주)미래테크놀로지,213090,19-Dec,17559982,35864619,7048012,25352649,48.96185291
(주)미애부,225850,18-Dec,0,0,,,#DIV/0!
(주)미애부,225850,19-Dec,0,0,,,#DIV/0!
(주)미코,59090,18-Dec,105748791,227421583,26611450,80314284,46.4990128
(주)미코,59090,19-Dec,109341775,236170142,28996383,81371216,46.29788257
(주)미투온,201490,18-Dec,69773747,98771664,2995555,14985781,70.6414615
(주)미투온,201490,19-Dec,83246714,119101315,3911648,16488255,69.89571358
(주)바른손,18700,18-Mar,2237186,9663300,1684550,8732299,23.15136651
(주)바른손,18700,19-Mar,4156988,6551086,1549417,3506172,63.45494472
(주)바른손이앤에이,35620,18-Dec,30044467,30044467,16665042,16665042,100
(주)바른손이앤에이,35620,19-Dec,16975339,16975339,16333644,16333644,100
(주)바른전자,64520,18-Dec,-9113581,92979655,-9111040,92958710,-9.801693715
(주)바른전자,64520,19-Dec,-5423736,39481096,-5423736,39481096,-13.73755176
(주)바이넥스,53030,18-Dec,48249949,104043177,48227796,104016659,46.37492855
(주)바이넥스,53030,19-Dec,56768013,125258579,56735094,125225659,45.32065864
(주)바이오니아,64550,18-Dec,12934553,24077826,11365416,22155060,53.71977105
(주)바이오니아,64550,19-Dec,19152882,36292397,10609933,22252596,52.77381375
(주)바이오로그디바이스,208710,18-Dec,18706165,81464285,6771681,62002906,22.9624123
(주)바이오로그디바이스,208710,19-Dec,19702488,90419017,8380447,64775997,21.79020371
(주)바이오솔루션,86820,18-Dec,7013199,10525412,7013199,10525412,66.63111145
(주)바이오솔루션,86820,19-Dec,5901536,8882482,5901536,8882482,66.44016841
(주)바이오스마트,38460,18-Dec,42886649,117732569,13510785,60672736,36.42717505
(주)바이오스마트,38460,19-Dec,56232214,158967517,13356849,64995904,35.37339896
(주)바이오톡스텍,86040,18-Dec,12058941,32582096,5757590,24105320,37.01094307
(주)바이오톡스텍,86040,19-Dec,5369508,25853847,4374106,24329643,20.7687003
(주)바텍,43150,18-Dec,111751467,234393036,58217619,168887720,47.67695701
(주)바텍,43150,19-Dec,127687819,271702910,66393656,189138285,46.99538146
(주)배럴,267790,18-Dec,31406538,50068540,31280236,50099838,62.72708971
(주)배럴,267790,19-Dec,37466785,59946896,36811061,59440692,62.4999583
(주)백금티앤에이,46310,18-Dec,26619678,112217563,13043872,62247878,23.72149001
(주)백금티앤에이,46310,19-Dec,41263201,155629903,12158419,54558064,26.51367135
(주)버킷스튜디오,66410,18-Dec,5114886,18445342,5114886,18445342,27.72996023
(주)버킷스튜디오,66410,19-Dec,5962451,17584675,5962451,17584675,33.90708671
(주)베노홀딩스,206400,18-Dec,15092291,15092291,15045022,15045022,100
(주)베노홀딩스,206400,19-Dec,15950474,15950474,16109554,16109554,100
(주)베셀,177350,18-Dec,19251422,75788384,17087644,75235199,25.40154702
(주)베셀,177350,19-Dec,6117163,42343768,3600865,40367749,14.44643046
(주)베스파,299910,18-Dec,124486560,124486560,124486560,124486560,100
(주)베스파,299910,19-Dec,100572482,100572482,100123379,100123379,100
(주)보광산업,225530,18-Dec,8032882,37337946,8032882,37337946,21.51399008
(주)보광산업,225530,19-Dec,12297802,49767222,12297802,49767222,24.71064589
(주)보라티알,250000,18-Dec,16079274,42014603,14518194,39253402,38.27067936
(주)보라티알,250000,19-Dec,15060196,46789495,11010324,42135809,32.18713089
(주)본느,226340,18-Dec,12112365,29229682,8301832,24842430,41.43857945
(주)본느,226340,19-Dec,18056618,47018567,10923166,32954152,38.40316529
(주)부-스타,8470,18-Dec,14225210,81943315,14225210,81943315,17.35981758
(주)부-스타,8470,19-Dec,16054166,96542723,16054166,96542723,16.62907934
(주)부방,14470,18-Dec,106174500,348599294,4396772,10113038,30.45746272
(주)부방,14470,19-Dec,90127098,330262944,3493930,5610972,27.28949755
(주)뷰웍스,100120,18-Dec,65513647,131403852,59398174,116568491,49.85671729
(주)뷰웍스,100120,19-Dec,71927156,136009901,65896865,125452626,52.88376469
(주)브리지텍,64480,18-Dec,4928846,46502491,4928846,46502491,10.59910102
(주)브리지텍,64480,19-Dec,443966,35589607,443966,35589607,1.247459687
(주)브이원텍,251630,18-Dec,21694761,54628523,20886885,53788027,39.71324833
(주)브이원텍,251630,19-Dec,9612701,26780003,9000598,26109076,35.89507066
(주)브이티지엠피,18290,18-Dec,40684803,109469851,12384886,52279262,37.16530408
(주)브이티지엠피,18290,19-Dec,41096969,112756600,15637722,64608809,36.4475064
(주)블루베리엔에프티,44480,18-Dec,1904774,15350181,2223699,12878535,12.40880482
(주)블루베리엔에프티,44480,19-Dec,11494435,37484494,2794064,11521976,30.66450624
(주)블루콤,33560,18-Dec,15034151,73866708,11848799,65992040,20.35308112
(주)블루콤,33560,19-Dec,839670,28562802,3362749,27278673,2.939732593
(주)비덴트,121800,18-Dec,7846807,21471982,7830558,19854705,36.54440005
(주)비덴트,121800,19-Dec,6409593,18671853,6364020,17944734,34.32756781
(주)비보존헬스케어,82800,18-Dec,-8283646,46003133,-8283646,46003133,-18.00669967
(주)비보존헬스케어,82800,19-Dec,3299112,44952919,5185631,43901057,7.339038428
(주)비씨월드제약,200780,18-Dec,21829571,54791756,21829571,54791756,39.84097717
(주)비씨월드제약,200780,19-Dec,17803199,51497337,17803199,52238453,34.57110607
(주)비아트론,141000,18-Dec,37024301,129129271,36524429,128629399,28.67227602
(주)비아트론,141000,19-Dec,11986238,49953294,10956957,48924013,23.99489011
(주)비에이치,90460,18-Dec,153362557,767882470,110458320,473574349,19.97213936
(주)비에이치,90460,19-Dec,88438831,654853721,46114867,351927255,13.50512766
(주)비엔지티,32790,18-Dec,2284403,49621148,1131238,9468063,4.603688331
