,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,회사명,거래소코드,회계년도,자산(*)(IFRS연결),자산(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS연결),* (정상)영업손익(보고서기재)(IFRS),당기순이익(손실)(IFRS연결),당기순이익(손실)(IFRS),총자본증가율,영업이익증가율,순이익증가율
53,53,53,53,(주)기산텔레콤,35460,19-Dec,66789756,40025881.0,3995820,2565963.0,3498486,2205257.0,18.88425112,236.4963004966831,205.1362027903203
54,54,54,54,(주)까스텔바작,308100,18-Dec,79266755,78840385.0,14574144,14726597.0,11214626,11322040.0,,,
55,55,55,55,(주)까스텔바작,308100,19-Dec,89005071,88614189.0,9018785,9287318.0,6869624,7090294.0,12.2854985,-38.11790936,-38.74406512
56,56,56,56,(주)나노,187790,18-Dec,108261295,66624058.0,2193238,783196.0,-467314,-5616504.0,,,
57,57,57,57,(주)나노,187790,19-Dec,116141232,73016346.0,-869772,1381812.0,-298564,475680.0,7.278628064,-139.65698205119554,36.11062369199296
58,58,58,58,(주)나노브릭,286750,18-Dec,18088485,18089979.0,-1291703,-1291459.0,859279,1183722.0,,,
59,59,59,59,(주)나노브릭,286750,19-Dec,24551526,24551526.0,-1512607,-1512607.0,-780552,-763049.0,35.73013992,-17.10176411,-190.8380165
60,60,60,60,(주)나노신소재,121600,18-Dec,98480424,98056917.0,8749523,8659691.0,7671621,7577945.0,,,
61,61,61,61,(주)나노신소재,121600,19-Dec,101893569,101777474.0,5143898,5191475.0,5801286,5848754.0,3.465810626,-41.209389357568405,-24.379919185267365
62,62,62,62,(주)나노엔텍,39860,18-Dec,42161682,45657059.0,2825936,3236124.0,3308228,3683640.0,,,
63,63,63,63,(주)나노엔텍,39860,19-Dec,46639328,50554981.0,3051217,3583987.0,5749945,6191104.0,10.62017877,7.971907360959342,73.80739779724976
64,64,64,64,(주)나무가,190510,18-Dec,118767661,78000824.0,1857186,8215658.0,3585210,10339276.0,,,
65,65,65,65,(주)나무가,190510,19-Dec,194518538,157114377.0,2666025,2906028.0,-585939,3214583.0,63.78072647,43.55185748761837,-116.34322675659166
66,66,66,66,(주)나스미디어,89600,18-Dec,303112420,229196776.0,24946232,19351123.0,20596334,15458417.0,,,
67,67,67,67,(주)나스미디어,89600,19-Dec,356236026,279587256.0,30558603,23389051.0,22484088,18656401.0,17.52604067,22.497870620300493,9.165485469404409
68,68,68,68,(주)나이벡,138610,18-Dec,22317590,22317590.0,-3402362,-3402362.0,-4146156,-4146156.0,,,
69,69,69,69,(주)나이벡,138610,19-Dec,35734880,35734880.0,-960252,-960252.0,-2726636,-2726636.0,60.11979788,71.77690087063047,34.23701375442699
