,Unnamed: 0,회사명,거래소코드,회계년도,자산(*)(IFRS연결),자산(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS연결),* (정상)영업손익(보고서기재)(IFRS),당기순이익(손실)(IFRS연결),당기순이익(손실)(IFRS),총자본증가율,영업이익증가율,순이익증가율
69,69,(주)네오위즈홀딩스,42420,16-Dec,533357640,328583153.0,22359830,-303937.0,-8386452,-6839712.0,,,
70,70,(주)네오위즈홀딩스,42420,17-Dec,524777876,313767777.0,10628248,-260154.0,-6798711,-10240089.0,-1.608632437,-52.467223588014754,18.932213527246088
71,71,(주)네오티스,85910,16-Dec,84886956,81259493.0,2530772,2035569.0,-1601111,-1560928.0,,,
72,72,(주)네오티스,85910,17-Dec,81029245,78550459.0,3266173,2393447.0,-7249334,-7269754.0,-4.54452743,29.05836637990305,-352.76898353705644
73,73,(주)네오팜,92730,16-Dec,46509145,46991314.0,9552938,10034988.0,7742494,8190762.0,,,
74,74,(주)네오팜,92730,17-Dec,56694807,57785337.0,14037876,14632436.0,11559211,12152804.0,21.9003424,46.94825822171148,49.29570497568355
75,75,(주)네이블커뮤니케이션즈,153460,16-Dec,38055743,38055743.0,194621,194621.0,150592,150592.0,,,
76,76,(주)네이블커뮤니케이션즈,153460,17-Dec,30886559,30886559.0,-6481007,-6481007.0,-6335770,-6335770.0,-18.83863889,-3430.06561470756,-4307.242084572886
77,77,(주)네이처셀,7390,16-Dec,52666628,52666628.0,-3629988,-3629988.0,-3223414,-3223414.0,,,
78,78,(주)네이처셀,7390,17-Dec,51440663,51440663.0,-525612,-525612.0,-460739,-460739.0,-2.327783355,85.52028271167839,85.70649007542934
79,79,(주)네패스,33640,16-Dec,298597454,275811611.0,8242290,13604990.0,17966353,6876296.0,,,
80,80,(주)네패스,33640,17-Dec,308121193,292764814.0,19305346,24167854.0,3941829,6296840.0,3.189491026,134.22308605982076,-78.0599379295286
81,81,(주)넥스턴바이오사이언스,89140,16-Dec,98533684,98533684.0,19292470,19292470.0,17172998,17172998.0,,,
82,82,(주)넥스턴바이오사이언스,89140,17-Dec,94752881,94752881.0,10076522,10076522.0,6779440,6779440.0,-3.83706652,-47.769663500837375,-60.52267635505461
