회사명,거래소코드,회계년도,이자비용(IFRS연결),이자비용(IFRS)
(주)썸에이지,208640,Dec-19,477431,457025
(주)쎄노텍,222420,Dec-19,621336,621336
(주)쎄니트,37760,Dec-19,1854944,1428976
(주)쎄트렉아이,99320,Dec-19,85120,27390
(주)쎌바이오텍,49960,Dec-19,53628,2296
(주)쏠리드,50890,Dec-19,2678740,2124214
(주)씨씨에스충북방송,66790,Dec-19,453470,453470
(주)씨에스,65770,Dec-19,11781,10103
(주)씨에스에이코스믹,83660,Dec-19,276104,221663
(주)씨엔플러스,115530,Dec-19,1119928,1082769
(주)씨엠에스에듀,225330,Dec-19,1094707,1076469
(주)씨유메디칼시스템,115480,Dec-19,5279368,4358932
(주)씨제이이엔엠,35760,Dec-19,29647700,22934296
(주)씨젠,96530,Dec-19,485641,203174
(주)씨티씨바이오,60590,Dec-19,5070259,4689007
(주)씨티케이,260930,Dec-19,378953,9243
(주)아가방앤컴퍼니,13990,Dec-19,320017,254653
(주)아나패스,123860,Dec-19,659261,659261
(주)아난티,25980,Dec-19,15345945,8330980
(주)아리온테크놀로지,58220,Dec-19,5841178,5840773
(주)아모그린텍,125210,Dec-19,1068398,1068398
(주)아모텍,52710,Dec-19,5005924,4889807
(주)아미노로직스,74430,Dec-19,39332,39332
(주)아바코,83930,Dec-19,94971,93843
(주)아바텍,149950,Dec-19,0,0
(주)아스타,246720,Dec-19,303600,12083
(주)아스트,67390,Dec-19,10530216,5354552
(주)아시아경제,127710,Dec-19,1258170,1222685
(주)아우딘퓨쳐스,227610,Dec-19,136410,91152
(주)아이디스,143160,Dec-19,197346,197346
(주)아이디스홀딩스,54800,Dec-19,2628940,2500988
(주)아이비김영,339950,Dec-19,0,
(주)아이센스,99190,Dec-19,1489094,838800
(주)아이스크림에듀,289010,Dec-19,146039,146039
(주)아이씨디,40910,Dec-19,1361649,1291589
(주)아이앤씨테크놀로지,52860,Dec-19,374951,250715
(주)아이에스시,95340,Dec-19,674967,19810
(주)아이에스이커머스,69920,Dec-19,1481083,1399105
(주)아이에이,38880,Dec-19,1798205,1363733
(주)아이엘사이언스,307180,Dec-19,298420,298420
(주)아이엠,101390,Dec-19,2077502,1229234
(주)아이엠비씨,52220,Dec-19,57437,35276
(주)아이엠텍,226350,Dec-19,3479914,3468889
(주)아이오케이컴퍼니,78860,Dec-19,8250865,8131703
(주)아이윈,90150,Dec-19,1318398,900313
(주)아이윈플러스,123010,Dec-19,754290,754290
(주)아이즈비전,31310,Dec-19,216419,8954
(주)아이컴포넌트,59100,Dec-19,636179,636179
(주)아이톡시,52770,Dec-19,132009,132009
(주)아이티센,124500,Dec-19,6471678,3691138
(주)아이티엑스에이아이,99520,Dec-19,366348,366545
(주)아이티엠반도체,84850,Dec-19,3968239,2780727
(주)아즈텍더블유비이,32080,Dec-19,370322,370322
(주)아진엑스텍,59120,Dec-19,25078,25078
(주)아톤,158430,Dec-19,226416,194185
(주)아프리카티비,67160,Dec-19,415118,128553
(주)안랩,53800,Dec-19,10908,0
(주)안트로젠,65660,Dec-19,1092986,1092986
(주)알로이스,297570,Dec-19,98418,98418
(주)알에프세미,96610,Dec-19,1688683,1679684
(주)알에프텍,61040,Dec-19,5635638,5265360
(주)알엔투테크놀로지,148250,Dec-19,628555,628555
(주)알테오젠,196170,Dec-19,189613,4533
(주)알톤스포츠,123750,Dec-19,984737,666949
(주)알티캐스트,85810,Dec-19,603734,77312
(주)알파홀딩스,117670,Dec-19,3338142,3914876
(주)애니플러스,310200,Dec-19,0,
(주)액션스퀘어,205500,Dec-19,120985,118911
(주)액토즈소프트,52790,Dec-19,585148,560539
(주)액트로,290740,Dec-19,46424,46424
(주)앤디포스,238090,Dec-19,3516764,3406649
(주)앤씨앤,92600,Dec-19,294835,59325
(주)야스,255440,Dec-19,74676,63342
(주)어스앤에어로스페이스,263540,Dec-19,808036,808036
(주)얼라인드제네틱스,238120,Dec-19,96838,96775
(주)에너토크,19990,Dec-19,6631,6631
(주)에스디생명공학,217480,Dec-19,573461,392741
(주)에스디시스템,121890,Dec-19,275258,275258
(주)에스비에스콘텐츠허브,46140,Dec-19,7670,6677
(주)에스씨디,42110,Dec-19,41743,2166
(주)에스아이리소스,65420,Dec-19,300026,300026
(주)에스앤더블류,103230,Dec-19,19285,19285
(주)에스앤에스텍,101490,Dec-19,760192,760192
(주)에스에너지,95910,Dec-19,3970332,2197677
(주)에스에스알,275630,Dec-19,18060,18060
(주)에스에이엠티,31330,Dec-19,2280173,2280173
(주)에스에이티,158300,Dec-19,400859,362192
(주)에스에이티,60540,Dec-19,861423,10198
(주)에스에프에이,56190,Dec-19,9937468,36669
(주)에스에프에이반도체,36540,Dec-19,9952800,8760411
(주)에스엘바이오닉스,214310,Dec-19,3118246,3118246
(주)에스엠라이프디자인그룹,63440,Dec-19,144009,6982
(주)에스엠엔터테인먼트,41510,Dec-19,3882366,1108347
(주)에스엠컬처앤콘텐츠,48550,Dec-19,1239278,1237846
(주)에스엠코어,7820,Dec-19,37233,37233
(주)에스제이그룹,306040,Dec-19,405822,288677
(주)에스제이케이,80440,Dec-19,3481420,3515046
(주)에스지엔지,40610,Dec-19,13029545,1161581
(주)에스코넥,96630,Dec-19,1854480,1472658
(주)에스텍파마,41910,Dec-19,16129,12011
(주)에스티아이,39440,Dec-19,1106002,902963
(주)에스티오,98660,Dec-19,1249184,1207642
(주)에스티큐브,52020,Dec-19,2832523,2771946
(주)에스폴리텍,50760,Dec-19,1016310,1045000
(주)에스피시스템스,317830,Dec-19,344395,231815
(주)에스피지,58610,Dec-19,3032765,2411991
(주)에쎈테크,43340,Dec-19,510060,510060
(주)에이디칩스,54630,Dec-19,619713,619713
(주)에이디테크놀로지,200710,Dec-19,745721,745721
(주)에이루트,96690,Dec-19,2705219,2660631
(주)에이비프로바이오,195990,Dec-19,4217746,3330243
(주)에이스침대,3800,Dec-19,402195,402195
(주)에이스테크놀로지,88800,Dec-19,11134877,7832284
(주)에이스토리,241840,Dec-19,28420,28420
(주)에이치디,102210,Dec-19,1028250,1461784
(주)에이치비테크놀러지,78150,Dec-19,1408830,317859
(주)에이치시티,72990,Dec-19,475910,475779
(주)에이치알에스,36640,Dec-19,622015,611671
(주)에이치앤비디자인,227100,Dec-19,338582,335407
(주)에이치엘사이언스,239610,Dec-19,3783,3783
(주)에이치케이,44780,Dec-19,911223,911223
(주)에이텍,45660,Dec-19,15629,15629
(주)에이텍티앤,224110,Dec-19,204164,186744
(주)에이트원,230980,Dec-19,948102,932756
(주)에이티세미콘,89530,Dec-19,3809562,3685705
(주)에이팩트,200470,Dec-19,2234921,2234921
(주)에이팸,73070,Dec-19,2806515,2404246
(주)에이프로젠헬스케어앤게임즈,109960,Dec-19,216340,209787
(주)에치에프알,230240,Dec-19,408239,395071
(주)에코마케팅,230360,Dec-19,37282,29460
(주)에코프로,86520,Dec-19,11375522,480044
(주)에코프로비엠,247540,Dec-19,4483462,4483462
(주)에프알텍,73540,Dec-19,479799,268404
(주)에프앤리퍼블릭,64090,Dec-19,1285886,1274334
(주)에프에스엔,214270,Dec-19,6601198,6414445
(주)에프에스티,36810,Dec-19,580094,260650
(주)에프엔씨엔터테인먼트,173940,Dec-19,527343,475778
(주)엑사이엔씨,54940,Dec-19,1487860,782480
(주)엑세스바이오인코퍼레이션,950130,Dec-19,2193066,1424239
(주)엑셈,205100,Dec-19,156290,44917
(주)엑시콘,92870,Dec-19,904542,904542
(주)엔바이오니아,317870,Dec-19,317834,317834
(주)엔에스,217820,Dec-19,704862,672480
(주)엔에스엔,31860,Dec-19,2091239,1918362
(주)엔에이치엔벅스,104200,Dec-19,65481,23305
(주)엔이능률,53290,Dec-19,343403,343403
(주)엔지스테크널러지,208860,Dec-19,3511073,3498594
(주)엔지켐생명과학,183490,Dec-19,51453,34539
(주)엔케이맥스,182400,Dec-19,153510,108871
(주)엔텔스,69410,Dec-19,11552,10987
(주)엔피,291230,Dec-19,0,
(주)엔피디,198080,Dec-19,4575143,955775
(주)엔피케이,48830,Dec-19,392402,390839
(주)엘디티,96870,Dec-19,62,62
(주)엘아이에스,138690,Dec-19,3414809,3758804
(주)엘앤씨바이오,290650,Dec-19,60553,30813
(주)엘앤에프,66970,Dec-19,4259001,3458350
(주)엘앤케이바이오메드,156100,Dec-19,2045357,1624001
(주)엘엑스세미콘,108320,Dec-19,251687,251687
(주)엘엠에스,73110,Dec-19,1671348,1639978
(주)엘오티베큠,83310,Dec-19,551358,421636
(주)엠게임,58630,Dec-19,60816,59793
(주)엠디에스테크,86960,Dec-19,126968,56670
(주)엠씨넥스,97520,Dec-19,4494564,3259426
(주)엠아이텍,179290,Dec-19,58676,58676
(주)엠앤씨생명과학,225860,Dec-19,0,
(주)엠에스씨,9780,Dec-19,1143067,1143067
(주)엠에스오토텍,123040,Dec-19,30350306,9008831
(주)엠투엔,33310,Dec-19,893113,887620
(주)엠플러스,259630,Dec-19,1763421,1763421
(주)엠피대산,65150,Dec-19,1296379,862433
(주)연우,115960,Dec-19,1549761,1376743
(주)연이비앤티,90740,Dec-19,1633557,795545
(주)영우디에스피,143540,Dec-19,1408405,1389778
(주)예림당,36000,Dec-19,29944035,3226
(주)예선테크,250930,Dec-19,519142,488311
(주)예스티,122640,Dec-19,1292416,1240922
(주)오공,45060,Dec-19,847121,519802
(주)오디텍,80520,Dec-19,9007,9007
(주)오르비텍,46120,Dec-19,1359055,1359055
(주)오리엔탈정공,14940,Dec-19,3337114,450472
(주)오리엔트정공,65500,Dec-19,1460692,607011
(주)오리콤,10470,Dec-19,90000,48000
(주)오스코텍,39200,Dec-19,1213748,1198205
(주)오스테오닉,226400,Dec-19,1380593,1380593
(주)오스템,31510,Dec-19,2391685,2262137
(주)오이솔루션,138080,Dec-19,523110,523110
(주)오킨스전자,80580,Dec-19,1117407,1116213
(주)오텍,67170,Dec-19,8175165,1763547
(주)오파스넷,173130,Dec-19,260171,260171
(주)오픈베이스,49480,Dec-19,842367,332943
(주)오하임아이엔티,309930,Dec-19,0,
(주)옵투스제약,131030,Dec-19,3949,3949
(주)옵트론텍,82210,Dec-19,4896454,3687282
(주)옵티팜,153710,Dec-19,158577,158577
(주)와이비엠넷,57030,Dec-19,589752,589752
(주)와이솔,122990,Dec-19,1275663,480535
(주)와이어블,65530,Dec-19,1120466,1120466
