회사명,거래소코드,회계년도,매출원가(*)(IFRS),매출액(수익)(*)(IFRS),매출원가(*)(IFRS연결),매출액(수익)(*)(IFRS연결),매출원가대매출액2019
(주)뉴트리,270870,19-Dec,29322465,120304900,28564411,125146821,22.82471961
(주)뉴파워프라즈마,144960,18-Dec,37926495,73443751,36539593,73411628,49.77357674
(주)뉴파워프라즈마,144960,19-Dec,35103747,60212977,32316082,60165999,53.71153565
(주)뉴프렉스,85670,18-Dec,174798060,195570294,172692307,195502399,88.33257693
(주)뉴프렉스,85670,19-Dec,136671058,137368762,124862126,128250921,97.35768369
(주)다나와,119860,18-Dec,0,68011674,0,121359168,0
(주)다나와,119860,19-Dec,0,94545982,0,202773825,0
(주)다날,64260,18-Dec,0,147311837,0,209864332,0
(주)다날,64260,19-Dec,0,163395406,0,191162051,0
(주)다보링크,340360,19-Dec,,,0,0,#DIV/0!
(주)다산네트웍스,39560,18-Dec,24819444,36903448,236032103,356932941,66.12785649
(주)다산네트웍스,39560,19-Dec,49964913,69909377,296929488,446586616,66.488667
(주)다우데이타,32190,18-Dec,142210031,168144455,1746635266,2525297692,69.16551944
(주)다우데이타,32190,19-Dec,164145383,193233235,2196755647,3261975999,67.34432282
(주)다원시스,68240,18-Dec,91559814,127384635,91913119,128747502,71.3902154
(주)다원시스,68240,19-Dec,131079954,169525723,136802026,175077026,78.13819387
(주)대동스틸,48470,18-Dec,98014563,101539496,98014563,101539496,96.52851044
(주)대동스틸,48470,19-Dec,109013952,113290547,109013952,113290547,96.2251087
(주)대륙제관,4780,18-Dec,176938837,196346726,176938837,196346726,90.11550159
(주)대륙제관,4780,19-Dec,174650417,197284517,174650417,197284517,88.52717874
(주)대림제지,17650,18-Dec,73362499,89572201,118557618,146502272,80.92544667
(주)대림제지,17650,19-Dec,90509959,105900335,90509959,105900335,85.46711302
(주)대명소노시즌,7720,18-Dec,172596628,214323503,226088287,280961738,80.46942214
(주)대명소노시즌,7720,19-Dec,180486620,218566639,180486620,218566639,82.5773873
(주)대성미생물연구소,36480,18-Dec,16864982,25097138,16864982,25097138,67.19882562
