,회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS),매출액(수익)(*)(IFRS연결),매출액증가율2019
264,(주)디엠에스,68790,18-Dec,293684096,298717912,
265,(주)디엠에스,68790,19-Dec,193234089,196206589,-34.31709947
266,(주)디오,39840,18-Dec,71369828,91043124,
267,(주)디오,39840,19-Dec,87716698,127165199,39.67578595
268,(주)디와이디,219550,18-Dec,54157675,54157675,
269,(주)디와이디,219550,19-Dec,48109003,48109003,-11.16863307
270,(주)디이엔티,79810,18-Dec,74849074,74958203,
271,(주)디이엔티,79810,19-Dec,29443763,29668977,-60.41930594
272,(주)디지아이,43360,18-Dec,21067104,21067104,
273,(주)디지아이,43360,19-Dec,15369640,15369640,-27.04436262
274,(주)디지캡,197140,18-Dec,18022795,18022795,
275,(주)디지캡,197140,19-Dec,19282616,23851999,32.34350721
276,(주)디지털대성,68930,18-Dec,58651268,106906093,
277,(주)디지털대성,68930,19-Dec,89600446,140630621,31.5459363
278,(주)디지틀조선일보,33130,18-Dec,37853975,39679633,
279,(주)디지틀조선일보,33130,19-Dec,31849762,33842796,-14.70990672
280,(주)디케이앤디,263020,18-Dec,37122470,54765341,
281,(주)디케이앤디,263020,19-Dec,34748575,59822274,9.233819981
282,(주)디케이티,290550,18-Dec,80671161,240165625,
283,(주)디케이티,290550,19-Dec,112873728,337722378,40.62061463
284,(주)디티앤씨,187220,18-Dec,43898718,59585468,
285,(주)디티앤씨,187220,19-Dec,41658375,73787518,23.83475447
286,(주)딜리,131180,18-Dec,43110610,43828703,
287,(주)딜리,131180,19-Dec,40186673,40486467,-7.625678542
288,(주)라닉스,317120,18-Dec,9810741,9810741,
289,(주)라닉스,317120,19-Dec,9044034,9044034,-7.814975444
290,(주)라이온켐텍,171120,18-Dec,137943447,137943447,
291,(주)라이온켐텍,171120,19-Dec,156075491,156075491,13.14454901
292,(주)라이트론,69540,18-Dec,33984112,37937437,
293,(주)라이트론,69540,19-Dec,110398230,112769838,197.2521259
294,(주)라파스,214260,18-Dec,9725083,10051484,
295,(주)라파스,214260,19-Dec,17927889,18168040,80.74982759
296,(주)랩지노믹스,84650,18-Dec,27538727,27538727,
297,(주)랩지노믹스,84650,19-Dec,33175359,33175359,20.46801945
298,(주)러셀,217500,18-Dec,31261482,31261482,
299,(주)러셀,217500,19-Dec,41027041,41027041,31.23831109
300,(주)레고켐바이오사이언스,141080,18-Dec,22884676,25240302,
301,(주)레고켐바이오사이언스,141080,19-Dec,54521912,57500139,127.8108202
302,(주)레드로버,60300,18-Dec,12275976,12275976,
303,(주)레드로버,60300,19-Dec,9240374,12084598,-1.558963621
304,(주)레드캡투어,38390,18-Dec,254173145,254944030,
305,(주)레드캡투어,38390,19-Dec,250695393,258761857,1.497515749
306,(주)레몬,294140,18-Dec,31437598,31437598,
307,(주)레몬,294140,19-Dec,49653530,49653530,57.94314184
308,(주)레이,228670,18-Dec,47565271,51533645,
309,(주)레이,228670,19-Dec,64544473,73108726,41.86601006
310,(주)레이언스,228850,18-Dec,104485862,116389469,
311,(주)레이언스,228850,19-Dec,106382013,126174798,8.407400673
312,(주)레이크머티리얼즈,281740,18-Dec,,0,
313,(주)레이크머티리얼즈,281740,19-Dec,,0,
314,(주)로보로보,215100,18-Dec,14681307,17320271,
315,(주)로보로보,215100,19-Dec,11262334,13825738,-20.17597184
316,(주)로보스타,90360,18-Dec,189700329,193174244,
317,(주)로보스타,90360,19-Dec,170632097,177224395,-8.256716149
318,(주)로보티즈,108490,18-Dec,24098201,24266778,
319,(주)로보티즈,108490,19-Dec,22704394,25231157,3.974071053
320,(주)로지시스,67730,18-Dec,40026290,40026290,
321,(주)로지시스,67730,19-Dec,33448153,33448153,-16.4345409
322,(주)루멘스,38060,18-Dec,155418796,325834561,
323,(주)루멘스,38060,19-Dec,140695879,323587779,-0.689546865
324,(주)루트로닉,85370,18-Dec,86000503,92141601,
325,(주)루트로닉,85370,19-Dec,98650924,115684801,25.55110802
326,(주)룽투코리아,60240,18-Dec,34464503,57526531,
327,(주)룽투코리아,60240,19-Dec,29017327,30101838,-47.67312147
328,(주)리노스,39980,18-Dec,71640318,71640318,
329,(주)리노스,39980,19-Dec,81276664,81286180,13.46429255
330,(주)리더스코스메틱,16100,18-Dec,78695637,139186289,
331,(주)리더스코스메틱,16100,19-Dec,39573883,95635456,-31.28959994
332,(주)리드,197210,18-Dec,32067167,32781295,
333,(주)리드,197210,19-Dec,16811323,18396311,-43.88168314
334,(주)리드코프,12700,18-Dec,391229511,464040182,
335,(주)리드코프,12700,19-Dec,430997607,495358851,6.749128678
336,(주)리메드,302550,18-Dec,8003940,8003940,
337,(주)리메드,302550,19-Dec,18550238,18550238,131.7638313
338,(주)링네트,42500,18-Dec,137188238,137560878,
339,(주)링네트,42500,19-Dec,130579734,131919333,-4.101126048
340,(주)링크제니시스,219420,18-Dec,11528946,11631823,
341,(주)링크제니시스,219420,19-Dec,11010719,11404801,-1.9517319
342,(주)마니커에프앤지,195500,18-Dec,99418999,99418999,
343,(주)마니커에프앤지,195500,19-Dec,99832950,99832950,0.416370115
344,(주)마이크로디지탈,305090,18-Dec,4723394,4723394,
345,(주)마이크로디지탈,305090,19-Dec,3926071,3926071,-16.88029836
346,(주)마이크로컨텍솔루션,98120,18-Dec,24600590,25683997,
347,(주)마이크로컨텍솔루션,98120,19-Dec,34266457,34428727,34.04738756
348,(주)마이크로프랜드,147760,18-Dec,40562200,40562200,
349,(주)마이크로프랜드,147760,19-Dec,36672298,36672298,-9.589968
350,(주)마크로젠,38290,18-Dec,84732068,110298578,
351,(주)마크로젠,38290,19-Dec,90977359,122252823,10.83807717
352,(주)맘스터치앤컴퍼니,220630,18-Dec,258138875,284496704,
353,(주)맘스터치앤컴퍼니,220630,19-Dec,287716994,288853438,1.531382944
354,(주)매직마이크로,127160,18-Dec,65992112,80032261,
355,(주)매직마이크로,127160,19-Dec,54356941,73799745,-7.787504591
356,(주)매커스,93520,18-Dec,86558400,89614543,
357,(주)매커스,93520,19-Dec,55004160,57482392,-35.85595588
358,(주)맥스로텍,141070,18-Dec,59576150,59576150,
359,(주)맥스로텍,141070,19-Dec,37317298,37317298,-37.36201819
360,(주)머큐리,100590,18-Dec,133892278,133892278,
361,(주)머큐리,100590,19-Dec,111047785,111047785,-17.06184505
362,(주)멀티캠퍼스,67280,18-Dec,228543701,240025980,
363,(주)멀티캠퍼스,67280,19-Dec,274956298,288001022,19.98743719
364,(주)메드팩토,235980,18-Dec,0,0,
365,(주)메드팩토,235980,19-Dec,0,0,
366,(주)메디아나,41920,18-Dec,45946514,46826224,
367,(주)메디아나,41920,19-Dec,47894112,48399859,3.360584872
368,(주)메디콕스,54180,18-Jun,13971223,13971223,
369,(주)메디콕스,54180,19-Jun,25161937,25225051,80.55005636
370,(주)메디톡스,86900,18-Dec,186434369,205444935,
371,(주)메디톡스,86900,19-Dec,181011435,205900276,0.221636518
372,(주)메디프론디비티,65650,18-Dec,19889604,19889604,
373,(주)메디프론디비티,65650,19-Dec,17412906,17412906,-12.45222378
374,(주)메지온,140410,18-Dec,19087500,19087500,
375,(주)메지온,140410,19-Dec,18930988,18930988,-0.819971185
376,(주)메카로,241770,18-Dec,100492185,100499216,
