,회사명,거래소코드,회계년도,유동부채비율(IFRS연결),매출액순이익률(IFRS연결),총자본증가율(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),금융비용 대 총비용비율(IFRS연결),설비투자효율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),자본금회전률(IFRS연결),총자본투자효율(IFRS연결),총자본회전률(IFRS연결),유동자산증가율(IFRS연결),매출액증가율(IFRS연결),매출액총이익률(IFRS연결),자기자본순이익률(IFRS연결),매출채권회전률(IFRS연결),재고자산회전률(IFRS연결),유형자산회전율(IFRS연결),매출원가 대 매출액비율(IFRS연결),부채비율(IFRS연결),유동비율(IFRS연결),자기자본배율(IFRS연결),당좌비율(IFRS연결),순운전자본비율(IFRS연결),현금비율(IFRS연결),타인자본회전률(IFRS연결),총자본순이익률(IFRS연결),영업이익증가율,순이익증가율,총자산영업이익율,총자산부채비율,log총자산,순이익률,현금비율,이자비용/부채,고정비율,매출액대판매관리비,유보이익대총자산비율,통계청 한국표준산업분류 10차(대분류),업종,규모,층화
10,(주)국보디자인,66620,17-Dec,62.05,4.93,3.74,5.61,23.35,0.0,3543.84,-0.57,1017.16,9.25,72.18,46.62,1.68,5.15,34.38,16.98,14.33,402.51,0.0,36.13,83.02,65.57,220.15,2647.57,220.15,45.03,43.1,3.96,8.26,120.75618440280644,24.238845944849828,0.1438244584991305,0.396016612918292,8.215853507144129,0.0826488333639992,0.1615169181073454,9.589996540076807e-05,0.1749173440610471,0.0840631053005725,0.5438602340899047,제조업,2,1,5
11,(주)국영지앤엠,6050,17-Dec,21.36,2.28,0.65,-2.43,-11.33,4.16,17.57,-0.06,30.51,-2.31,3.64,14.66,0.95,1.42,22.16,5.03,2.78,16.26,17.33,1.98,94.97,25.64,266.88,301.54,238.44,28.37,64.83,4.4,2.17,466.7860228665581,271.36520338363124,0.0214061088600539,0.2040734269050868,7.820208042840748,0.0217288179847911,0.1102408856071501,0.0056121298081569,0.5462187698758334,0.0278893044203843,0.3132517870152709,제조업,2,0,2
12,(주)그래디언트,35080,17-Dec,131.53,-1.8,-12.97,4.24,14.15,3.48,13.33,-0.05,291.89,8.33,116.42,9.5,1.83,-13.12,-7.91,10.89,-20.37,5.08,27.68,60.89,89.11,143.09,125.96,1039.09,111.83,14.05,13.71,3.09,-3.28,-39.77134416174787,-63.11946600211975,0.0153769736658669,0.5886377057297453,9.256364913970236,-0.0328178304566315,0.0742049913507971,0.0019484194385987,0.3184506340144652,0.1004871011190255,0.0970416199372496,서비스업,1,1,4
13,(주)글로벌스탠다드테크놀로지,83450,17-Dec,27.73,9.68,14.53,5.57,37.61,3.91,212.37,-0.02,170.14,8.86,34.95,54.44,1.7,7.6,79.3,34.43,23.25,11.73,7.1,5.38,65.57,30.82,266.78,1587.44,161.51,35.36,87.97,6.17,16.43,356.35911691687625,239.25642540569496,0.2321171163585636,0.2355952381522038,8.01030279396461,0.1642941524768893,0.18649562728931,0.0039740948118421,0.4344136755590922,0.2076084964380368,0.5981208286832579,제조업,2,1,5
14,(주)금빛,45890,17-Dec,88.33,-7.4,-0.97,2.57,2.89,40.85,0.03,2.47,41.76,1.71,5.57,15.17,0.66,19.48,-3.64,25.85,-11.04,4.07,3.83,1.8,74.15,144.41,135.38,340.41,83.6,12.78,9.98,1.19,-4.9,-98.58086251396035,-303.9995886651542,0.0005366463761239,0.5908528694416348,8.039957250371652,-0.0489755962998965,0.0360572801741513,0.033445312107758,0.5107600008161476,0.2576892874019177,0.0054729411807199,제조업,2,0,2
15,(주)금화피에스시,36190,17-Dec,22.48,9.79,7.72,19.14,83.07,1.27,539.47,-1.12,439.51,17.0,68.59,48.16,0.92,9.23,-12.44,20.75,11.48,5.86,220.32,7.92,79.25,25.74,381.74,6130.28,379.24,50.37,56.22,4.39,9.02,13.575669760677606,-15.736295013873,0.151626177391928,0.2046795259322918,8.364811958870648,0.0902397140688005,0.1005059084399671,0.0013393074599267,0.317550481579219,0.0429682179779896,0.7436699948490572,제조업,2,1,5
16,(주)기가레인,49080,17-Dec,87.49,-0.92,16.63,-2.4,-2.58,36.97,1.96,2.36,36.36,-1.32,6.04,13.02,0.59,56.78,32.72,17.39,-1.88,6.21,6.24,1.43,82.61,104.84,93.25,358.31,61.93,-2.88,9.53,1.05,-0.55,274.08328211150155,91.10107545628442,0.0310181318400079,0.5118101357225873,8.259183644792419,-0.0054588571752633,0.0407145904141959,0.0278906458822571,0.6016972966770227,0.121673481540379,0.0013381996587283,제조업,2,1,5
17,(주)기산텔레콤,35460,17-Dec,72.01,-8.73,-5.49,-1.16,-2.09,0.0,-6.37,0.38,264.18,-1.05,8.71,7.55,0.88,-7.29,7.26,14.33,-13.79,3.24,3.29,28.83,85.67,100.44,231.57,444.91,147.39,47.27,61.54,1.83,-7.67,-10.84656529435359,-109.81269767549342,-0.0447613600175665,0.5010892272374349,7.845949284791295,-0.0767387479996856,0.2253035291230538,0.0146026589212122,0.1680273612889705,0.194230393357491,-0.2851289810125246,제조업,2,0,2
18,(주)나노,187790,17-Dec,84.22,0.12,9.75,-1.05,-1.64,33.67,0.96,2.28,29.51,-0.84,21.34,13.49,0.84,24.86,51.72,14.18,-0.15,6.79,3.96,1.58,85.82,103.94,113.23,907.76,57.73,5.47,12.68,1.53,0.1,952.327854329761,27413.905096818267,0.0189882100132714,0.5096652660427423,7.961775338596014,0.0010203779093936,0.0523822937272006,0.0360093947845439,0.5323770171586213,0.1191150408188384,0.1902545644038119,제조업,2,0,2
19,(주)나노신소재,121600,17-Dec,4.73,14.98,5.61,17.72,133.43,1.51,114.62,-0.03,116.98,9.07,8.4,24.17,0.53,-1.29,10.84,45.42,8.51,4.36,1.5,2.36,54.58,7.3,1573.4,1528.59,783.43,64.93,166.55,7.18,7.88,35.52337753464664,14.946503889355965,0.0985097237416925,0.0680066789629438,7.94921191915833,0.0788427461118552,0.0733931119985461,0.0117213523743368,0.3066672884946358,0.2670139959155446,0.458020958075486,제조업,2,0,2
20,(주)나노엔텍,39860,17-Dec,69.31,-8.7,-7.3,-2.76,-3.53,29.6,3.38,1.72,54.33,-1.55,1.95,17.91,0.54,3.25,7.22,43.61,-8.41,3.92,3.82,1.61,56.39,78.54,137.62,193.97,101.73,14.61,59.37,1.23,-4.71,679.124028495473,85.99776903181548,0.0379756576544438,0.4399089391203604,7.627057397994816,-0.0470534966874168,0.2304533860550424,0.0255312394425441,0.4657470247271789,0.3659091106681243,-0.0930281962457495,제조업,2,0,2
21,(주)나무가,190510,17-Dec,306.66,-15.89,-27.31,-6.53,-15.03,41.4,-18.62,0.48,-4.61,-11.81,135.63,-1.51,1.52,-38.05,-11.98,-4.77,-79.31,11.57,9.65,4.51,104.77,365.56,88.79,1610.05,60.56,-7.39,19.52,2.18,-24.19,-4601.971904616097,-876.9525832337928,-0.1860918943357468,0.7852067615110615,8.153553660538899,-0.2418892604763665,0.1285728078468513,0.0143248162769695,0.4151844351045597,0.0744801262323798,-0.1820377543494221,제조업,2,1,5
22,(주)나스미디어,89600,17-Dec,134.32,22.18,19.72,13.22,8.45,0.95,147.4,-0.43,699.91,5.03,26.39,25.99,0.41,28.25,71.96,0.0,22.56,3.35,0.0,10.11,0.0,147.29,140.61,2623.74,140.61,22.06,10.08,0.69,9.2,122.23495517089178,122.81279134703584,0.1182914538628177,0.59562303947077,8.499641699222565,0.0920035175791233,0.0547484202304937,0.0013384047426974,0.2362900135957244,0.7148366368644771,0.2269510124127527,서비스업,1,1,4
23,(주)나이벡,138610,17-Dec,46.03,-40.74,12.11,1.52,0.71,36.47,-1.81,6.84,16.91,0.37,2.2,6.46,0.26,13.07,31.19,31.03,-23.13,3.64,3.04,0.66,68.97,108.31,175.61,411.34,133.25,16.71,92.73,0.48,-10.54,54.84635811077322,15.181642110882407,-0.0463357410706872,0.5199347597799846,7.410783524276957,-0.1054027590098237,0.204926701450111,0.0470355363349933,0.6119099323337958,0.489439475135163,-0.7308127536638013,제조업,2,0,2
24,(주)나이스디앤비,130580,17-Dec,21.11,15.17,15.97,17.11,86.21,0.0,999999999.0,-1.36,2451.95,15.42,5.49,57.81,0.97,-4.07,24.49,0.0,17.75,11.94,21479.78,40.8,0.0,21.78,355.01,500.47,354.98,44.21,112.41,5.59,14.68,30.762744096315625,11.966858006100308,0.1934733405438676,0.1788277048563689,7.671433415298128,0.1467850395281819,0.1949066688078123,0.0,0.3844779257003707,0.8000555874215673,0.5594144478064637,서비스업,1,0,1
25,(주)네오오토,212560,17-Dec,50.22,3.22,1.67,13.47,26.74,33.97,1.7,0.67,33.92,12.6,39.09,21.82,0.94,7.3,-8.75,6.67,5.84,11.05,17.64,1.35,93.33,89.09,102.3,1841.52,80.85,0.61,27.08,1.97,3.04,-84.0232847279824,-47.537795611804455,0.0118105622786082,0.4711443703684016,8.137058221868648,0.0304131134319818,0.0719231179579771,0.0144667532004381,0.7282785441711481,0.0541292363579593,0.4086949496419412,제조업,2,1,5
26,(주)네오위즈,95660,17-Dec,12.37,-1.23,-4.12,11.35,49.89,0.03,81.79,-1.05,1074.95,6.49,15.88,21.72,0.56,-3.98,-8.9,47.18,-0.57,8.1,22241.58,31.51,52.82,14.96,576.68,2425.79,576.64,51.27,194.38,4.05,-0.69,-53.67643597169855,-121.75623081295672,0.0349721539318255,0.1301460468546954,8.483386689316186,-0.0068952069255389,0.2090865877341667,0.0030917989265987,0.3797006334409691,0.4092887906432293,0.6520480513925612,서비스업,1,1,4
27,(주)네오위즈홀딩스,42420,17-Dec,7.32,-3.68,-1.61,6.88,26.3,0.17,58.57,-2.59,1054.86,2.43,39.73,12.82,0.35,-0.59,-8.35,46.74,-1.77,8.03,2963.0,31.49,53.26,10.16,962.04,6255.12,961.85,57.31,205.83,3.6,-1.29,-52.467223588014754,18.932213527246088,0.0200886329572931,0.0922212219937412,8.719975517423906,-0.0128503597076123,0.1368523794246234,0.0035319727007132,0.3603702397697879,0.4099127959828239,0.3856963398357899,서비스업,1,1,4
28,(주)네오티스,85910,17-Dec,63.72,-16.68,-4.54,11.06,13.76,23.66,7.31,0.19,34.16,5.93,7.89,12.3,0.52,-5.04,8.24,21.14,-14.48,3.26,9.07,1.46,78.86,75.84,107.57,822.16,92.11,2.74,22.86,1.37,-8.74,29.05836637990305,-352.76898353705644,0.0393713571105693,0.4313153109102769,7.908641792333481,-0.0873854868458566,0.0828504819463639,0.0140769442277968,0.6101747461672634,0.1362731898564656,0.0993690364509752,제조업,2,0,2
29,(주)네오팜,92730,17-Dec,18.95,21.55,21.9,18.46,108.65,0.11,999999999.0,-1.05,271.1,17.46,14.38,40.47,1.04,30.68,26.59,74.85,26.83,9.26,11.92,6.11,25.15,19.15,488.6,1275.44,434.88,61.79,47.08,6.29,22.4,46.94825822171148,49.29570497568355,0.2720414427540527,0.1607359383020741,7.753543281211622,0.2240071387963902,0.0748623238103623,0.0,0.2230785969515691,0.4867340671942262,0.5869811674286147,제조업,2,0,2
30,(주)네이블커뮤니케이션즈,153460,17-Dec,15.66,-47.02,-18.84,-3.57,-11.5,0.0,999999999.0,-1.28,88.39,-1.56,4.13,20.02,0.39,-22.77,-37.6,39.6,-21.21,3.73,13.13,1.86,60.4,15.66,530.53,817.93,496.82,58.28,260.15,2.93,-18.38,-3430.06561470756,-4307.242084572886,-0.1880124919530537,0.1353644800639656,7.489769527254077,-0.1837992006707289,0.3521478064293274,0.0,0.2818469354258595,0.8770395023862818,0.2370613055342293,서비스업,1,0,1
31,(주)네패스,33640,17-Dec,87.86,1.38,3.19,18.25,27.78,38.63,3.32,1.8,69.26,16.89,25.79,34.59,0.94,4.0,11.98,21.79,5.05,8.99,31.15,1.84,78.21,154.91,98.06,1183.3,89.63,-0.67,45.16,1.54,1.3,134.22308605982076,-78.0599379295286,0.0636385451327656,0.607703949789653,8.488721570716862,0.0129939273153739,0.1556783729576173,0.03147650398949,0.6619802325638795,0.1501524759663756,0.1446344977640015,제조업,2,1,5
32,(주)넥스턴바이오사이언스,89140,17-Dec,3.08,15.51,-3.84,23.27,340.39,0.0,1532.55,-2.25,122.72,10.73,7.38,11.76,0.45,-11.69,-41.23,31.01,7.46,4.99,6.83,4.97,68.99,3.26,2781.54,1549.23,2581.81,80.02,1444.37,7.52,7.01,-47.769663500837375,-60.52267635505461,0.1042651050268289,0.0315330992415945,7.976592423741751,0.0701491073629457,0.4310064725103187,0.0011307004607668,0.1699758870656397,0.0795864235840992,0.4916167034541145,제조업,2,0,2
33,(주)넥스트아이,137940,17-Dec,38.5,-4.54,40.52,1.36,1.27,34.85,0.84,1.52,81.3,0.58,8.97,9.06,0.5,33.72,50.82,31.95,-2.85,6.23,15.83,4.15,68.05,84.57,303.29,953.4,284.14,42.4,100.53,1.22,-2.27,-65.08619908296373,-176.230186294486,0.0108510237204057,0.458205664157869,8.142878782295137,-0.0227105644122534,0.2096953554657364,0.0315819069399788,0.3673802802982773,0.2977811267120183,0.1936070513246259,제조업,2,0,2
34,(주)넥스트엔터테인먼트월드,160550,17-Dec,70.42,-7.89,11.25,-9.29,-6.99,18.06,-6.92,-0.34,20.96,-3.42,6.9,3.81,0.39,0.8,-24.8,22.16,-5.98,3.33,2860.36,1.97,77.84,96.16,165.57,931.85,165.5,23.54,40.88,0.86,-3.06,-177.64083918610692,-309.25291745204373,-0.021179295627916,0.4902055255736779,8.409024840086442,-0.0306428086973004,0.1467642132899351,0.006785496335279,0.4056418110752413,0.276165571155824,0.1081289512121261,서비스업,1,0,1
35,(주)넵튠,217270,17-Dec,8.17,156.32,130.32,-9.99,-7.37,8.44,-51.27,0.22,6980.3,-1.86,2.24,53.93,0.26,5.86,11.96,0.0,54.16,9.05,20800.1,28.02,0.0,33.76,183.23,892.85,183.2,5.08,99.03,1.12,40.58,-176.28727330098394,903.5111506054732,-0.1089421083131034,0.2523781210146509,8.042529568504955,0.4057664341837952,0.060478491958696,0.009139079593026,0.8880939735311256,1.4197046537853564,0.2518494522158518,서비스업,1,0,1
36,(주)녹십자셀,31390,17-Dec,41.3,3.67,173.07,28.08,7.59,50.69,17.72,0.06,83.69,4.56,3.34,8.53,0.24,371.05,64.06,47.34,1.6,7.4,19.31,0.72,52.66,150.02,333.42,823.52,326.62,38.56,2.43,0.52,0.87,313.1283595315798,871.608375072551,0.0370452035131498,0.6000349658137789,8.080659086641168,0.0083398751841126,0.004013826603282,0.0042440755548598,0.4492525968025755,0.3101423995665203,0.011407740007025,제조업,2,0,2
37,(주)녹십자엠에스,142280,17-Dec,100.61,-2.38,-3.21,6.79,19.55,16.57,0.26,0.5,114.98,10.85,20.58,20.1,1.57,0.45,14.19,15.66,-8.08,4.14,7.18,8.4,84.34,124.55,150.72,507.44,101.89,22.72,12.12,2.92,-3.75,1552.1077818301642,8.411324857700874,0.0021335721733448,0.5546553295550578,7.789329771164485,-0.0374576941410228,0.0542831584030106,0.015183901853141,0.3247107009882023,0.1552097310981942,0.1785013736100189,제조업,2,0,2
38,(주)누리플랜,69140,17-Dec,82.84,-0.04,0.0,0.98,1.91,14.17,1.71,0.62,35.93,0.89,14.99,11.38,0.91,0.0,0.0,20.53,0.14,4.12,50.48,2.87,79.47,87.03,123.46,877.85,119.39,10.39,28.98,1.96,-0.04,-33.54812138509367,-100.58095993118047,0.0129463547795038,0.4653214109578562,7.592596831270798,-0.0003697141354578,0.1283696610936966,0.0165300171219722,0.4531347388172029,0.1918038755163376,0.2330306032745089,제조업,2,0,2
39,(주)누리플렉스,40160,17-Dec,147.99,-4.97,71.74,4.13,5.35,25.37,1.9,0.77,47.88,3.47,19.5,8.83,1.06,97.67,129.05,25.42,-11.22,4.24,8.19,5.01,74.58,184.59,118.06,815.56,83.49,9.39,20.13,2.0,-5.27,-73.58952080815729,-189.9452575372144,0.0187503014353501,0.6486173869859416,8.146057193368536,-0.0527395306993499,0.1046887469109693,0.0185997356307461,0.3860717281993817,0.236510702256446,0.0439433246129824,서비스업,1,1,4
40,(주)뉴로스,126870,17-Dec,95.51,-12.36,19.75,2.83,1.78,43.07,0.89,4.52,22.01,1.02,5.93,6.43,0.39,18.46,1.53,31.87,-10.83,1.52,2.29,1.17,68.13,135.5,143.02,656.22,103.09,17.45,15.93,0.72,-4.88,38.46502498346011,-608.7744233231991,0.0200350139654171,0.5753768615809167,8.09216444084474,-0.0487823982511581,0.0646150019956883,0.040726331534559,0.4199743371059324,0.2678978689446658,0.0865413042783756,제조업,2,0,2
41,(주)뉴보텍,60260,17-Dec,78.58,-2.32,-1.26,-1.59,-4.54,21.07,-4.56,0.3,82.58,-2.12,3.33,21.55,1.32,-3.93,14.27,25.72,-5.67,5.33,15.47,5.13,74.28,87.38,160.71,133.98,141.75,25.46,9.39,2.86,-3.06,-184.9269729159046,-254.24996875917952,-0.034122689680406,0.4663187796982453,7.489913740572439,-0.0305670468775291,0.0393764509787529,0.0162168682084711,0.326027208563264,0.2831048616432068,-0.2605501077991302,제조업,2,0,2
42,(주)뉴인텍,12340,17-Dec,150.58,-7.1,-1.5,-0.36,-0.62,38.37,-1.93,1.51,46.92,-0.41,2.05,20.07,1.14,-3.13,5.01,8.12,-21.12,5.35,6.49,2.55,91.88,197.74,94.2,60.03,59.34,-2.94,6.43,1.84,-8.08,82.50879990888669,62.99868465567666,-0.036664705674096,0.6641333268000911,7.64245038318254,-0.0807550259986378,0.0325314917426355,0.0306963304476517,0.5236096865203198,0.1134423015407477,-0.4924159604193038,제조업,2,0,2
43,(주)뉴파워프라즈마,144960,17-Dec,15.82,17.77,10.36,18.05,91.88,2.85,135.62,-0.67,109.79,13.42,25.55,31.08,0.78,2.28,55.02,49.3,16.91,11.43,9.18,2.9,50.7,17.11,431.28,2908.61,382.94,44.75,19.6,4.34,13.87,81.33366670049192,68.72271544701562,0.1700063569955731,0.1460743425102169,8.14770681342543,0.1386901933650374,0.0264734296518855,0.0069743367135312,0.4173751459897505,0.275093468625531,0.5385156731772226,제조업,2,1,5
44,(주)뉴프렉스,85670,17-Dec,115.37,2.82,11.04,8.0,16.87,35.31,5.58,0.82,64.91,10.27,23.71,30.04,1.35,16.12,5.16,11.28,9.39,8.38,5.55,2.76,88.72,155.7,106.27,673.88,52.52,2.83,7.67,2.19,3.82,692.7769382564807,273.10723599494884,0.0625346802177737,0.6089132031962007,8.07523092091388,0.0381754598495995,0.0346263232125648,0.0181365565915861,0.5205199944019782,0.0665087213886194,0.1455871419876748,제조업,2,1,5
45,(주)다나와,119860,17-Dec,19.25,12.56,26.98,11.97,80.63,1.26,188.63,-0.97,487.39,13.87,21.85,30.58,1.3,26.64,67.07,0.0,19.03,14.07,42.18,29.7,0.0,20.77,452.75,1175.47,428.64,56.22,117.27,9.0,16.29,78.62626850617637,51.24531816552894,0.1837214699271266,0.1720131291042587,7.96773725553671,0.1628616586888004,0.1868872269840472,0.0067589668148503,0.2784661738082409,0.858328285765759,0.6032134547726361,서비스업,1,1,4
46,(주)다날,64260,17-Dec,137.48,6.18,21.07,-26.8,-16.14,32.71,6.12,0.53,898.36,-9.87,7.57,8.69,0.4,23.28,29.52,0.0,7.49,5.55,80.07,51.32,0.0,157.45,152.85,753.5,152.18,28.22,19.35,0.65,2.49,230.1960238988408,373.259717700764,0.0402740034468927,0.6115814188506753,8.67162382747846,0.0249311041150303,0.1033319162768281,0.0106095437151534,0.1838007763520288,0.9001471338508862,0.0420436505247404,서비스업,1,1,4
47,(주)다산네트웍스,39560,17-Dec,97.58,-0.81,-6.92,-1.62,-2.73,20.63,0.01,0.89,135.7,-1.44,23.63,16.63,0.86,-5.65,37.81,34.16,-1.3,4.15,7.43,5.88,65.84,111.4,128.82,935.33,107.32,13.3,19.04,1.51,-0.7,43365.33506409216,93.94585692286456,8.59702225401913e-05,0.5269668270176158,8.538554235356475,-0.0069611412989936,0.0878988045076699,0.0197821980334177,0.4054240409705431,0.3414820056584607,-0.0679361519020049,제조업,2,1,5
48,(주)다우데이타,32190,17-Dec,267.39,14.61,33.29,-36.71,-5.16,28.68,49.39,0.28,242.21,-4.37,84.3,4.49,0.14,36.12,17.12,42.13,7.9,27.64,220.58,6.18,57.87,553.47,210.16,2469.36,209.99,45.08,4.71,0.16,1.99,33.85253679422892,35.492705658911134,0.0297929329966449,0.8469706221516541,10.132317882950224,0.0198712299577234,0.0192676332464722,0.0007179299652023,0.140058867058465,0.2022596122031243,0.0245118093392531,서비스업,1,1,4
49,(주)다원시스,68240,17-Dec,58.47,4.84,47.43,-19.4,-12.59,37.09,2.55,2.69,35.2,-6.16,9.22,10.14,0.38,24.24,50.23,32.58,4.08,1.55,15.84,1.38,67.42,95.9,163.71,1429.14,154.08,19.02,16.61,0.82,1.83,-4.425228709451181,-20.180467298451525,0.0299852119718543,0.4895315422867832,8.545183390493264,0.0183365775582726,0.0547661556403795,0.0255556364743325,0.5113851262327379,0.2465997887747368,0.1420148829972417,제조업,2,1,5
50,(주)대동스틸,48470,17-Dec,20.86,6.8,26.56,-0.93,-5.81,0.0,1421.75,-0.65,102.08,-1.07,18.1,14.48,1.27,44.57,32.75,10.3,9.97,4.33,5.6,7.93,89.7,22.46,403.62,1296.3,262.87,51.72,55.65,9.66,8.66,27.010363993270023,42.2507644863838,0.0780168061795102,0.1833787875605605,7.89965413140184,0.0865719338536377,0.0948053542270453,0.0004159790375591,0.3124019326848221,0.0417819107919592,0.6585390280904693,제조업,2,0,2
