회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),현금및현금성자산(*)(IFRS연결)(천원)
(주)대동스틸,48470,17-Dec,79369589,14554699,64814890,7524662
(주)대륙제관,4780,16-Dec,148458348,55201982,93256366,24104818
(주)대륙제관,4780,17-Dec,154374507,54319381,100055127,18941448
(주)대림제지,17650,16-Dec,121643715,23079327,98564388,10855988
(주)대림제지,17650,17-Dec,238756286,108541117,130215169,14117244
(주)대명소노시즌,7720,16-Dec,149046295,51838961,97207333,55746120
(주)대명소노시즌,7720,17-Dec,419082043,282139518,136942525,9891575
(주)대성미생물연구소,36480,16-Dec,35607494,6595966,29011529,4444185
(주)대성미생물연구소,36480,17-Dec,34782459,4485961,30296498,5247195
(주)대성엘텍,25440,16-Dec,117113444,67918597,49194848,2319937
(주)대성엘텍,25440,17-Dec,106850466,60053460,46797006,3133296
(주)대성파인텍,104040,16-Dec,67762288,25860610,41901677,14413178
(주)대성파인텍,104040,17-Dec,87555780,38739544,48816237,11232278
(주)대원,7680,16-Dec,430260352,191097617,239162735,35459674
(주)대원,7680,17-Dec,429674709,168906029,260768680,118180031
(주)대창솔루션,96350,16-Dec,146530880,88233105,58297775,759057
(주)대창솔루션,96350,17-Dec,137335520,81110911,56224608,667660
(주)대창스틸,140520,16-Dec,294916418,174433423,120482995,4710592
(주)대창스틸,140520,17-Dec,307195349,177904842,129290507,1263094
(주)대한과학,131220,16-Dec,40753773,15658653,25095120,3144068
(주)대한과학,131220,17-Dec,36895656,10867107,26028550,1359485
(주)대호특수강,21040,16-Dec,141186208,100226866,40959342,1345334
(주)대호특수강,21040,17-Dec,151074017,82024966,69049051,1656962
(주)더 미동,161570,16-Dec,53455517,4065222,49390295,23950915
(주)더 미동,161570,17-Dec,47059771,2636492,44423279,23148492
(주)더블유게임즈,192080,16-Dec,436960921,58747382,378213539,15316025
(주)더블유게임즈,192080,17-Dec,997179792,592561877,404617915,24804466
(주)더블유아이,73570,16-Dec,40535256,27138781,13396475,1030523
(주)더블유아이,73570,17-Dec,30613446,6987066,23626380,6173246
(주)덕신하우징,90410,16-Dec,111233520,56805351,54428169,2309019
(주)덕신하우징,90410,17-Dec,106622625,44288436,62334189,2992261
(주)데이타솔루션,263800,16-Dec,39622635,21905657,17716977,13202997
(주)데이타솔루션,263800,17-Dec,62046031,32779977,29266054,11118406
(주)데코앤이,17680,16-Dec,53034331,18568818,34465513,8592101
(주)데코앤이,17680,17-Dec,56039766,27204008,28835758,8958905
(주)덱스터스튜디오,206560,16-Dec,85681521,7499686,78181834,10497097
(주)덱스터스튜디오,206560,17-Dec,89532234,48652868,40879367,15217666
(주)덴티스,261200,16-Dec,0,0,0,0
(주)덴티스,261200,17-Dec,0,0,0,0
(주)동구바이오제약,6620,16-Dec,65310825,43265806,22045019,4930341
(주)동구바이오제약,6620,17-Dec,75593405,37848559,37744846,9909948
(주)동국알앤에스,75970,16-Dec,125154129,48993698,76160431,12262665
(주)동국알앤에스,75970,17-Dec,126594526,50020736,76573791,6871814
(주)동국에스엔씨,100130,16-Dec,434605673,147478709,287126965,18055262
(주)동국에스엔씨,100130,17-Dec,438572485,153269842,285302643,42691729
(주)동방선기,99410,16-Dec,42231299,4879120,37352179,989422
(주)동방선기,99410,17-Dec,35060915,4617643,30443271,6675159
(주)동성화인텍,33500,16-Dec,280043161,161582664,118460497,3195388
(주)동성화인텍,33500,17-Dec,223987030,139846558,84140472,14283019
(주)동아엘텍,88130,16-Dec,201591557,76587480,125004077,59456340
(주)동아엘텍,88130,17-Dec,246934067,53027671,193906396,96877922
(주)동양에스텍,60380,16-Dec,120249193,68125400,52123793,2073987
(주)동양에스텍,60380,17-Dec,124977099,70605558,54371541,3204348
(주)동우팜투테이블,88910,16-Dec,173623656,29678225,143945431,15089926
(주)동우팜투테이블,88910,17-Dec,200503429,29122384,171381045,15594929
(주)동운아나텍,94170,16-Dec,42756175,9994271,32761904,7620376
(주)동운아나텍,94170,17-Dec,42933844,16389348,26544497,5270116
(주)동원개발,13120,16-Dec,654000395,149740985,504259410,87049154
(주)동원개발,13120,17-Dec,703630959,108833453,594797507,173788811
(주)동일기연,32960,16-Dec,65783269,6394545,59388724,8748570
(주)동일기연,32960,17-Dec,72003645,7065550,64938095,3329725
(주)동진쎄미켐,5290,16-Dec,657591755,460665118,196926637,62600145
(주)동진쎄미켐,5290,17-Dec,667169455,399569925,267599530,73430346
(주)두산테스나,131970,16-Dec,78236596,19754796,58481800,15035568
(주)두산테스나,131970,17-Dec,96222618,29224000,66998617,20423836
(주)듀오백,73190,16-Dec,38094678,6161789,31932889,2131780
(주)듀오백,73190,17-Dec,39279572,5759805,33519767,4292092
(주)드래곤플라이,30350,16-Dec,67297051,35631905,31665146,6290544
(주)드래곤플라이,30350,17-Dec,50306246,28793433,21512813,885194
(주)드림시큐리티,203650,16-Dec,0,0,0,0
(주)드림시큐리티,203650,17-Dec,24242344,4421426,19820918,4491789
(주)드림어스컴퍼니,60570,16-Dec,50075192,11940564,38134629,10903412
(주)드림어스컴퍼니,60570,17-Dec,130877588,17203966,113673622,22920304
(주)드림티엔터테인먼트,220110,16-Dec,13232981,6825006,6407975,4683012
(주)드림티엔터테인먼트,220110,17-Dec,22958550,16281042,6677508,11547737
(주)디딤,217620,16-Dec,0,0,0,0
(주)디딤,217620,17-Dec,54140507,22805623,31334884,12126742
(주)디모아,16670,16-Dec,83167982,25673610,57494372,30188388
(주)디모아,16670,17-Dec,85079445,27542458,57536987,27834279
(주)디바이스이엔지,187870,16-Dec,83496361,57598720,25897641,24670731
(주)디바이스이엔지,187870,17-Dec,79756898,30843359,48913538,30738060
(주)디스플레이테크,66670,16-Dec,180278673,35814668,144464005,7748019
(주)디스플레이테크,66670,17-Dec,166844088,18479522,148364566,2043701
(주)디아크,78590,16-Dec,21553844,7257569,14296275,5230603
(주)디아크,78590,17-Dec,27530067,10214848,17315219,9477354
(주)디알텍,214680,16-Dec,37617822,10319080,27298742,961890
(주)디알텍,214680,17-Dec,43511933,17008714,26503219,1555936
(주)디앤씨미디어,263720,16-Dec,9632401,2863528,6768874,2856270
(주)디앤씨미디어,263720,17-Dec,35747220,3771775,31975445,5624026
(주)디에스앤엘,141020,16-Dec,28784785,22666296,6118488,151006
(주)디에스앤엘,141020,17-Dec,35626995,5185179,30441816,8597095
(주)디에스케이,109740,16-Dec,179389785,95112797,84276988,40323860
(주)디에스케이,109740,17-Dec,163321779,87079038,76242741,65422136
(주)디에이테크놀로지,196490,16-Dec,73563751,38238223,35325527,13003025
(주)디에이테크놀로지,196490,17-Dec,92144515,48809101,43335414,6105878
(주)디에이피,66900,16-Dec,238950607,149422769,89527838,32752
(주)디에이피,66900,17-Dec,229912365,134662718,95249647,4701575
(주)디엔에이링크,127120,16-Dec,25860316,24044714,1815601,2955398
(주)디엔에이링크,127120,17-Dec,25067374,1409914,23657460,5030706
(주)디엔에프,92070,16-Dec,93855379,22714898,71140482,6941693
(주)디엔에프,92070,17-Dec,102224630,20733243,81491387,9814255
(주)디엠에스,68790,16-Dec,268333602,136598085,131735517,2680067
(주)디엠에스,68790,17-Dec,298505200,163302326,135202873,16050268
(주)디오,39840,16-Dec,150348958,40149205,110199753,6941041
(주)디오,39840,17-Dec,175686046,54726122,120959924,8318968
(주)디와이디,219550,16-Dec,0,0,0,0
(주)디와이디,219550,17-Dec,44552922,6086765,38466157,12911351
(주)디이엔티,79810,16-Dec,60570508,39703277,20867232,3487275
