,회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류),유동부채비율,매출액순이익률,CASH FLOW 대 매출액비율,CASH FLOW 대 부채비율,이자보상배율(이자비용),금융비용 대 총비용비율,설비투자효율,CASH FLOW 대 총자본비율,자본금회전률,총자본투자효율,총자본회전률,자기자본순이익률,매출채권회전률,유형자산회전율,부채비율,유동비율,자기자본배율,당좌비율,순운전자본비율,현금비율,타인자본회전률,총자본순이익률,매출액(수익)(*),매출액총이익률,매출원가 대 매출액비율,차입금의존도,재고자산회전률,총자산부채비율,현금비율(CASHTA),유보이익대총자산비율,판매관리비대매출액,고정비율,log총자산,총자본증가율,유동자산증가율,매출액증가율,총자산영업이익률,순이익률,이자비용/부채,영업이익증가율,순이익증가율
1,(주)씨앤케이인터내셔널,39530,13-Dec,광업,12.76,-15.74,-6.61,-18.55,-20.79,-6.97,22.55,-2.38,0.26,2.86,0.4,-7.1,30.27,2.75,14.69,505.32,62.13,415.02,45.11,84.01,3.2,-6.22,6967380,16.12,83.88,4.41,4.43,0.128116472,0.093500001,-1.184082559,0.359212789,0.501933254,7.287514799,20.84605837,99.24620379,-31.5346477,-0.078305879,-0.503667959,0.003766228,-400.920028,62.63203598
3,(주)아이디에스,78780,13-Dec,제조업,265.46,-7.9,-5.01,-17.93,-4.19,0.94,48.46,-13.18,26.89,26.63,2.42,-56.44,14.26,4.73,277.46,54.57,270.97,45.91,-31.95,8.17,3.67,-19.15,254900449,0.35,99.65,48.54,30.9,0.735074272,0.05744229,-0.307653904,0.051006415,2.326145642,7.986606765,-43.76303288,-25.5412823,11.09778971,-0.115167337,-0.289814724,0.02749806,-81.72028863,-114.6676702
5,(주)아이팩토리,53810,13-Dec,제조업,347.04,-20.13,7.53,4.12,-0.24,10.03,7.65,3.33,6.08,4.72,0.47,-77.51,14.17,0.71,419.49,36.71,169.11,36.5,-42.28,4.76,0.53,-9.43,36218489,14.73,85.27,50.51,113.87,0.807503014,0.031793124,-0.652659653,0.178036141,3.920814504,7.913452178,418.5224771,115.8819731,53.80785447,-0.014411674,-0.107305236,0.05955938,81.2442408,62.17533358
7,(주)엘아이에스,138690,13-Dec,제조업,108.04,-8.28,-0.59,-0.95,-4.49,0.8,60.48,-0.53,11.52,17.99,0.91,-16,5.96,3.1,125.63,103.39,561.05,80.88,1.62,14.52,1.73,-7.56,42107235,15.48,84.52,40.53,8.7,0.55678964,0.113214473,-0.035747175,0.228770519,1.139276629,7.671490178,-8.670184879,-3.474736551,106.672089,-0.067596498,-0.143367903,0.015043194,80.02492066,75.39799943
9,(주)영진코퍼레이션,53330,13-Dec,제조업,172.94,-15.33,-9.19,-8.91,-2.49,1.32,12.37,-5.97,5.71,3.8,0.83,-62.22,4.39,2.42,202.68,112.35,132.15,110.11,7.06,0.56,1.22,-12.71,45434615,9.92,90.08,34.52,37.66,0.669618485,0.00317628,-0.133623262,0.205789507,1.08378395,7.844811547,96.44284047,118.6890815,21.43540565,-0.088385407,-0.186489125,0.035562991,37.29317908,46.02954779
11,(주)우전,52270,13-Dec,제조업,98.2,1.31,5.15,10.86,5.19,0.56,56.35,6.16,34.56,20.78,1.31,3.93,10.14,3.24,131.38,102.7,1179.63,72.58,1.15,22.09,2.41,1.73,506400579,16.89,83.11,39.04,11.15,0.567808974,0.093754156,0.231643912,0.127585774,1.305259377,8.625991011,9.042964258,0.808307128,55.76653322,0.054235348,0.031620836,0.010451805,-7.253758948,-48.88151341
13,(주)코데즈컴바인,47770,13-Dec,제조업,332.06,-12.98,-2.73,-3.98,-5.79,1.5,72.78,-3.11,5.99,12.34,0.98,-52.65,6.07,6.43,356.73,82.45,108.61,29.46,-12.76,0.44,1.31,-12.69,151340518,43.06,56.94,35.16,2.48,0.781050587,0.003215074,-0.073176495,0.542183541,1.829406645,8.124433323,-40.22620496,-33.80381326,-24.19240835,-0.109055858,-0.169623108,0.018847736,-112.133179,-25.27805049
15,(주)코세스,89890,13-Dec,제조업,174.64,-31.18,-9.73,-10.71,-12.97,1.16,-12.76,-7.42,8.43,-4.82,0.76,-56.61,5.61,1.97,226.09,80.52,338.86,47.26,-10.43,10.93,1.31,-23.73,33924903,8.89,91.11,42.43,3.65,0.693332873,0.058542291,0.110715479,0.3159008,1.854629462,7.648125399,-42.51321525,-13.40684087,-55.77121634,-0.172784662,-0.408604939,0.013324815,-228.9664469,-266.9416202
17,(주)한프,66110,13-Dec,제조업,399.21,-55.29,3.22,2.94,-5.42,1.42,-14.71,2.38,6.29,-8.21,0.67,-103.91,5.06,1.23,424.28,54.29,162.45,19.48,-34.8,1.69,1.04,-37.05,48124999,3.33,96.67,45.53,2.64,0.809261824,0.012863826,-0.104514518,0.158226601,3.075361989,7.813952122,-67.9560107,-17.34774008,-15.08433295,-0.08371444,-0.575799949,0.015453703,-299.3698325,-1394.321054
19,에이스하이텍(주),71930,13-Dec,제조업,159.64,-29.74,-8.54,-7.89,-1.34,2.47,-34.48,-4.87,1.37,-7.22,0.66,-42.78,5.49,2.27,161.1,98.14,90.39,98.07,-1.14,16.1,1.24,-19.77,16403632,7.51,92.49,54.48,917.73,0.617008804,0.098414518,-0.633006546,0.12844948,1.044334015,7.458843573,-6.559186938,147.7465405,84.63559652,-0.035483001,-0.367577739,0.026562713,-269.5229041,-3623.282556
21,우양에이치씨(주),101970,13-Dec,제조업,128.47,5.07,-3.84,-3.57,2.71,2.73,90.14,-2.33,26.11,14.8,0.66,10.52,11.85,2.27,187.33,129.45,1332.22,123.49,13.17,1.01,0.96,3.32,226003564,17.11,82.89,50,21.47,0.65196671,0.004535435,0.147481498,0.075162076,1.210291597,8.572123456,48.06047265,11.72468259,11.63970889,0.062892856,0.048556147,0.023205617,3.553124835,69.94136092
23,잘만테크(주),90120,13-Dec,제조업,183.05,0.37,-5.91,-8.71,1.83,2.1,74.19,-5.72,10.66,8.21,1.04,1.12,2.52,5.3,191.79,128.88,349.11,105.55,18.12,25.8,1.57,0.38,132751911,15.37,84.63,40.62,6.26,0.65728817,0.161867963,-0.0644843,0.113370473,0.558746532,8.136662301,16.7055186,21.52339122,23.50927705,0.041851763,0.005778921,0.022824447,147.7750505,-20.36073812
25,(주)네오리진,94860,13-Dec,정보통신업,80.1,-29.82,7.8,16.93,-2.65,1.65,-78.2,7.8,4.08,-3.27,0.98,-50.5,3.88,21.36,85.43,118.93,185.69,94.9,8.18,26.14,2.32,-29.2,41569623,24.53,75.47,19.42,9.19,0.460714654,0.112906024,-0.436830969,0.288594294,0.90169116,7.618990904,-15.87940511,20.77837815,68.51979175,-0.042368612,-0.691956783,0.016005951,-218.8348061,-344.0268549
27,(주)미래SCI,28040,13-Dec,도매 및 소매업,166.11,-48.58,-32.51,-11.99,-3.28,7.99,2.77,-8.07,1.81,2.27,0.25,-50.1,7.59,0.3,205.49,25.64,174.79,7.82,-40.43,0.12,0.32,-11.99,11263301,-23.34,123.34,53.14,2.48,0.672661522,0.00066009,-0.626563645,0.257069131,2.628986673,7.656967942,112.727841,-7.686732486,-46.47854081,-0.121086318,-0.15766905,0.036885866,19.04865242,65.40189793
