,회사명,거래소코드,회계년도,유동부채비율(IFRS연결),매출액순이익률(IFRS연결),총자본증가율(IFRS연결),순이익증가율(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),금융비용 대 총비용비율(IFRS연결),설비투자효율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),자본금회전률(IFRS연결),총자본투자효율(IFRS연결),총자본회전률(IFRS연결),유동자산증가율(IFRS연결),매출액증가율(IFRS연결),매출액총이익률(IFRS연결),자기자본순이익률(IFRS연결),매출채권회전률(IFRS연결),재고자산회전률(IFRS연결),유형자산회전율(IFRS연결),매출원가 대 매출액비율(IFRS연결),부채비율(IFRS연결),유동비율(IFRS연결),자기자본배율(IFRS연결),당좌비율(IFRS연결),순운전자본비율(IFRS연결),현금비율(IFRS연결),타인자본회전률(IFRS연결),정상영업이익증가율(IFRS연결),총자본순이익률(IFRS연결),총자산영업이익율,총자산부채비율,log총자산,순이익률,현금비율,이자비용/부채,자기자본비율,고정비율,매출액대판매관리비,유보이익대총자산비율
993,대양전기공업(주),108380,19-Dec,24.61,7.06,2.5,-1.49,0.94,3.16,0.22,661.38,-0.89,63.27,0.64,36.98,17.26,0.69,4.6,43.91,14.46,6.19,12.56,6.64,2.36,85.54,25.21,322.74,4348.05,262.55,43.79,106.47,3.19,56.54,4.86,0.05705496299188967,0.20136148564896997,8.415705332100021,0.047990833831429006,0.2111076412378645,0.0004284136960351911,0.7986385143510301,95203234,0.06063189823852744,0.6569155911719196
994,대양제지공업(주),6580,19-Dec,33.99,9.9,5.08,-22.49,14.69,44.88,23.17,21.87,0.45,49.7,16.42,19.33,25.9,1.15,21.15,-7.92,20.61,19.02,7.78,29.95,2.0,79.39,57.68,163.84,1001.91,147.77,13.76,0.82,2.85,-21.37,11.35,0.1409955227251252,0.36580604254398785,8.365608477405267,0.11070892242418112,0.0017635968391805212,0.017627179731699468,0.6341939574560121,150101962,0.07998727244880928,0.5318525450886094
995,대원미디어(주),48910,19-Dec,27.74,1.66,8.41,-47.14,1.07,5.85,8.84,8.26,-0.54,123.54,1.5,30.31,23.24,1.46,3.22,17.24,15.36,1.38,12.59,12.86,8.28,84.64,34.53,239.98,1242.85,184.9,28.86,36.92,6.5,-42.86,2.43,0.026914145019894916,0.25665968936391464,8.133982699752604,0.023368696320735908,0.07613532914087946,0.012701292349291621,0.7433403106360853,68775100,0.13446836911610113,0.08760162817360737
996,대원산업(주),5710,19-Dec,44.51,6.11,6.08,38.91,7.66,29.5,5.11,30.77,-0.66,123.03,10.48,65.97,22.49,1.41,5.53,-5.17,7.03,13.32,6.38,33.9,7.61,92.97,55.11,246.2,3107.94,231.02,41.95,54.72,3.77,-13.79,8.61,0.05440247514740454,0.3553031203367997,8.68393252814083,0.08363253455975414,0.15700596227086394,0.004976899447656257,0.6446968796632002,141785025,0.030534977420439827,0.6339909834649513
997,대정화금(주),120240,19-Dec,12.25,7.62,17.61,-39.54,12.37,32.74,8.33,227.18,-2.2,22.94,6.51,22.42,9.98,0.57,6.04,7.82,23.89,5.15,6.25,8.87,1.3,76.11,24.8,409.08,3415.53,348.01,30.34,110.63,3.6,12.15,4.33,0.0684987686375088,0.19870427511341726,8.17991784016934,0.040099097920699066,0.10859815731832578,0.0015174552751599465,0.8012957248865827,90558735,0.10864512719044829,0.47202498443541263
998,대주산업(주),3310,19-Dec,41.16,2.14,-2.82,7.5,2.35,5.67,18.03,4.42,0.59,21.86,2.28,4.51,14.26,0.95,-2.48,0.28,14.82,3.51,7.12,7.49,1.46,85.18,67.15,113.51,278.69,67.31,3.33,1.59,2.29,-19.49,2.05,0.031044691604218754,0.40173988013120693,7.939802135771118,0.020760932471505608,0.003908304022642166,0.017476568332210455,0.5982601198687931,62724010,0.11612694281001588,0.3078059931226191
999,대주전자재료(주),78600,19-Dec,71.53,-0.6,10.28,-329.22,-1.67,-1.78,43.43,1.04,2.02,18.03,-1.01,15.22,11.69,0.64,11.92,13.07,19.63,-1.11,5.73,6.05,0.96,80.37,132.73,104.83,1053.83,66.61,1.48,19.43,1.17,-28.8,-0.38,0.013926979648472886,0.570319879546749,8.281547819623153,-0.0036655767595504484,0.05972352026919799,0.02355931645464464,0.42968012045325105,129613112,0.17340159247931589,0.02726505521437269
1000,대한광통신(주),10170,19-Dec,44.57,-7.58,-8.62,-154.36,-3.76,-5.26,25.79,-3.68,0.73,17.66,-2.0,4.18,6.37,0.51,-21.27,-7.69,7.46,-6.32,3.92,3.82,1.43,92.54,61.48,201.71,486.56,144.58,28.07,71.09,1.31,-162.16,-3.86,-0.033244113911318526,0.38073618581012986,8.461947376860302,-0.040388885502618516,0.19618841683313412,0.02370630976499703,0.6192638141898702,128426844,0.13706016348237415,0.02552291694889901
1001,대한그린파워(주),60900,19-Dec,72.89,-62.88,23.66,0.0,-29.86,-19.66,45.3,-5.26,5.08,-14.76,-9.94,1.5,-7.72,0.37,-0.46,-47.03,-16.54,-55.07,59.89,13.83,0.57,116.54,102.16,58.64,187.96,53.62,-14.91,10.18,0.68,0.0,-23.14,-0.16776449195739607,0.5053317238896431,7.6736651580986255,-0.20926918217079096,0.03671352265539044,0.06314738540432475,0.4946682761103569,37196104,0.33868900615557745,-0.6445632663967518
1002,대한뉴팜(주),54670,19-Dec,81.39,11.36,17.63,520.92,16.17,32.44,28.89,13.65,1.27,432.67,16.95,18.68,77.18,1.13,14.55,12.19,53.95,29.27,4.41,10.71,4.96,46.05,109.45,133.05,850.8,107.03,12.84,34.65,2.02,3.39,12.88,0.16182527634873742,0.5225697539437529,8.106890774863778,0.11914374622017217,0.1346509050031899,0.022689076573181675,0.47743024605624707,61776239,0.38517988113717905,0.0027721851706079244
