,회사명,거래소코드,회계년도,유동부채비율(IFRS연결),매출액순이익률(IFRS연결),총자본증가율(IFRS연결),순이익증가율(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),금융비용 대 총비용비율(IFRS연결),설비투자효율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),자본금회전률(IFRS연결),총자본투자효율(IFRS연결),총자본회전률(IFRS연결),유동자산증가율(IFRS연결),매출액증가율(IFRS연결),매출액총이익률(IFRS연결),자기자본순이익률(IFRS연결),매출채권회전률(IFRS연결),재고자산회전률(IFRS연결),유형자산회전율(IFRS연결),매출원가 대 매출액비율(IFRS연결),부채비율(IFRS연결),유동비율(IFRS연결),자기자본배율(IFRS연결),당좌비율(IFRS연결),순운전자본비율(IFRS연결),현금비율(IFRS연결),타인자본회전률(IFRS연결),정상영업이익증가율(IFRS연결),총자본순이익률(IFRS연결),총자산영업이익율,총자산부채비율,log총자산,순이익률,현금비율,이자비용/부채,자기자본비율,고정비율,매출액대판매관리비,유보이익대총자산비율
372,(주)아스트,67390,19-Dec,66.77,0.35,46.5,-118.2,-5.07,-2.03,47.57,1.36,6.5,37.36,-1.27,13.97,9.64,0.3,13.08,23.59,23.45,-0.5,4.31,1.1,0.96,76.55,165.4,148.72,1475.24,43.91,12.26,19.74,0.46,32.08,0.1,0.02471950237149067,0.6232146218106369,8.762495678998034,0.0008627034563411957,0.04966035873168916,0.029194696616280696,0.3767853781893631,362206822,0.13558565278228316,0.0047800677670458945
373,(주)아시아경제,127710,19-Dec,26.44,10.64,-13.3,-87.05,-2.84,-3.37,14.25,2.61,-0.35,283.81,-0.81,3.02,20.87,0.26,10.93,-0.08,51.0,3.55,4.06,664.05,3.5,49.0,31.52,190.01,808.8,189.81,18.09,36.31,0.93,-43.04,2.81,0.02429153676633671,0.23964685265045282,8.130174758655787,0.030257713377314026,0.07300224220598206,0.038903872861264094,0.7603531473495472,83402537,0.42453006463166776,0.37212136937743157
374,(주)아우딘퓨쳐스,227610,19-Dec,42.04,-34.55,0.0,0.0,-3.37,-9.03,21.93,-151.48,0.11,-41.65,-3.35,10.82,-10.89,1.0,0.0,0.0,35.67,-54.42,19.63,4.02,3.18,64.33,59.12,205.67,682.9,111.8,27.92,46.13,2.68,0.0,-34.43,-0.38049647730969083,0.37154674567642626,7.734857531734907,-0.34428624262908714,0.12185662623281271,0.006760443934331562,0.6284532727373333,24799143,0.7384796424009622,0.04640633845797469
375,(주)아이디스,143160,19-Dec,9.91,1.71,3.18,-55.91,3.69,22.46,2.5,16.75,-1.36,215.31,2.42,20.88,21.55,0.67,-4.14,2.43,32.13,1.26,4.76,4.2,7.5,67.87,12.05,810.39,2843.64,641.55,62.86,129.1,6.99,1159.16,1.14,0.01936079072558765,0.10751827287599867,8.232293048707907,0.011201089078597832,0.11423431184146,0.010751102439353918,0.8924817271240013,48303102,0.2917961409890667,0.44013533844883207
376,(주)아이디스홀딩스,54800,19-Dec,14.64,2.65,-0.06,-149.48,13.18,36.53,12.89,17.75,-0.86,103.31,8.37,98.14,15.51,0.63,-2.84,-8.72,28.72,-5.18,4.98,4.19,4.58,71.28,29.73,569.75,4057.1,437.45,53.02,162.5,2.73,-14.75,1.69,0.05837572338088721,0.22914823078924676,8.902847175655461,0.01685535358919676,0.18340836756444556,0.01434884651880606,0.7708517692107533,285395761,0.19532413725878633,0.20417930096803483
377,(주)아이비김영,339950,19-Dec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-inf,,,,,0,,
378,(주)아이센스,99190,19-Dec,20.78,12.25,7.14,3.57,15.14,41.69,13.53,20.26,0.49,92.3,10.65,27.64,33.54,0.73,16.45,9.74,45.71,12.35,4.04,6.1,1.86,54.29,34.29,308.63,2890.86,232.85,32.29,82.49,2.76,10.11,8.91,0.11173374598763842,0.25533422096204783,8.431431859411965,0.08614920227805167,0.12765811559519233,0.021596393383422008,0.7446657790379522,141058961,0.29818404777975455,0.5715643411441653
379,(주)아이스크림에듀,289010,19-Dec,23.22,4.68,38.67,-52.83,7.58,38.16,3.62,36.83,-0.15,365.09,8.43,17.7,30.47,1.29,15.19,6.33,44.31,8.07,35.88,14.81,14.53,55.69,28.37,370.95,1158.64,330.92,49.02,37.28,5.17,-57.15,6.05,0.0562186943592107,0.2210063453136994,7.980760634448224,0.05206927616845429,0.06743658305638646,0.006907222931153378,0.7789936546863006,31465375,0.3925676750356981,0.34352612793599524
380,(주)아이씨디,40910,19-Dec,32.07,9.17,6.56,-62.62,22.12,47.43,8.62,10.5,1.06,100.41,13.2,14.2,23.55,0.62,15.07,-48.03,28.25,8.01,2.89,2.62,2.45,71.75,38.57,278.65,1678.72,154.57,41.34,39.85,2.09,-63.99,5.65,0.07015489313815566,0.2783349152783519,8.309145271023382,0.054726598393683996,0.09221247761190456,0.024007791531570396,0.721665084721648,72375054,0.16490491908235863,0.40082091016486154
381,(주)아이앤씨테크놀로지,52860,19-Dec,27.75,12.56,14.72,247.59,20.16,52.97,17.41,11.48,-0.32,97.4,12.68,5.46,18.12,0.67,30.41,45.57,41.29,11.21,22.72,5.7,3.33,58.71,31.48,176.33,625.2,141.55,16.11,3.39,2.45,135.31,8.44,0.059397419701575103,0.23940138357347746,7.860064824318963,0.07901229200541417,0.007158694688149417,0.021616383462723814,0.7605986164265226,45485503,0.31848478774922073,0.3479575501339394
382,(주)아이에스시,95340,19-Dec,14.01,3.63,-3.84,-67.47,16.21,47.32,7.07,3.0,-0.74,32.89,6.82,12.52,16.1,0.41,-20.98,-24.32,24.0,2.57,4.38,7.87,0.83,76.0,16.84,261.93,2402.26,216.23,19.42,53.94,2.55,-84.63,1.5,0.009717858499041734,0.1440955076159021,8.319012489493197,0.015261872985846069,0.06470191950176624,0.022470855623153783,0.8559044923840979,142961265,0.21689660208033812,0.46198126528773586
383,(주)아이에스이커머스,69920,19-Dec,51.97,-45.51,0.0,0.0,2.35,2.88,20.76,-3.2,0.71,-4109.25,1.08,2.83,-12.72,0.46,0.0,0.0,50.47,-32.34,7.26,16.2,147.86,49.53,59.67,135.6,389.83,126.92,11.59,8.42,1.22,0.0,-20.82,-0.060013673690047835,0.3736961630106427,7.897538024302162,-0.20823027000473515,0.027415862493321414,0.05017908457134505,0.6263038369893573,44125845,0.6359115146170589,-0.08778679931834123
384,(주)아이에이,38880,19-Dec,79.28,1.83,3.21,0.0,3.71,5.09,31.75,1.51,2.72,91.12,2.3,2.84,18.75,0.63,-24.21,0.85,25.09,3.34,7.93,9.1,2.11,74.91,82.66,48.49,235.59,37.4,-22.36,2.5,1.23,0.0,1.15,0.024888870338407813,0.4525241961004074,8.038807940798062,0.011329747979348255,0.010846763808979993,0.036340379188228675,0.5474758038995926,86336521,0.21073869778059345,-0.03846698722763712
385,(주)아이엘사이언스,307180,19-Dec,69.66,-13.44,0.0,0.0,-3.91,-5.26,35.02,3.67,1.01,19.95,-2.91,10.35,5.15,0.75,0.0,0.0,25.64,-22.4,2.4,35.86,2.04,74.36,123.61,193.7,620.89,187.03,29.19,80.89,1.35,0.0,-10.02,0.04020118302189668,0.5527919874537846,7.434811833421009,-0.10018004999335114,0.2519600154604672,0.019836011580423356,0.4472080125462154,10793913,0.202414744642428,-0.1576744982283626
386,(주)아이엠,101390,19-Dec,230.69,-10.0,-3.82,0.0,1.24,2.96,42.55,-3.57,0.86,37.89,2.14,10.14,19.24,1.69,47.38,5.82,2.73,-50.93,14.2,18.61,2.86,97.27,259.04,58.68,153.98,41.11,-26.55,12.92,2.53,0.0,-16.89,-0.06310865636112255,0.7214819976344968,8.069630447793005,-0.17225928520226153,0.0829909079937875,0.024529319705269673,0.27851800236550317,73129949,0.06391637865716021,-0.20559689403399134
387,(주)아이엠비씨,52220,19-Dec,22.38,4.41,6.69,0.0,13.59,53.2,1.19,30.07,-1.76,560.1,10.52,4.48,20.98,0.8,-31.33,-11.23,0.0,4.17,6.97,0.0,29.92,0.0,24.65,174.7,453.92,174.7,13.41,63.91,4.23,84.14,3.52,0.025925775353503957,0.19776566895266964,7.823539459736695,0.034140607467911276,0.11475466958386611,0.0043601495524388505,0.8022343310473303,45715431,0.9665017964417066,0.48290297355334194
388,(주)아이엠텍,226350,19-Dec,182.45,-9.06,64.07,0.0,-41.1,-15.39,47.91,-0.84,13.28,42.59,-10.48,0.93,11.62,0.32,-1.75,17.75,44.64,-28.32,10.84,12.56,0.85,55.36,213.55,54.63,91.11,50.08,-26.4,1.12,0.4,0.0,-2.87,-0.05358108086571006,0.6810726464049218,7.734597119527855,-0.0230985136876304,0.0065072723346904,0.0941408149284619,0.31892733517027405,37021892,0.6564838216846112,-0.8131580038795636
389,(주)아이오케이컴퍼니,78860,19-Dec,34.85,-17.2,14.53,0.0,2.59,2.76,17.45,0.07,11.15,295.88,0.81,2.15,7.3,0.33,-50.56,63.89,23.02,-9.07,12.55,349.48,11.67,76.98,41.35,68.92,407.04,68.39,-7.66,42.17,1.08,0.0,-5.71,0.003693178993239169,0.29253500042907776,8.194736313691335,-0.053522803156819336,0.10398328690861168,0.18012970293089203,0.7074649931844109,129969854,0.21829485258741269,-0.1882960295397607
390,(주)아이윈,90150,19-Dec,59.66,2.38,-3.62,0.0,0.2,0.36,36.44,2.83,1.25,82.86,0.2,19.75,24.09,0.97,-11.15,1.7,21.06,5.3,5.48,5.54,3.87,78.94,118.73,150.1,863.03,89.47,13.66,15.46,1.65,0.0,2.3,0.03856795120945029,0.5428203610020711,7.985530463259081,0.023428515675930635,0.04216735812293637,0.025110764944503774,0.4571796389979289,57125585,0.17146420238415122,0.2571156253719055
391,(주)아이윈플러스,123010,19-Dec,224.38,-143.02,63.55,0.0,-39.3,-10.14,66.45,-7.64,5.0,-18.64,-7.43,1.71,-7.3,0.23,121.63,-41.01,-58.78,-113.42,6.09,5.94,0.48,158.78,274.06,69.18,210.43,65.33,-18.48,59.47,0.33,0.0,-33.55,-0.1997890942321518,0.7326638625675803,7.459843693356565,-0.27029126008842824,0.3567118443581753,0.03571000290541155,0.26733613743241963,16865525,0.4693481438927091,-0.2743848174208636
392,(주)아이즈비전,31310,19-Dec,13.97,-0.2,4.39,0.0,5.6,17.22,10.69,-2.1,-0.98,101.37,4.68,16.68,13.9,0.85,19.29,-17.87,19.88,-1.1,7.67,6.35,5.96,80.12,37.3,779.31,1130.03,672.24,69.13,357.02,3.36,0.0,-0.17,-0.002887945890412612,0.2716804667321597,8.19709196444208,-0.0016445298600116039,0.36329379701485637,0.0050599358033752515,0.7283195332678404,32586897,0.20225511470148366,0.4551645342911418
393,(주)아이컴포넌트,59100,19-Dec,59.79,-4.3,-6.85,0.0,2.51,3.45,36.96,-2.43,1.19,30.31,1.46,8.21,13.86,0.56,-1.27,12.95,8.34,-4.25,6.83,6.32,1.2,91.66,73.58,149.34,812.2,125.97,17.0,38.97,1.3,0.0,-2.41,-0.031002960739505963,0.4239093197088277,7.697615536113914,-0.025028195799463866,0.1342334321691,0.030108618462417292,0.5760906802911723,24203269,0.13662824009824215,-0.03692205231715143
394,(주)아이톡시,52770,19-Dec,66.7,-76.75,-44.53,0.0,-128.71,-141.52,23.95,-15.73,2.0,45.35,-56.75,0.39,1.74,0.31,-63.21,-73.97,52.41,-76.24,4.22,0.0,10.04,47.59,66.95,116.54,140.66,116.54,6.61,71.5,0.42,0.0,-24.15,-0.2425261126534007,0.40100227731891985,6.932499385266432,-0.3384078392571466,0.28565137220292497,0.038455398565944474,0.5989977226810801,4574491,1.0741475384341894,-10.981985058124492
395,(주)아이티센,124500,19-Dec,90.09,0.36,-2.6,0.0,0.49,3.3,26.92,3.73,0.4,33.12,1.92,193.45,4.51,3.87,-4.77,120.99,5.46,1.06,16.84,36.35,25.92,94.54,138.59,138.98,376.45,110.0,14.72,27.06,6.76,131.85,1.4,0.06138229120529062,0.5808733857302883,8.594307829271674,0.01415506131982355,0.10218741089705992,0.02835486558476548,0.41912661426971165,186725380,0.03900079300369388,0.0015319934848767524
396,(주)아이티엑스에이아이,99520,19-Dec,100.71,-15.71,0.0,0.0,-1.67,-4.36,29.37,-7.82,0.73,106.09,-2.42,3.87,7.55,1.45,0.0,0.0,15.51,-50.99,8.92,4.41,19.39,84.49,123.86,135.0,119.59,62.02,15.74,8.13,2.62,0.0,-22.75,-0.1302195083571523,0.5533012043221807,7.342567099203966,-0.22745521409992867,0.03657401763240835,0.030086045656963004,0.44669879567781934,8642675,0.24506493667907966,-0.8891101991215012
397,(주)아이티엠반도체,84850,19-Dec,49.4,10.48,78.75,129.43,8.74,21.18,22.91,13.48,0.96,74.35,8.08,39.34,25.22,1.18,152.77,74.25,24.72,22.69,6.85,12.32,2.84,75.28,61.63,174.24,2333.66,145.1,22.69,34.1,2.61,153.79,12.41,0.1242716983525671,0.38129639345315236,8.63399326199862,0.09678262259128718,0.10422286813940793,0.02417362950248385,0.6187036065468476,201270079,0.11268531899678037,0.0961824157683422
398,(주)아즈텍더블유비이,32080,19-Dec,14.4,10.69,10.81,21.34,4.12,8.33,16.22,7.9,-4.08,50.6,1.56,4.2,7.62,0.4,-20.14,-5.17,18.47,5.12,4.31,2.1,2.52,81.53,23.11,409.08,887.35,241.28,36.15,41.48,2.39,42.94,4.27,0.024918929336963686,0.1877465326545411,8.06963064017176,0.04057437662319685,0.04851863075925415,0.016802617767646896,0.8122534588268366,61220140,0.11910391107589983,0.5584871608390417
399,(주)아진엑스텍,59120,19-Dec,9.51,12.0,3.12,-44.99,25.46,109.0,1.76,79.0,-0.44,72.04,10.9,5.94,16.51,0.43,1.79,-22.41,54.99,5.71,2.83,2.63,1.87,45.01,11.11,785.19,1248.23,592.93,58.64,240.33,5.06,-60.26,5.22,0.04112763769962212,0.10000902265616783,7.682755314240939,0.05139083642763105,0.20568176547762343,0.005205930916686422,0.8999909773438322,15799901,0.45382258853213986,0.5358310312688391
400,(주)아톤,158430,19-Dec,8.42,-34.64,163.29,-381.1,9.16,23.17,8.95,18.21,0.01,-131.12,5.05,18.7,-2.61,0.8,173.4,16.02,47.91,-40.57,7.92,189.57,27.6,52.09,27.89,994.23,2221.25,990.97,58.86,334.23,2.67,16.85,-27.7,0.06994002713336475,0.21806318967282964,7.770578327262154,-0.19110858160796249,0.21998823292592581,0.017609475717245714,0.7819368103271703,20377956,0.3523478875884842,-0.06577028162029737
401,(주)아프리카티비,67160,19-Dec,76.45,20.35,45.07,59.4,29.66,46.64,7.93,88.47,-0.39,323.29,21.79,29.21,39.89,0.87,51.33,32.57,0.0,32.52,28.61,0.0,6.3,0.0,87.66,155.74,2069.28,155.74,22.71,29.36,1.96,35.4,17.7,0.16069080948330877,0.4671227734396595,8.358980380028182,0.14946599217837025,0.11960512458665692,0.00388830339463298,0.5328772265603405,83544354,0.7812227536023698,0.33331526285404495
402,(주)안랩,53800,19-Dec,24.78,11.46,6.31,-16.21,16.2,49.6,0.14,1688.99,-1.94,199.38,10.4,32.22,41.82,0.66,10.56,4.49,0.0,9.57,7.64,79.82,2.86,0.0,26.52,330.99,3968.48,325.98,45.24,47.83,3.18,4.08,7.58,0.07080062746447381,0.2096129233836874,8.415335338531607,0.07356273194409074,0.09390948095727131,0.00019998238145685918,0.7903870766163126,91519695,0.8896744191917834,0.5910700678654096
403,(주)안트로젠,65660,19-Dec,21.9,-97.64,-16.61,0.0,-38.02,-9.73,15.69,-2.66,0.82,-25.91,-1.86,0.95,-2.53,0.04,-9.05,14.98,40.04,-6.51,2.47,3.77,0.35,59.96,23.69,361.31,1527.25,352.18,46.27,280.92,0.13,0.0,-4.35,-0.03437464924276629,0.19150484672245052,7.9273383544588505,-0.04787403657940984,0.4973926860921724,0.06746778850225517,0.8084951532775495,30475632,1.101515152976395,-0.14457308999073396
404,(주)알로이스,297570,19-Dec,27.98,-13.32,0.0,0.0,-3.78,-21.38,15.62,42.24,0.17,-220.47,-5.22,17.42,-2.36,1.38,0.0,0.0,26.6,-24.33,2.82,9.99,128.99,73.4,32.27,461.26,953.43,395.89,76.42,40.19,5.66,0.0,-18.4,0.19020993996812394,0.24394746078297233,7.339518816322274,-0.18395681402290445,0.08502204921067166,0.018461178309306617,0.7560524934575368,529165,0.12826905192339066,-0.010872592307188953
405,(주)알에프세미,96610,19-Dec,81.86,-6.49,-2.33,-1264.46,1.42,1.14,39.52,-0.47,3.53,63.48,0.59,10.45,22.99,0.41,3.04,-18.17,19.35,-5.37,7.16,1.17,1.06,80.65,105.66,132.62,1228.04,30.81,12.99,11.21,0.81,-224.35,-2.65,-0.007677006821202977,0.5137636543396581,8.010917432846863,-0.02685276061564554,0.04463336076663189,0.032052899451868455,0.48623634566034196,48410541,0.21208138668158613,0.39340800215942756
406,(주)알에프텍,61040,19-Dec,89.98,-0.64,43.62,-127.36,4.26,9.98,22.83,2.33,1.31,106.88,4.77,27.98,13.75,1.32,19.5,18.37,14.16,-1.42,14.52,8.25,6.27,85.84,91.54,121.33,1227.96,89.0,10.02,60.9,3.21,127.81,-0.84,0.051666119919153916,0.4779147584596414,8.405295674727615,-0.007108450481655305,0.28610041919835055,0.04637639345902725,0.5220852454731809,109337648,0.0954695547430391,0.3376867460855823
407,(주)알엔투테크놀로지,148250,19-Dec,13.28,4.33,29.97,-5.83,19.07,21.21,29.37,4.52,2.38,47.84,7.92,6.27,22.24,0.47,74.29,21.31,52.9,3.38,8.67,5.71,0.91,47.1,59.52,595.17,900.05,491.07,41.22,89.81,1.18,84.03,2.03,0.05622448287584638,0.37310631351358114,7.703450670477806,0.01798201713169541,0.07555309511603724,0.03334724935262392,0.6268937062811374,25491730,0.393480597380568,0.2442588091346925
408,(주)알테오젠,196170,19-Dec,16.2,-5.95,20.45,0.0,0.04,0.07,6.8,-11.88,-2.27,36.56,0.01,4.23,6.07,0.37,11.93,113.3,37.98,-1.03,20.87,43.07,1.89,62.02,22.47,573.37,1007.18,565.62,62.62,38.81,2.86,0.0,-2.21,-0.026192768773885454,0.183474318739184,7.93439295537169,-0.02021731743402979,0.05133197933004937,0.012019872761634435,0.816525681260816,20769660,0.45680785729823026,-0.15397089702438424
409,(주)알톤스포츠,123750,19-Dec,108.05,-39.18,-37.36,0.0,10.28,17.97,29.09,-10.78,1.86,-152.07,9.51,4.89,-11.89,0.71,-23.05,-36.46,13.36,-55.55,3.28,3.2,4.07,86.64,112.44,164.22,248.96,122.85,32.67,55.0,1.43,0.0,-27.92,-0.3150430740858018,0.5292744554723104,7.527710167053726,-0.3625006523274971,0.2797680511812817,0.05519873882319388,0.4707255445276895,5551918,0.4740588189197242,-0.4917413632951939
410,(주)알티캐스트,85810,19-Dec,140.7,-51.18,3.32,0.0,6.19,3.17,11.05,-26.04,0.07,-493.04,1.94,5.01,-10.24,0.32,-8.4,-30.21,0.0,-35.68,4.71,0.0,13.2,0.0,156.63,126.9,586.11,126.9,14.75,13.27,0.6,-483.65,-16.28,-0.09251525557406329,0.6103350669621539,8.230272201659842,-0.1601778650666228,0.07276631524193204,0.005821100663116866,0.38966493303784605,51704198,1.2956313539103066,0.07537211653500987
411,(주)알파홀딩스,117670,19-Dec,105.83,-16.0,31.83,0.0,-8.96,-8.97,39.56,-1.1,4.48,4.41,-4.87,9.92,1.46,0.62,12.46,-14.01,18.44,-21.13,5.76,42.54,2.07,81.56,118.89,73.37,762.97,70.11,-12.88,1.37,1.14,0.0,-9.89,-0.02738999386228302,0.5431419777915704,8.12903102091446,-0.08696693457007663,0.006608972924525963,0.045662576911939555,0.45685802220842964,86850230,0.23479792098611152,-0.005592951968306197
412,(주)애니플러스,310200,19-Dec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-inf,,,,,0,,
413,(주)액션스퀘어,205500,19-Dec,17.77,-156.89,43.17,0.0,-196.88,-114.31,16.89,-68.02,-0.1,36.24,-37.99,0.34,10.16,0.23,41.91,-21.86,0.0,-56.74,12.98,0.0,0.96,0.0,49.78,571.87,97.75,571.87,55.99,549.63,0.61,0.0,-35.65,-0.27197844129881826,0.3323442390516065,7.480806143073541,-0.3027582043749483,0.6522185658958106,0.012031983585146237,0.6676557609483935,9723962,2.4094413243909245,-1.3372153000569216
414,(주)액토즈소프트,52790,19-Dec,45.93,33.15,37.88,0.0,11.59,12.68,7.4,43.84,-1.1,2757.87,4.14,11.06,19.69,0.41,14.42,66.43,76.27,19.76,4.61,0.0,41.54,23.73,48.49,157.33,2084.7,157.33,17.73,57.0,1.36,0.0,13.73,0.14628333273289792,0.3265499983594941,8.24396207253162,0.11845802666222903,0.17630571922314903,0.01021771927433218,0.6734499959383652,90029514,0.35328200161560114,0.028827155081017325
415,(주)액트로,290740,19-Dec,28.53,13.53,11.19,6.61,18.89,88.59,1.23,280.96,-0.56,122.95,20.58,28.64,38.32,1.15,1.73,2.1,17.89,21.0,14.17,18.3,3.75,82.11,30.26,278.86,1515.52,251.79,39.17,64.17,4.4,-22.69,15.52,0.1317465255721512,0.23231338173024582,7.995650210398683,0.1474221653932107,0.14052097976450773,0.002018450579178446,0.7676866182697542,38545608,0.05796722484982557,0.39206895907023337
416,(주)앤디포스,238090,19-Dec,59.66,-1.84,45.68,0.0,8.63,10.04,20.99,2.47,2.44,93.46,3.82,9.12,6.86,0.53,66.69,76.15,25.65,-0.64,7.84,6.61,4.92,74.35,61.46,191.66,1092.57,176.18,33.87,28.38,1.47,9.59,-0.97,0.04568305989407571,0.380647267156551,8.278580175401657,-0.008159252296849906,0.10487789327552738,0.04864523810557945,0.6193527328434489,55419986,0.1533630465079182,0.10437331814102223
417,(주)앤씨앤,92600,19-Dec,59.19,-8.74,31.63,0.0,-17.3,-44.83,27.5,-39.26,0.03,91.99,-18.98,9.13,4.81,1.25,28.64,33.51,25.32,-15.64,12.08,6.59,20.55,74.68,73.45,190.55,405.67,130.99,30.9,54.42,3.03,0.0,-10.9,-0.1618639552561786,0.42345782860827264,7.854408219575595,-0.09591571068648126,0.18570753365669593,0.009735553590551478,0.5765421713917274,25012332,0.4006878702325832,0.05925832220961043
418,(주)야스,255440,19-Dec,36.43,18.79,-9.54,-54.71,35.7,48.93,0.94,168.0,-2.27,112.31,14.49,13.22,14.75,0.39,-21.13,-52.93,27.25,11.22,2.28,7.36,2.03,72.75,42.07,275.71,2293.1,248.73,45.06,2.61,1.09,-71.62,7.24,0.05862348619082507,0.29611888985977514,8.330423776212973,0.07625183249868044,0.006691850541442436,0.0011783957249022587,0.7038811101402248,62690145,0.12803488948297517,0.440932727301809
419,(주)어스앤에어로스페이스,263540,19-Dec,851.25,-125.79,-40.55,0.0,-8.67,-5.87,56.92,-22.81,1.34,-65.58,-5.44,6.54,-31.03,0.47,-37.33,-15.64,-55.4,-155.51,1.96,2.35,1.03,155.4,1287.68,84.32,73.96,50.39,-9.62,10.04,0.75,0.0,-58.9,-0.4398823812987229,0.9279371958772306,7.6221907943275875,-0.7898590709827702,0.06157102579161811,0.02078362664763026,0.07206280412276943,20227237,0.14649124347444592,-0.7853360367078345
420,(주)얼라인드제네틱스,238120,19-Dec,4.3,1.5,7.04,0.0,-6.98,-14.9,5.2,-4.12,-0.28,206.17,-2.21,4.34,17.08,0.33,-0.8,37.33,59.18,0.56,7.26,3.65,5.74,40.82,17.42,1918.97,1166.52,1683.74,66.59,543.47,2.7,0.0,0.49,-0.016203795660048655,0.14836669960847584,7.391273407226647,0.004741752057441416,0.1989492740819451,0.026511601803067077,0.8516333003915242,7324796,0.642996898898762,-0.3616450107781863
421,(주)에너토크,19990,19-Dec,6.37,2.08,-1.56,-63.35,12.01,100.45,0.44,33.23,-1.49,74.47,6.58,4.81,19.31,0.54,-11.21,1.86,27.64,1.2,4.09,4.05,2.08,72.36,7.01,778.89,821.24,559.17,40.4,176.76,9.18,-84.8,1.13,0.005140886894726323,0.06547536191902059,7.632124276300602,0.011400906666991392,0.10519667091211196,0.002362527344891226,0.9345246380809794,22996048,0.26705936834305827,0.6885300450692777
422,(주)에스디생명공학,217480,19-Dec,34.35,-12.56,-8.61,-380.44,-4.21,-16.04,18.42,-28.61,-0.04,-1.6,-4.79,13.94,-0.6,1.09,-21.95,-0.23,32.46,-18.46,10.18,3.76,3.36,67.54,42.64,234.01,809.31,134.19,32.27,30.62,4.04,-258.6,-13.66,-0.1195598872920478,0.29894042201591847,8.137466127173628,-0.14302521174712715,0.07373688997077373,0.013978260096975503,0.7010595852708316,59897604,0.4295554418840336,0.3047556639033756
423,(주)에스디시스템,121890,19-Dec,287.33,-35.44,-28.58,0.0,-3.81,-7.84,31.92,-15.6,0.42,-229.08,-5.85,8.57,-25.87,1.28,-20.63,-16.28,7.62,-117.21,5.4,9.36,10.61,92.38,293.29,106.8,139.51,87.29,4.97,11.36,2.09,0.0,-45.38,-0.17297981512294308,0.7457376623900903,7.394814217894136,-0.5445920948839862,0.08300394779182595,0.01487098224345573,0.25426233760990974,5454470,0.18878421123484806,-0.578128603971095
424,(주)에스비에스콘텐츠허브,46140,19-Dec,26.2,0.34,-7.25,-93.28,-8.65,-33.5,0.12,250.88,-1.01,74.55,-7.11,15.1,8.09,0.79,-2.17,1.44,4.73,0.36,4.22,0.0,7.17,95.27,26.95,389.83,1446.71,389.83,59.81,167.51,3.3,-40.31,0.27,0.009762873032823197,0.21229368467710105,8.294687690734396,0.002814736872995198,0.34567238302672054,0.0001833034328072708,0.7877063153228989,38538465,0.0354571095258166,0.5898289219827588
425,(주)에스씨디,42110,19-Dec,29.98,-0.57,7.76,-112.68,1.74,7.92,0.12,83.32,-0.35,96.92,2.19,7.24,19.79,1.3,3.35,9.84,9.64,-0.98,6.12,8.34,5.99,90.36,38.22,316.57,416.64,240.68,46.98,132.09,5.37,-29.56,-0.74,0.02499274868142132,0.27649209111499357,8.143495700943319,-0.00712955420426931,0.2865316873890555,0.001084938807377189,0.7235079160712892,43597305,0.07656637028387021,0.3075493797152884
426,(주)에스아이리소스,65420,19-Dec,13.04,-85.85,-39.03,0.0,-12.76,-106.93,7.99,1.83,0.52,-7858.61,-12.55,2.19,-76.26,0.75,-32.35,22.91,9.53,-77.43,31.38,12.25,23.77,90.47,13.3,519.97,178.17,490.85,48.32,421.73,4.29,0.0,-63.99,0.042117009764769536,0.11739500633685572,7.115316489650397,-0.8446667507082187,0.4852753986452747,0.19597143767864514,0.8826049936631443,5238413,0.05248934711289106,-0.8770038849280984
427,(주)에스앤더블류,103230,19-Dec,14.93,-7.65,-3.97,0.0,-8.28,-17.95,0.68,-114.5,-0.01,25.7,-5.37,10.01,14.03,0.64,-11.8,19.12,5.38,-6.79,7.02,3.63,0.99,94.62,42.66,290.13,1081.96,110.19,19.9,8.99,2.23,0.0,-4.86,-0.039737982197511824,0.29903402850292754,7.744817450550284,-0.04956839180850008,0.009412608159394565,0.0011605973673186254,0.7009659714970724,38689672,0.11510754400044639,0.41393556441995927
428,(주)에스앤에스텍,101490,19-Dec,40.28,11.96,9.5,118.46,12.46,22.4,22.6,14.6,0.66,47.0,7.76,8.56,21.98,0.65,28.41,38.43,26.53,12.0,5.96,6.82,1.25,73.47,53.05,149.72,897.72,109.27,13.09,50.86,1.85,113.99,7.79,0.08185935414256934,0.3466040215737417,8.132180202523907,0.07448902300586219,0.13384117553548738,0.016177428721098876,0.6533959784262583,82153217,0.13394782667664046,0.3226612179998959
