,회사명,거래소코드,회계년도,유동부채비율(IFRS연결),매출액순이익률(IFRS연결),총자본증가율(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),금융비용 대 총비용비율(IFRS연결),설비투자효율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),자본금회전률(IFRS연결),총자본투자효율(IFRS연결),총자본회전률(IFRS연결),유동자산증가율(IFRS연결),매출액증가율(IFRS연결),매출액총이익률(IFRS연결),자기자본순이익률(IFRS연결),매출채권회전률(IFRS연결),재고자산회전률(IFRS연결),유형자산회전율(IFRS연결),매출원가 대 매출액비율(IFRS연결),부채비율(IFRS연결),유동비율(IFRS연결),자기자본배율(IFRS연결),당좌비율(IFRS연결),순운전자본비율(IFRS연결),현금비율(IFRS연결),타인자본회전률(IFRS연결),총자본순이익률(IFRS연결),영업이익증가율,순이익증가율,총자산영업이익율,총자산부채비율,log총자산,순이익률,현금비율,이자비용/부채,자기자본비율,고정비율,매출액대판매관리비,유보이익대총자산비율,통계청 한국표준산업분류 10차(대분류)
284,(주)스킨앤스킨,159910,17-Dec,102.83,-62.51,-14.72,-7.18,-8.06,26.97,-4.57,2.52,-15.76,-4.27,3.84,-8.06,0.55,-11.71,-22.11,27.18,-47.35,5.46,9.25,1.11,72.82,112.93,86.01,338.19,70.08,-6.75,35.43,1.22,-34.23,-1300.860980591833,-55.90078244402592,-0.16063502444757094,0.5303696455995915,7.700812320441663,-0.3718824704299552,0.17112178418325855,0.06633324840793031,0.4696303344850705,29355582,0.5418228269492963,-0.7901945041434358,제조업
285,(주)스타플렉스,115570,17-Dec,142.39,-9.95,9.17,-4.01,-3.94,47.61,1.47,1.8,13.78,-2.44,26.96,6.24,0.64,22.74,1.97,13.86,-9.45,4.92,3.9,1.32,86.14,162.95,74.45,2042.65,44.8,-13.83,5.53,1.12,-6.33,-74.31454229007429,-238.435024617256,0.018220554227700945,0.6197045973238591,8.154319885180405,-0.060659224691708355,0.02997126087742274,0.0200621974813126,0.3802954096855292,85146381,0.10875612288400216,0.2688870366502616,제조업
286,(주)스튜디오산타클로스엔터테인먼트,204630,17-Dec,8.02,-5.3,-4.49,-10.76,-56.92,9.83,-0.74,0.28,61.74,-9.16,16.55,8.32,0.83,-19.41,60.0,21.22,-5.29,24.06,16.51,6.41,78.78,19.18,1028.83,1589.17,945.08,62.54,285.81,4.08,-4.41,11.889892357299196,-332.5839187038379,-0.009338606127739102,0.16093920241629983,7.737665193811859,-0.04510022257453707,0.19243555395241685,0.07832078925551393,0.8390607975837002,16796529,0.22314579949853838,-0.12867399926987913,"예술, 스포츠 및 여가관련 서비스업"
287,(주)스페이스솔루션,245030,17-Dec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-inf,,,,,0,,,정보통신업
288,(주)스페코,13810,17-Dec,124.39,-0.51,-6.49,9.98,12.21,37.46,1.26,0.16,94.56,6.93,9.66,12.93,0.67,-4.75,-18.41,18.41,-1.09,3.41,7.22,4.83,81.59,131.11,105.0,545.1,86.41,2.69,19.93,1.17,-0.34,-74.60144287756574,-107.33609738670174,0.013740149315218282,0.5673011131056928,7.996228062326217,-0.003525416390780917,0.10725543207440665,0.019180049364564414,0.4326988868943072,43110723,0.1642924589689575,0.16693529969766555,제조업
289,(주)승일,49830,17-Dec,15.76,2.01,-1.37,5.06,19.95,5.92,15.17,0.08,27.27,4.06,44.3,16.31,0.8,-4.11,-1.9,8.22,2.05,5.21,8.43,1.32,91.78,25.59,287.76,4389.98,220.13,23.57,82.23,3.7,1.61,-34.65342407601904,-14.033747011930885,0.022165346987869827,0.2037353455708531,8.227984933999554,0.016164479574617408,0.10320799089772764,0.007171565822553471,0.796264654429147,107983597,0.05457224942819741,0.6749991210568114,제조업
290,(주)시공테크,20710,17-Dec,34.32,10.81,17.43,5.43,27.64,0.16,13885.14,-0.71,195.09,7.26,17.27,30.99,1.44,26.31,114.25,12.18,21.5,21.63,3150.42,8.02,87.82,35.6,216.8,952.45,216.65,29.56,63.15,5.28,15.62,273.6006409756065,377.31345300389626,0.11475684090205256,0.2625603002440164,8.1121553746069,0.14456765733220828,0.1598474344138851,3.147743550332302e-05,0.7374396997559836,58424133,0.035932996764925354,0.4560621656851186,"전문, 과학 및 기술 서비스업"
291,(주)시너지이노베이션,48870,17-Dec,128.57,-35.74,77.73,-8.83,-3.89,45.1,-0.26,9.29,66.55,-2.85,1.37,7.13,0.41,-4.94,95.68,37.46,-41.83,5.01,4.2,3.21,62.54,273.28,74.27,111.91,52.71,-8.86,21.85,0.55,-14.75,-6.097984024617331,-215.59551354190964,-0.011131183223944012,0.7321066134209598,8.025548572145873,-0.1152305284437459,0.07525133945170556,0.05809894104683057,0.26789338657904016,78928425,0.40915570211509805,-0.8215740248222562,제조업
292,(주)시노펙스,25320,17-Dec,150.28,-7.61,7.94,9.32,17.59,32.93,13.68,0.7,31.39,11.22,5.51,8.77,1.25,-4.01,16.88,24.81,-22.54,8.34,18.28,3.22,75.19,175.94,79.87,164.84,65.94,-10.96,27.32,2.16,-9.51,132.2378981618453,-226.23139336882164,0.16507993756112588,0.6375971457652911,8.177857557147158,-0.09156151630056975,0.14881471708962077,0.01892175968936992,0.3624028542347088,85096313,0.11091035548823583,-0.26692046347120035,제조업
293,(주)시스웍,269620,17-Dec,9.65,17.66,0.0,24.21,239.61,1.42,119.0,-0.57,197.11,21.6,17.43,25.56,0.89,0.0,0.0,29.9,17.32,4.19,20.29,5.54,70.1,9.91,884.32,1778.42,834.24,68.84,588.57,9.9,15.76,10.846669210348944,6.322845158527138,0.18636681598262156,0.09013893088768236,7.54633149814713,0.15755863596079334,0.5166165291315332,0.01737431527539709,0.9098610691123177,7873498,0.09001590009829656,0.5199659413983883,제조업
294,(주)시큐브,131090,17-Dec,36.27,20.36,11.93,27.75,47.94,0.0,999999999.0,-1.17,320.22,12.79,4.49,26.68,0.49,15.29,0.71,57.81,13.53,1.86,14144.69,5.37,42.19,36.4,326.97,713.78,326.96,60.35,149.78,1.83,9.91,25.931779151310117,135.42887279759216,0.08414706412021594,0.2668555801612498,7.519908783403393,0.09384767631447902,0.39828118986201905,0.0,0.7331443896328894,4322483,0.3955796179412531,0.549293155672126,정보통신업
