회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결),자산(*)(IFRS연결),당기순이익(손실)(IFRS연결),현금및현금성자산(*)(IFRS연결),이자비용(IFRS연결),부채(*)(IFRS연결),자본(*)(IFRS연결),* (정상)영업손익(보고서기재)(IFRS연결),판매비와 관리비(물류원가 등 포함)(*)(IFRS연결),비유동자산(*)(IFRS연결),이익잉여금(*)(연결)
(주)대륙제관,4780,17-Dec,197112543,154374507,9617357,18941448,511854,54319381,100055127,12996725,12990381,65835425,81964733
(주)대림제지,17650,17-Dec,118019206,238756286,3254628,14117244,368393,108541117,130215169,4980325,8787519,190029035,96851932
(주)대명소노시즌,7720,17-Dec,235523369,419082043,17627423,9891575,5412839,282139518,136942525,7808218,35193484,342439749,1980752
(주)대성미생물연구소,36480,17-Dec,24043374,34782459,1557554,5247195,25777,4485961,30296498,1993794,5233760,15612255,22155338
(주)대성엘텍,25440,17-Dec,350575739,106850466,-4087929,3133296,1375902,60053460,46797006,2063147,12884533,53362244,-3992409
(주)대성파인텍,104040,17-Dec,43233993,87555780,2137708,11232278,585879,38739544,48816237,3264517,5648087,55255804,37689186
(주)대원,7680,17-Dec,289919901,429674709,23603138,118180031,291342,168906029,260768680,23997767,17695102,99698875,227662527
(주)대창솔루션,96350,17-Dec,42774854,137335520,-11326344,667660,3026541,81110911,56224608,-7984778,7030055,113379475,16343845
(주)대창스틸,140520,17-Dec,318055221,307195349,1888802,1263094,4431499,177904842,129290507,5624583,9661743,168288466,88746493
(주)대한과학,131220,17-Dec,41364830,36895656,1346157,1359485,95562,10867107,26028550,1932448,9876752,13663331,11899017
(주)대호특수강,21040,17-Dec,205306467,151074017,4014068,1656962,2162131,82024966,69049051,10239635,10553995,68545709,-4071092
(주)더 미동,161570,17-Dec,28157406,47059771,-3582199,23148492,22454,2636492,44423279,-3853114,6415992,10616769,8414345
(주)더블유게임즈,192080,17-Dec,319345253,997179792,35641749,24804466,20408052,592561877,404617915,81019758,238325496,892077654,148058450
(주)더블유아이,73570,17-Dec,12072601,30613446,-10843899,6173246,1215855,6987066,23626380,-4945079,6284958,20116107,-10128424
(주)덕신하우징,90410,17-Dec,125887825,106622625,8714097,2992261,807676,44288436,62334189,8124597,11502997,54730427,46161262
(주)데이타솔루션,263800,17-Dec,90041947,62046031,885540,11118406,235092,32779977,29266054,557186,13076339,11525944,6568036
(주)데코앤이,17680,17-Dec,46847589,56039766,-21293121,8958905,812848,27204008,28835758,-9783131,31909543,25128757,-40694014
(주)덱스터스튜디오,206560,17-Dec,25334023,89532234,-34180578,15217666,2435281,48652868,40879367,-21867728,11596273,45268582,-22376632
(주)덴티스,261200,17-Dec,0,0,0,0,0,0,0,0,0,0,0
(주)동구바이오제약,6620,17-Dec,101124256,75593405,10943341,9909948,574319,37848559,37744846,13326485,47550829,31075982,21534743
(주)동국알앤에스,75970,17-Dec,95193818,126594526,2587788,6871814,887611,50020736,76573791,3774035,12987031,63923051,37094026
(주)동국에스엔씨,100130,17-Dec,367922824,438572485,6172981,42691729,1629103,153269842,285302643,11250185,24401105,201118924,65231387
(주)동방선기,99410,17-Dec,19302291,35060915,-3685002,6675159,0,4617643,30443271,-667105,1909439,19771476,4244728
(주)동성화인텍,33500,17-Dec,230970494,223987030,-32196447,14283019,2807325,139846558,84140472,-25196806,22563532,125412086,32221090
(주)동아엘텍,88130,17-Dec,250506618,246934067,15046550,96877922,282437,53027671,193906396,27518745,30316122,61326280,92535542
(주)동양에스텍,60380,17-Dec,186236108,124977099,3266425,3204348,2085480,70605558,54371541,2865397,9202574,58348689,40839188
(주)동우팜투테이블,88910,17-Dec,230843688,200503429,17506765,15594929,76529,29122384,171381045,16841962,14851430,83082977,131994480
(주)동운아나텍,94170,17-Dec,54989112,42933844,-3123416,5270116,129864,16389348,26544497,-1799001,15362336,16212803,20667085
(주)동원개발,13120,17-Dec,563013434,703630959,100618005,173788811,0,108833453,594797507,143040410,11749300,19860289,542366158
(주)동일기연,32960,17-Dec,34429354,72003645,7272078,3329725,0,7065550,64938095,2387315,11906219,15052932,80847645
(주)동진쎄미켐,5290,17-Dec,785154565,667169455,44996646,73430346,12856803,399569925,267599530,71904939,75851102,364333710,102682742
(주)두산테스나,131970,17-Dec,47188713,96222618,8992438,20423836,431118,29224000,66998617,9865042,1736593,64934108,51138913
(주)듀오백,73190,17-Dec,38859471,39279572,1330283,4292092,5335,5759805,33519767,580033,10835575,21985900,22332832
(주)드래곤플라이,30350,17-Dec,7565737,50306246,-9731229,885194,1264654,28793433,21512813,-5496502,13062239,48346797,-8686583
(주)드림시큐리티,203650,17-Dec,24768402,24242344,-1595965,4491789,158010,4421426,19820918,1083567,5565085,10061410,2312003
(주)드림어스컴퍼니,60570,17-Dec,69451993,130877588,-14092021,22920304,406725,17203966,113673622,-7958490,23245442,56004886,-17388436
(주)드림티엔터테인먼트,220110,17-Dec,27756340,22958550,1069533,11547737,8085,16281042,6677508,1641354,3052446,4424425,1153437
(주)디딤,217620,17-Dec,68808886,54140507,2319186,12126742,918938,22805623,31334884,1528298,34432374,31749274,14323930
(주)디모아,16670,17-Dec,113100719,85079445,1725894,27834279,97928,27542458,57536987,1369318,11443037,22607468,40655030
(주)디바이스이엔지,187870,17-Dec,115287774,79756898,7527859,30738060,144682,30843359,48913538,10923189,9152354,17168287,27307543
(주)디스플레이테크,66670,17-Dec,82707089,166844088,4710640,2043701,258652,18479522,148364566,8126981,4243663,97114944,133989744
(주)디아크,78590,17-Dec,40019060,27530067,2597855,9477354,235231,10214848,17315219,2285974,5303503,14039989,-7785460
(주)디알텍,214680,17-Dec,38804491,43511933,-1814795,1555936,154482,17008714,26503219,-1059305,16986931,12253498,2765152
(주)디앤씨미디어,263720,17-Dec,26536904,35747220,4536199,5624026,0,3771775,31975445,5432589,21104315,2715584,10875702
(주)디에스앤엘,141020,17-Dec,46442299,35626995,2450792,8597095,913169,5185179,30441816,1976743,4320912,9490139,-32174221
(주)디에스케이,109740,17-Dec,103291567,163321779,-42306056,65422136,3602709,87079038,76242741,13513880,7027873,52177351,7323030
(주)디에이테크놀로지,196490,17-Dec,101348011,92144515,1127985,6105878,1575890,48809101,43335414,4641627,6988055,38654399,18230585
(주)디에이피,66900,17-Dec,297905538,229912365,5277713,4701575,3109472,134662718,95249647,7474137,10898183,163466511,81469541
(주)디엔에이링크,127120,17-Dec,14480118,25067374,337624,5030706,1248970,1409914,23657460,944076,5293917,9941041,-25613800
(주)디엔에프,92070,17-Dec,74380663,102224630,13231627,9814255,326766,20733243,81491387,15092377,13804237,63239668,51438721
(주)디엠에스,68790,17-Dec,268731601,298505200,3857602,16050268,2956465,163302326,135202873,16623308,44584694,148955263,74547369
(주)디오,39840,17-Dec,94538598,175686046,11076568,8318968,1209925,54726122,120959924,23761743,41096386,78609726,34025428
(주)디와이디,219550,17-Dec,63692286,44552922,6432242,12911351,135172,6086765,38466157,10752559,23375399,4892132,26299974
(주)디이엔티,79810,17-Dec,180427567,74466203,3077776,10754251,617035,46226515,28239688,2575960,11773747,35290668,12883392
(주)디지아이,43360,17-Dec,24750765,52592359,540970,353608,16395,3897898,48694461,540542,5928221,24351040,34900363
(주)디지털대성,68930,17-Dec,89840128,104580458,8260611,9235775,122666,30409620,74170838,10007834,34805315,74935548,27755192
(주)디지틀조선일보,33130,17-Dec,39512311,77156024,5300249,6341222,0,7525459,69630565,5435360,5434705,27002327,32349826
(주)디티앤씨,187220,17-Dec,49819705,122555588,4091811,10214953,1192142,47787721,74767867,5566574,15427729,92025271,24943540
(주)딜리,131180,17-Dec,50899907,61374023,2541071,6340625,1,4725182,56648841,2467274,12018352,22182964,42633490
(주)라이온켐텍,171120,17-Dec,131372664,125271867,3788088,26962054,67192,17655614,107616253,8039825,13422238,65345412,84401526
(주)라이트론,69540,17-Dec,82344246,75473002,-3042593,4326221,2531795,34423785,41049217,123579,10826645,25983238,19967735
(주)랩지노믹스,84650,17-Dec,24806150,39868778,-3436502,495366,426640,17520939,22347838,-1421639,10883996,17639597,7536268
(주)러셀,217500,17-Dec,0,0,0,0,0,0,0,0,0,0,0
(주)레고켐바이오사이언스,141080,17-Dec,22056558,82238442,-12933665,8622873,1353096,32773447,49464996,-9842081,16562212,37029356,-64288926
(주)레드로버,60300,17-Dec,35653276,163349500,-10607049,5660082,1190549,19621521,143727979,-3997337,4831624,79285787,-24309959
(주)레드캡투어,38390,17-Dec,260448023,448479567,8555788,18472907,7787391,308761068,139718499,19605472,240842551,390565541,82699990
(주)레이언스,228850,17-Dec,106517566,196450492,14396760,20740352,610769,19467237,176983255,17299393,23236552,55865143,67699965
(주)레이크머티리얼즈,281740,17-Dec,0,0,0,0,0,0,0,0,0,0,0
(주)로보로보,215100,17-Dec,14369133,24459706,-1114407,2204993,10655,2715777,21743929,1754203,4068141,8407581,10033811
(주)로보스타,90360,17-Dec,206521699,130234776,7478064,15651101,364496,79974505,50260272,10461861,19516201,32603107,40282574
(주)로지시스,67730,17-Dec,40858179,26178335,664509,11826579,0,9939460,16238876,627402,3413859,4829148,7080857
(주)루멘스,38060,17-Dec,361567289,345508438,1165674,55516557,2047812,123435724,222072714,-9209649,59318787,167039844,89944269
(주)루트로닉,85370,17-Dec,85772314,196722409,-7003472,6116048,946203,63619526,133102883,-2825953,47343756,83352942,14989433
(주)룽투코리아,60240,17-Dec,52432864,120692100,-36640517,7317735,1059870,39130192,81561908,-43830,31924280,40769582,-52635540
(주)리노스,39980,17-Dec,101491526,96505003,4975237,9864498,315068,23506210,72998792,3840326,37844801,12456106,39912236
(주)리더스코스메틱,16100,17-Dec,139934810,192932507,-7918235,34402877,1616613,83781828,109150680,-256037,43694395,92237286,40672595
(주)리드,197210,17-Dec,37357618,42703334,-22499932,3182771,1465231,34924907,7778427,-10388490,9661928,2115443,-20588988
(주)리드코프,12700,17-Dec,442470050,1114804846,36218497,21389974,0,797497486,317307360,47314284,168664760,68613288,262309521
(주)링네트,42500,17-Dec,148506989,85250503,4706149,15524398,25351,30331875,54918628,5202413,9559739,11586430,38937397
(주)링크제니시스,219420,17-Dec,11793696,15290331,2713735,2023069,62303,1946695,13343636,3518220,1385578,3084455,9258029
(주)마이크로컨텍솔루션,98120,17-Dec,27006640,41284657,-3856013,3836253,14907,4353547,36931110,-1785617,4004010,18661690,32552661
(주)마이크로프랜드,147760,17-Dec,50189558,56111035,5509396,16729565,65059,8072341,48038694,6302635,5933622,18910816,-1298551
(주)마크로젠,38290,17-Dec,101792522,178707402,9275218,43648574,2164241,83534282,95173119,3019234,30645771,53199889,37146853
(주)맘스터치앤컴퍼니,220630,17-Dec,239567842,104782364,11255858,13030828,691993,47847332,56935033,15461425,52213279,49090701,30304722
(주)매직마이크로,127160,17-Dec,77652131,92684328,-4593098,467802,1702010,58786951,33897377,-3384794,6156401,72139814,5536148
(주)매커스,93520,17-Dec,87364783,84880295,9067458,16981548,274924,37920780,46959515,10986360,8827628,10627809,35927641
(주)맥스로텍,141070,17-Dec,38651323,83603254,-2268821,6341189,2035291,49899588,33703666,1264956,3733079,49628513,-6301431
(주)멀티캠퍼스,67280,17-Dec,201225659,116933657,12434563,21914152,0,30870513,86063144,15107677,44059204,46360611,105493231
(주)메디아나,41920,17-Dec,52362747,55899309,4004511,8985043,34685,9056198,46843111,6181919,11554411,23676316,31400594
(주)메디콕스,54180,17-Jun,16025310,55276578,-12945187,7809016,1000688,36163802,19112776,-237932,1569021,46340158,-2297168
(주)메디톡스,86900,17-Dec,181239191,389129325,73166705,27002451,2062903,184419224,204710101,90159568,56487864,285975177,234364122
(주)메디프론디비티,65650,17-Dec,20910434,26243666,-11451807,3518535,0,1493765,24749901,480995,1961565,5719386,-30721483
(주)메지온,140410,17-Dec,5585880,74038036,-14881752,32067979,2770896,20868778,53169258,-16846232,17744853,3537445,-5124866
(주)메카로,241770,17-Dec,106038329,139563314,32175526,89161251,289198,19574646,119988668,43388489,12627495,24882996,46538974
(주)메타바이오메드,59210,17-Dec,65341014,119664761,-3972464,5472769,1788068,72388060,47276701,2333382,18371985,76055105,7049426
(주)멕아이씨에스,58110,17-Dec,8602502,22742806,-1959008,3551714,576326,14845948,7896858,-1023022,4582621,14484033,-1842157
(주)멜파스,96640,17-Dec,55841452,120391705,-31540416,1342192,1678533,51254892,69136813,-27695794,16677964,78827058,-25434137
(주)모다,149940,17-Dec,118523420,385010091,-43384653,34749862,17000113,279648351,105361740,-4276367,85472707,182914577,-38401068
(주)모다이노칩,80420,17-Dec,311755063,655118222,38919365,55957604,9553955,364049395,291068828,50899099,148325230,416170690,174880905
(주)모두투어네트워크,80160,17-Dec,290948152,338240134,24195955,53139729,486052,177076107,161164028,32123894,247908263,129542973,113373476
(주)모바일리더,100030,17-Dec,13343523,32019617,976912,1946667,0,2146347,29873270,582066,4578086,19225753,23357876
(주)모베이스,101330,17-Dec,320774245,250446108,15391700,38637646,359579,43477603,206968505,23402084,28782293,136635516,192023092
(주)모베이스전자,12860,17-Dec,710241532,576154630,-43560750,13015748,8943314,438246030,137908600,-14264784,49914359,313998128,77837175
(주)모비스,250060,17-Dec,2389536,18034552,-2728976,1891376,19004,988499,17046053,-1645402,2500655,5224052,-165961
(주)모헨즈,6920,17-Dec,117339016,83268394,2444685,8403288,223455,52087657,31180737,2687904,5718370,36072301,10982425
(주)미래SCI,28040,17-Dec,19108916,52360547,-6664955,298280,1945457,34054463,18306085,-4284786,4713846,13057078,-56145538
(주)미래생명자원,218150,17-Dec,40926676,30960328,-2000528,15195740,69222,6296693,24663635,1516210,4569533,6111107,15157697
(주)미래컴퍼니,49950,17-Dec,181450622,164648625,28167918,39295073,184880,65802429,98846196,37237849,26207425,43240104,77056578
(주)미래테크놀로지,213090,17-Dec,22362965,100335957,4896254,12874648,0,25545496,74790462,4608538,3182810,52922284,25197649
(주)미애부,225850,17-Dec,0,0,0,0,0,0,0,0,0,0,0
(주)미코,59090,17-Dec,183916090,202082378,19070364,50559759,2219551,85231920,116850457,29109559,54751686,111056595,6813985
(주)미투온,201490,17-Dec,27209665,149419199,3057265,35829216,255225,83899504,65519695,2916012,12182383,99024959,7671947
(주)바른손,18700,17-Mar,4612329,40851312,-1286913,16159626,185776,4551031,36300281,-2308306,4553633,23054092,-51052481
(주)바른손이앤에이,35620,17-Dec,31430347,72073730,-31397625,39868879,3946548,34780043,37293687,-1266548,32696895,27103515,-92337881
(주)바른전자,64520,17-Dec,168479538,95254890,-23760208,3381032,1443732,53600286,41654604,-19549677,12326007,43095167,-17507807
(주)바이넥스,53030,17-Dec,78026380,167774068,-11518549,11294432,1933722,34683705,133090363,-7547184,35948430,113682806,-15563540
(주)바이오니아,64550,17-Dec,23267735,58695411,-9941286,4359879,1076384,31549597,27145814,-6329851,19945654,31585613,-92157929
(주)바이오로그디바이스,208710,17-Dec,70020158,63923411,3438424,12453835,668549,21987475,41935936,6655824,8403486,31693297,26148012
(주)바이오빌,65940,17-Dec,50351617,203160573,-25182714,6168136,4258649,125845050,77315523,-9935892,30024260,128214777,-15894943
(주)바이오스마트,38460,17-Dec,80432645,112735334,4106166,5635526,1588351,49184925,63550408,4344942,17210824,76881932,12310045
(주)바이오톡스텍,86040,17-Dec,25564709,59770502,1175854,7106161,488432,28529781,31240721,2185545,6935955,46606880,-2054611
(주)바텍,43150,17-Dec,218808934,321481558,83691537,20459518,1721935,122870900,198610658,39074841,65878608,183192172,180351642
(주)배럴,267790,17-Dec,35286005,18038706,3995097,7345776,183826,5401544,12637162,5661402,19198682,2862827,12244392
(주)백금티앤에이,46310,17-Dec,101998708,74533011,3163668,5258743,1187606,39165738,35367273,5749521,18257686,27108515,3504303
(주)버킷스튜디오,66410,17-Dec,16096172,24444762,796661,1263765,11285,3037635,21407128,682469,5167153,18433273,-7922876
(주)베노홀딩스,206400,17-Dec,18892219,17769478,-12243001,9409507,6293,4312824,13456654,-10000856,28893075,3223059,-19445620
(주)베셀,177350,17-Dec,80643961,97668551,5012832,8841483,498456,52400167,45268384,10314694,12560916,30837930,26230811
(주)보광산업,225530,17-Dec,42039497,90402464,9119014,9373085,642396,31875629,58526835,9273842,3953009,59613294,34828853
(주)보라티알,250000,17-Dec,42068055,60853021,7626579,571850,139219,13620621,47232400,9165557,8930104,11212361,16077963
(주)본느,226340,17-Dec,0,0,0,0,0,0,0,0,0,0,0
(주)부-스타,8470,17-Dec,78949525,84540828,4635252,16434921,0,15305315,69235513,3306113,10921102,38292534,56746616
(주)부방,14470,17-Dec,383330726,274081718,-1811262,21541253,258135,80721170,193360547,-3847541,130091280,174553692,108710706
(주)뷰웍스,100120,17-Dec,123460627,137641189,19616141,37303473,9988,11559305,126081885,28634930,33447726,38995295,114151374
(주)브리지텍,64480,17-Dec,30211608,51895512,-3637422,13138952,0,8812773,43082739,-4746507,4433472,24863173,31518596
(주)브이원텍,251630,17-Dec,38720628,88099849,10997728,10891750,9989,26659744,61440105,15421033,4010882,9426189,30621389
(주)브이티지엠피,18290,17-Dec,69859691,74092908,-13007380,10770234,2102792,37978851,36114057,-6678288,20618329,41908815,-14541671
(주)블루베리엔에프티,44480,17-Dec,14931003,23176322,-1421184,923861,41525,2207108,20969213,-1542153,3034558,11213757,10652817
(주)블루콤,33560,17-Dec,116599132,179950640,3140855,50314227,12455,14741592,165209048,11613925,15993326,68446673,129863089
(주)비덴트,121800,17-Dec,23931470,163730638,65783781,16401087,1048675,23837172,139893466,-6446263,13017132,120681315,67395267
(주)비보존헬스케어,82800,17-Dec,61021493,36404550,-6667629,1598004,678505,20305007,16099543,-5006689,5709917,8454699,-67586930
(주)비씨월드제약,200780,17-Dec,50207424,118341155,8065198,3841619,259080,36880668,81460487,8874016,15362998,77393449,47350349
(주)비아트론,141000,17-Dec,100780806,139163928,12171345,41676876,0,30680415,108483513,20821518,8745932,25764653,59607589
(주)비에이치,90460,17-Dec,691341627,519806002,46380929,83320491,6461671,367048763,152757239,75731190,34619377,183667077,105028371
(주)비엔지티,32790,17-Dec,52949862,35990574,-2236526,3823963,230964,13453401,22537173,-169496,4249291,16925522,-30788128
(주)비엘,142760,17-Dec,7607067,37575817,-6646862,13844876,111289,2383204,35192613,-6825683,7722445,6668810,-49321925
(주)비엘팜텍,65170,17-Dec,83708355,68244814,-2650367,9951758,1752563,40491785,27753028,2768165,25064211,44249348,-33458432
(주)비엠티,86670,17-Dec,63638731,97251592,3061279,4655578,780144,39682154,57569437,5987644,12871942,43285508,33254443
(주)비즈니스온커뮤니케이션,138580,17-Dec,13456561,35900984,5296797,4463331,517,3888495,32012489,5703959,7752602,2126378,8914101
(주)비츠로셀,82920,17-Jun,105351685,120833372,16522522,23152952,54850,13981049,106852323,18036927,10399497,29732087,79684979
(주)비츠로시스,54220,17-Mar,72073712,123239221,1096280,3073320,2301603,54887436,68351786,2022619,11158128,68774982,11021243
(주)비츠로테크,42370,17-Jun,232764175,279729096,43854429,31654555,652125,84856166,194872930,20976623,24646970,118768522,63779259
(주)비케이홀딩스,50090,17-Dec,38071774,44139463,-2421634,928516,497078,13320743,30818719,-739818,3463749,34939480,-59213376
(주)비트컴퓨터,32850,17-Dec,31905155,53636156,3582818,6273939,141134,11254463,42381693,4346891,4406391,34624694,22507589
(주)빅솔론,93190,17-Dec,89445133,161585816,20622304,60271675,563,23083833,138501983,14135828,16744349,41389808,131866144
(주)빅텍,65450,17-Dec,40828484,61861299,-1085534,2448197,106333,27739174,34122125,-1582562,3800151,38420721,16509996
