회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결),자산(*)(IFRS연결),당기순이익(손실)(IFRS연결),현금및현금성자산(*)(IFRS연결),이자비용(IFRS연결),부채(*)(IFRS연결),자본(*)(IFRS연결),* (정상)영업손익(보고서기재)(IFRS연결),판매비와 관리비(물류원가 등 포함)(*)(IFRS연결),비유동자산(*)(IFRS연결),이익잉여금(*)(연결)
(주)나이스디앤비,130580,19-Dec,77330430,78675556,11280367,14784237,39565,18585479,60090077,12798062,64532368,25074094,42335911
(주)나인테크,267320,19-Dec,0,0,0,0,0,0,0,0,0,0,0
(주)내츄럴엔도텍,168330,19-Dec,6580460,48783961,-16008383,1811537,2558323,28300833,20483129,-11129699,7754781,32947408,-23755636
(주)네오리진,94860,19-Dec,11270250,14066760,-2726564,4402694,80154,3248578,10818182,258267,4452300,6117813,-8715197
(주)네오셈,253590,19-Dec,27225588,64170222,-1569501,23631693,436386,26675765,37494457,-3334110,16602174,25624291,22109024
(주)네오오토,212560,19-Dec,118441501,141061458,2497866,13521547,951933,61702966,79358492,795115,8327197,101410252,62883675
(주)네오위즈,95660,19-Dec,254498033,398001624,27623322,85930526,109724,69123581,328878043,32567478,107636723,206639774,251742751
(주)네오위즈홀딩스,42420,19-Dec,253948130,622123554,40857864,94986655,109724,72872632,549250922,29418403,110300513,310427569,250424820
(주)네오크레마,311390,19-Dec,19776649,47211442,1025691,6374697,196783,9344908,37866534,665101,3888618,23447009,12955068
(주)네오티스,85910,19-Dec,42409365,86911739,1456670,11529225,769076,43227797,43683942,3357376,5549154,49898840,30819212
(주)네오팜,92730,19-Dec,83240333,122741537,19245382,5515261,17169,17048924,105692614,22960501,37143728,21061359,59084552
(주)네오펙트,290660,19-Dec,12311251,47016455,-15875139,2965018,887947,34461786,12554669,-13648970,16875582,27222274,-45754915
(주)네온테크,306620,19-Dec,0,0,0,0,0,0,0,0,0,0,0
(주)네이블커뮤니케이션즈,153460,19-Dec,12360704,25949215,-372930,8719032,1067,1957930,23991285,-484726,7257810,7303822,4607677
(주)네이처셀,7390,19-Dec,23072026,93110328,902009,21229511,212127,11221553,81888775,1760569,11141283,37216068,-2541868
(주)네패스,33640,19-Dec,356317076,521648374,31091671,113373631,5286233,331008677,190639697,61591419,52131231,328132736,95969930
(주)넥스턴바이오사이언스,89140,19-Dec,32446754,105169657,5757745,54233701,1252,5010735,100158921,2997381,4594473,30518944,54732082
(주)넥스트아이,137940,19-Dec,87989318,174552667,-3034500,55946661,935348,62698966,111853701,3690399,20240281,53622243,14313787
(주)넥스트엔터테인먼트월드,160550,19-Dec,149180097,313341346,-11086371,63387371,2669456,191470119,121871227,-8149288,36454468,150667177,5266492
(주)넥슨게임즈,225570,19-Dec,28498282,72946033,-17072539,8938904,566783,34795261,38150773,-17109996,45608277,19295572,-30378570
(주)넵튠,217270,19-Dec,18037054,115667487,-20788823,8240669,420493,53664369,62003118,-10119370,28156424,102937796,-23752791
(주)노랑풍선,104620,19-Dec,76779803,114981929,-1655833,17730520,465513,58771043,56210886,-2058522,78838325,49710149,34005599
(주)노바렉스,194700,19-Dec,159100863,154372405,14506483,29522793,41900,62497188,91875216,16305801,12309523,74373782,55321660
(주)노바텍,285490,19-Dec,26133499,39961029,5493009,6333544,8296,6595420,33365609,5524953,5500834,15740699,23783627
(주)노블엠앤비,106520,19-Dec,75340573,106373832,-13979836,2196599,5534470,57087695,49286137,-1591638,12662150,82571984,-107171226
(주)노터스,278650,19-Dec,46039645,61530652,4553784,5202317,651025,18508093,43022559,6732641,39307004,32302366,15976580
(주)녹십자셀,31390,19-Dec,37903298,153721997,11057563,2023251,1404941,68626017,85095980,5691697,16086293,108157107,23291109
(주)녹십자엠에스,142280,19-Dec,94085373,88866125,-16350335,8679545,870775,38096010,50770115,-4443105,13913399,38177292,-15726816
(주)녹십자웰빙,234690,19-Dec,66937567,106715710,5699385,12210361,65240,23547108,83168602,7624194,28448156,26367416,19517619
(주)녹원씨엔아이,65560,19-Dec,62274838,103930553,-9154372,6014073,3027310,35323798,68606755,8699313,10742125,65442785,1610107
(주)누리플랜,69140,19-Dec,91289924,117532072,-3243838,2595844,2401674,90172493,27359579,-2268368,18800214,63035122,5858692
(주)누리플렉스,40160,19-Dec,147947451,128558142,8862080,19444458,1363174,60233414,68324728,11613034,30548041,50644356,26159203
(주)누보,332290,19-Dec,0,0,0,0,0,0,0,0,0,0,0
(주)뉴로스,126870,19-Dec,59337239,168006215,-25139887,38354559,2024477,105572179,62434036,-4788021,18735661,54565484,-21477338
(주)뉴보텍,60260,19-Dec,41769160,46232673,1803529,3521188,244290,18605250,27627424,1102452,10810322,23790827,-7420030
(주)뉴인텍,12340,19-Dec,54414657,49776532,-1101245,7266125,803235,22767099,27009433,272960,5867389,23579006,-26375447
(주)뉴트리,270870,19-Dec,125146821,77528522,9467873,35358955,15496,19081558,58446964,11951750,84630660,12147969,16264891
(주)뉴파워프라즈마,144960,19-Dec,60165999,150094736,5296883,5565517,109408,14946111,135148625,3652654,24197264,88372346,91730455
(주)뉴프렉스,85670,19-Dec,128250921,137433890,-9634357,7024181,2614116,87756530,49677361,-9956858,13345653,89858069,13553447
(주)다나와,119860,19-Dec,202773825,154181938,23583163,43737128,177029,44514345,109667593,28520423,174253402,35338154,88546337
(주)다날,64260,19-Dec,191162051,512017556,22794705,45520371,5901369,312245578,199771977,10888164,180273887,90543802,44778443
(주)다보링크,340360,19-Dec,0,0,0,0,0,0,0,0,0,0,0
(주)다산네트웍스,39560,19-Dec,446586616,453482793,-9548924,44684217,6777676,221216290,232266503,-194075,149851203,159090192,-49338240
(주)다우데이타,32190,19-Dec,3261975999,25214812744,408847438,393922010,8881471,22437866876,2776945869,558977520,506242832,4387052794,413396801
(주)다원시스,68240,19-Dec,175077026,535778020,4247763,124533552,4367859,325034136,210743884,8255509,30019491,257292370,67426958
(주)대동스틸,48470,19-Dec,113290547,78314977,312615,9796683,30899,17201574,61113403,-520332,4796928,20173494,53713630
(주)대륙제관,4780,19-Dec,197284517,157495147,5362796,24552581,428945,50642289,106852858,8360578,14273522,67050726,88655384
(주)대림제지,17650,19-Dec,105900335,229356109,2511384,12852405,1291415,75921064,153435045,5938945,9451431,186337851,111696030
(주)대명소노시즌,7720,19-Dec,218566639,243679256,63292506,156019486,2255296,78031264,165647992,3886672,34193346,40892992,61970626
(주)대성미생물연구소,36480,19-Dec,25133940,51027758,2471117,8251945,14777,16312358,34715399,3380389,5062603,25988703,26571154
(주)대성엘텍,25440,19-Dec,377405556,110542670,-9945700,2524082,1629264,72479666,38063005,-6910419,14074354,58767186,-18013962
(주)대성파인텍,104040,19-Dec,37466323,91992889,1319995,10685666,983424,38792198,53200691,311808,4426892,64925471,41881007
(주)대원,7680,19-Dec,248600434,518668184,9261021,64076243,2693653,218518376,300149808,12473921,22208065,173877227,262096893
(주)대유,290380,19-Dec,29676591,72350682,4912688,6872468,17559,9058955,63291727,5332720,13161319,17507449,27372609
(주)대유에이피,290120,19-Dec,157452770,128281832,7976446,7768048,838715,80274468,48007364,10098221,9421094,57480387,22016289
(주)대창솔루션,96350,19-Dec,65192868,156535069,-4844363,5118405,3736879,90381143,66153926,982239,6765428,105463777,214400
(주)대창스틸,140520,19-Dec,197636280,232138221,28133,4626683,4324999,132749418,99388804,4107596,8385682,149095393,72624068
(주)대한과학,131220,19-Dec,55165316,44443513,1949877,3410725,53232,11645209,32798304,2199945,11792885,16451315,14088614
(주)대호특수강,21040,19-Dec,204179606,148023965,693931,3813596,2378468,75870889,72153076,4582920,8660829,66532210,-2946380
(주)더 미동,161570,19-Dec,24883150,35112641,-3337757,8078600,160636,6660163,28452478,-3633248,4903637,18341107,-7119460
(주)더블유아이,73570,19-Dec,24052132,52816652,1401101,10809030,1091795,14649816,38166837,881873,6753481,22805014,1484888
(주)더블유에스아이,299170,19-Dec,0,0,0,0,0,0,0,0,0,0,0
(주)덕산테코피아,317330,19-Dec,61838936,158858979,11129648,9953398,200129,13668299,145190680,13430392,12476209,98513665,59545221
(주)덕신하우징,90410,19-Dec,149006750,117536854,1486120,7255530,969812,44877098,72659756,2597102,15827594,67394807,55076250
(주)데이타솔루션,263800,19-Dec,101169469,62996007,-670175,20042282,428824,37407304,25588703,444339,13294910,10600157,1528221
(주)덱스터스튜디오,206560,19-Dec,55482725,66525819,-7707267,8179648,238614,11194473,55331347,-5357794,60840518,34468782,-7823749
(주)덴티스,261200,19-Dec,0,0,0,0,0,0,0,0,0,0,0
(주)동구바이오제약,6620,19-Dec,125235187,132725123,15100532,10340582,398721,47072945,85652178,6460951,64227351,60824458,41001591
(주)동국알앤에스,75970,19-Dec,101828656,125591075,2579538,9109104,829259,46611685,78979390,3631274,13496785,63369605,39103851
(주)동국에스엔씨,100130,19-Dec,317847252,400888034,8953843,27048924,1899576,124701679,276186355,14173574,24635239,173552101,61467422
(주)동방선기,99410,19-Dec,23630293,34132289,-979934,310641,7818,5594284,28538005,-1255401,2661864,19272492,1079767
(주)동성화인텍,33500,19-Dec,253271782,263075386,16877238,23069765,3687919,168181985,94893401,26936736,23995601,119706584,35745028
(주)동아엘텍,88130,19-Dec,202944664,267605758,15283836,81668984,130498,58577014,209028744,19817339,31599969,87107025,106293428
(주)동양에스텍,60380,19-Dec,212129297,144962083,2175699,8731165,2382616,90593925,54368158,2767921,10982206,62224621,41587562
(주)동우팜투테이블,88910,19-Dec,270567996,224727531,2632411,16161868,34254,34677783,190049748,4256779,17286019,107619709,151414143
(주)동운아나텍,94170,19-Dec,54763967,54041008,6605385,10839387,1235443,29317134,24723874,-2188813,17615232,13658307,17519292
(주)동원개발,13120,19-Dec,642628503,929793884,84696891,416601606,202958,158655654,771138229,106108775,14985289,41441771,718706881
(주)동일기연,32960,19-Dec,28951585,58374142,2078974,2049698,34674,6071452,52302690,919141,10081807,14222078,47079827
(주)동진쎄미켐,5290,19-Dec,875254175,840710798,58693162,114618712,13219965,480348778,360362019,104867455,81539117,430070371,193431904
(주)두산테스나,131970,19-Dec,96831033,342662378,21415215,103159828,1992836,179348105,163314273,24185180,6257430,191805433,87981593
(주)듀오백,73190,19-Dec,31808599,32605733,-2956674,1661717,20611,5270243,27335489,-2468695,10876477,19148407,16239950
(주)드래곤플라이,30350,19-Dec,6081313,14923301,-5749731,6937861,61226,2549440,12373861,-4509707,10591019,6644050,-5749731
(주)드림시큐리티,203650,19-Dec,28815881,77347110,2526906,3098895,62181,13040512,64306598,1771025,6022653,61466908,7967220
(주)드림어스컴퍼니,60570,19-Dec,196961163,171585555,-48005522,88901393,533101,53668515,117917040,-26743471,57401502,35317064,-87770960
(주)디딤,217620,19-Dec,125265879,117030402,1357911,9508473,2688257,84270124,32760278,3493798,57636212,87261183,15854618
(주)디모아,16670,19-Dec,20405375,102374669,-1737755,25895971,159626,45219162,57155507,7821685,11132183,16295718,38826783
(주)디바이스이엔지,187870,19-Dec,43228287,107991965,4649753,36148952,15962,44456810,63535155,4417264,6457422,22617774,45337620
(주)디스플레이테크,66670,19-Dec,43569777,167971201,5393286,11137353,152077,18324931,149646271,6566006,4320732,99173272,138851574
(주)디아크,78590,19-Dec,64599738,71913569,-6047456,19813193,2238184,47206991,24706578,1888369,10402467,26118947,-22001630
(주)디알젬,263690,19-Dec,60087401,63046253,5470786,10833252,40043,30524694,32521559,4572698,12829446,19006213,13664650
(주)디알텍,214680,19-Dec,47845054,70958295,944606,13604990,385392,33599023,37359272,1398254,20529714,22433552,4614377
(주)디앤씨미디어,263720,19-Dec,42139941,53449595,4852476,8778432,3700,11928155,41521440,7913752,34226190,4450502,20199700
(주)디에스앤엘,141020,19-Dec,38570359,72600826,-34274970,1105805,7664631,35902415,36698411,-17343940,21422255,11958978,-78615131
(주)디에스케이,109740,19-Dec,76480134,171897832,3891897,25797559,1667121,46634348,125263484,5474893,13835021,108087235,38302184
(주)디에이테크놀로지,196490,19-Dec,108845736,122217450,-20783129,16823498,5847755,56545566,65671883,650130,14255946,44112197,-22241486
(주)디에이피,66900,19-Dec,270484203,225787010,996179,9439998,1938801,125180122,100606888,807517,10653555,154405485,88288137
(주)디엔에이링크,127120,19-Dec,15572845,25900053,-13118204,6395631,874095,16237483,9662570,-5845160,8798976,11255572,-42770966
(주)디엔에프,92070,19-Dec,58814557,110119296,2231167,3336249,406656,19850202,90269095,5245037,15513190,77709902,62615283
(주)디엠에스,68790,19-Dec,196206589,302514624,17236233,10720096,3149467,136508949,166005675,22710231,42589856,167997326,105892241
(주)디오,39840,19-Dec,127165199,273185095,25601661,11476477,2361870,129533220,143651875,34767257,60897698,122058406,51148569
(주)디와이디,219550,19-Dec,48109003,52229060,-2888567,745289,458062,21354451,30874610,-1762020,18087042,22982940,17329144
(주)디이엔티,79810,19-Dec,29668977,46017809,-7152406,1204903,1310804,27902135,18115674,-6453854,6626061,28836645,-4345492
(주)디지아이,43360,19-Dec,15369640,48781971,-3365623,706017,17517,3203037,45578934,-3300403,6933084,27272185,31833944
(주)디지캡,197140,19-Dec,23851999,48772866,1177494,6210907,395423,18914542,29858324,679894,6257069,29728032,11039168
(주)디지털대성,68930,19-Dec,140630621,142456542,18980099,17639346,262486,47962083,94494460,21090277,46531086,88014183,40265574
(주)디지틀조선일보,33130,19-Dec,33842796,85853679,3463027,9341819,94619,8595903,77257776,2936471,5697533,36354960,38589523
(주)디케이앤디,263020,19-Dec,59822274,62104312,2829968,8176250,152507,10638598,51465714,2954715,7988601,32405490,22544397
(주)디케이티,290550,19-Dec,337722378,114499310,7942696,23472611,240741,56178571,58320739,12886302,6661190,29231232,19425986
(주)디티앤씨,187220,19-Dec,73787518,179838735,-4250363,18861660,2627920,94646940,85191796,357236,23008757,135472648,22762632
(주)딜리,131180,19-Dec,40486467,63808112,2092005,8703086,29720,6210663,57597449,814493,10929085,29653591,44879067
(주)라닉스,317120,19-Dec,9044034,20394753,-131591,1046991,104825,2717916,17676838,-1874,5568310,2113945,4048172
(주)라이온켐텍,171120,19-Dec,156075491,132849020,10706648,8844681,378934,23815107,109033914,11533135,14141964,82524062,87409367
(주)라이트론,69540,19-Dec,112769838,79429657,3379374,33942794,4653859,41745608,37684050,25711047,16401137,23337978,-18093939
(주)라파스,214260,19-Dec,18168040,62884817,184359,5098015,270107,14954180,47930637,-433078,8683015,33850068,-4086664
(주)랩지노믹스,84650,19-Dec,33175359,49477979,962422,1996759,415791,19060532,30417448,1082182,12306404,15871251,4251467
(주)러셀,217500,19-Dec,41027041,45280733,4208125,9827746,57427,5045579,40235154,4937176,3523345,10748658,22394747
(주)레고켐바이오사이언스,141080,19-Dec,57500139,141477453,12475508,66888373,25803,25568107,115909346,8416842,26394243,30058181,-78811546
(주)레드로버,60300,19-Dec,12084598,28775240,-93252771,156888,1431411,22251848,6523392,-41340698,39761268,19301617,-163478779
(주)레드캡투어,38390,19-Dec,258761857,416661455,22234639,17847341,5831566,252727838,163933617,34971516,177273435,372158069,105465131
(주)레몬,294140,19-Dec,49653530,98414205,-9270788,10133661,2324261,79468777,18945429,-7860613,9236339,71629487,-19719096
(주)레이,228670,19-Dec,73108726,76656974,11555269,11983707,187265,19124849,57532125,12860996,21709535,15640025,12047137
(주)레이언스,228850,19-Dec,126174798,232073460,13826669,27475533,320119,37798296,194275164,22835774,28068155,62713425,94136294
(주)레이크머티리얼즈,281740,19-Dec,0,0,0,0,0,0,0,0,0,0,0
(주)로보로보,215100,19-Dec,13825738,27198177,1088824,580900,32595,2573041,24625136,116190,5604594,11647365,12785200
(주)로보스타,90360,19-Dec,177224395,166636026,-4513023,29604626,65681,70221087,96414939,-6889907,20826173,40615049,33029770
(주)로보티즈,108490,19-Dec,25231157,64669054,2481001,9680097,28063,3260113,61408940,1681774,11479220,26893978,16849327
(주)로지시스,67730,19-Dec,33448153,24235178,-994711,7352907,25509,8581471,15653707,435804,3120483,6256991,6057260
(주)루멘스,38060,19-Dec,323587779,278451657,-61111244,20744805,4094386,147894772,130556884,-39217867,50683542,127486607,-450360
(주)루트로닉,85370,19-Dec,115684801,208199454,-11540733,8231171,1704180,89322636,118876818,-8476926,66953295,69346950,-10777427
(주)룽투코리아,60240,19-Dec,30101838,79352267,1636986,2265286,268125,5647513,73704754,-3098015,22765393,31590790,-40631088
(주)리노스,39980,19-Dec,81286180,111913032,-442556,23657989,313362,36956848,74956184,-320792,29272313,11135296,40480204
(주)리더스코스메틱,16100,19-Dec,95635456,132912018,-57757716,19182663,3243731,83873775,49038243,-27824270,55321934,78677877,-23011722
(주)리드,197210,19-Dec,18396311,31046019,-49236982,36236,5551027,62608144,-31562126,-6612441,6531632,3591761,-137119443
(주)리드코프,12700,19-Dec,495358851,1036734077,40586229,12263945,2791564,668448987,368285090,53883905,61281174,20645045,314843083
(주)리메드,302550,19-Dec,18550238,34945709,4363103,15221221,147443,10321998,24623711,4287510,6388346,13858295,-937942
(주)링네트,42500,19-Dec,131919333,94447962,7022815,16167029,276474,36413722,58034240,7023527,11474455,15140728,47482087
(주)링크제니시스,219420,19-Dec,11404801,37630382,571790,6455279,13936,3269849,34360533,1030927,2428851,3709384,11773056
(주)마니커에프앤지,195500,19-Dec,99832950,58497680,2944573,9698289,505183,21813207,36684473,4373751,9873306,28276331,13179151
(주)마이크로디지탈,305090,19-Dec,3926071,23210224,-6297073,2351673,61756,5400924,17809300,-6371186,6210969,5897225,-10358149
(주)마이크로컨텍솔루션,98120,19-Dec,34428727,37413850,831947,3523689,12935,4671857,32741993,671642,4368810,17934431,28606540
(주)마이크로프랜드,147760,19-Dec,36672298,58240307,-4637509,9496513,223051,17109812,41130495,-2765560,6840399,32479184,-8206750
(주)마크로젠,38290,19-Dec,122252823,225531446,-13383141,16371825,2380670,117708077,107823369,719925,38169289,120146689,36084641
(주)맘스터치앤컴퍼니,220630,19-Dec,288853438,139939227,12925526,19309731,418943,58923633,81015594,18969713,63712208,57013411,53736974
(주)매직마이크로,127160,19-Dec,73799745,128970686,-15717101,3661908,4663091,70749666,58221020,-8471761,16823925,97474358,-10941084
(주)매커스,93520,19-Dec,57482392,101122964,4801714,18096890,170791,48709948,52413017,5948930,7411948,9507613,46385395
(주)맥스로텍,141070,19-Dec,37317298,75565720,-10090120,2286783,2008777,47403677,28162044,-8517556,2933489,50004685,-15559160
(주)머큐리,100590,19-Dec,111047785,105086804,2332193,30221915,207465,34115339,70971465,2103746,14443121,26822797,16067822
(주)멀티캠퍼스,67280,19-Dec,288001022,204059370,18906590,10868309,843937,91822206,112237164,24178088,52453299,114022567,135581379
(주)메드팩토,235980,19-Dec,0,80699693,-13515613,173168,246997,2004823,78694870,-13238449,13238449,4672818,-65684176
(주)메디아나,41920,19-Dec,48399859,64760524,6745157,15785741,8314,7823018,56937506,7701724,9708865,26901799,38014098
(주)메디콕스,54180,19-Jun,25225051,56061813,-2640021,5576324,1285192,34920994,21140819,-488876,4526256,45923924,-6483381
(주)메디톡스,86900,19-Dec,205900276,421529504,25563083,20080297,2080951,158848740,262680764,25688754,110681595,301499922,304574468
(주)메디프론디비티,65650,19-Dec,17412906,19459610,-1778874,458779,1193,1769687,17689924,-2161742,3006034,1834134,-38106909
(주)메지온,140410,19-Dec,18930988,58873712,-23251204,15644307,317842,16043627,42830085,-24658887,27754588,7024578,-47351138
(주)메카로,241770,19-Dec,72495382,160150690,7849939,55094432,29282,16278579,143872111,8560966,21726313,82922652,67714157
(주)메타바이오메드,59210,19-Dec,59391345,103291753,3572914,2350437,1190037,48429625,54862128,5752793,20383017,61960089,8799273
(주)멕아이씨에스,58110,19-Dec,12863659,24850344,-1689299,605760,1341795,20661076,4189268,-211336,5744337,16661124,-5982142
(주)멜파스,96640,19-Dec,75991828,79763076,-11767230,2811820,4071523,49663470,30099605,4013528,8262809,62159645,-66887109
(주)모다이노칩,80420,19-Dec,320072758,897502146,6174404,24800911,15694221,538677934,358824212,30507778,154401604,724839884,194740489
(주)모두투어네트워크,80160,19-Dec,297168691,420625003,4146570,57026664,3700167,268100963,152524040,3198026,240840641,216940163,115565649
(주)모바일리더,100030,19-Dec,23558937,37969975,-1522744,4823047,0,6039537,31930438,4967887,3943055,16384231,25402971
(주)모베이스,101330,19-Dec,652513096,991473184,46530165,67751673,5201251,647806473,343666711,31961813,48013792,536962987,254046428
(주)모베이스전자,12860,19-Dec,771679604,673938142,-9949414,34224442,13272290,512492545,161445597,10866621,53845665,336401618,45943265
(주)모비스,250060,19-Dec,12147693,42509164,-559611,4771341,86850,8943978,33565186,-1726109,7855946,21219091,-1488405
(주)모헨즈,6920,19-Dec,85683500,58143099,638930,4187922,42859,28936788,29206311,735328,5310962,30763877,12987813
(주)미래SCI,28040,19-Dec,14797966,54405331,-20618702,340806,3252577,37487787,16917544,-5963843,6848931,19071070,-98090851
(주)미래생명자원,218150,19-Dec,50079355,38518768,1029761,4464705,312022,8857799,29660968,1464908,4867463,11879363,17963926
(주)미래컴퍼니,49950,19-Dec,97432267,133767810,11959900,40518583,136873,20859933,112907877,3657082,23830830,52250763,91343364
(주)미래테크놀로지,213090,19-Dec,35864619,108768508,3675144,21620193,88898,34159631,74608878,3675331,13884651,44350896,26717173
(주)미애부,225850,19-Dec,0,0,0,0,0,0,0,0,0,0,0
(주)미코,59090,19-Dec,236170142,404978178,21975621,84944683,6824820,236190783,168787395,38238425,71103350,236930259,27379785
(주)미투온,201490,19-Dec,119101315,175119533,27868398,55347063,2271435,76356793,98762740,40455051,42791664,97022524,29543965
(주)바른손,18700,19-Mar,6551086,39243971,-10710695,11933265,298000,12234653,27009318,-7176269,11333258,15060200,-59600673
(주)바른손이앤에이,35620,19-Dec,16975339,103169274,-24053158,1580597,1604313,32171070,70998205,-17734441,34709780,93600122,-27428170
(주)바른전자,64520,19-Dec,39481096,76832470,-12929169,37957266,1558904,38811963,38020507,-14761520,9337784,32594079,-12420995
(주)바이넥스,53030,19-Dec,125258579,202782054,8378233,18492629,2098225,41402635,161379419,11276389,45491625,128949109,1663883
(주)바이오니아,64550,19-Dec,36292397,82099866,-7419713,4742342,935274,50480711,31619155,-8520877,27673759,39076565,-109252300
(주)바이오로그디바이스,208710,19-Dec,90419017,88918610,6135021,5584702,1188251,32785181,56133430,7047268,12655220,53177990,37559231
(주)바이오솔루션,86820,19-Dec,8882482,51807476,-697543,1509886,52601,3710866,48096610,-1867679,7769216,7014623,-12705579
(주)바이오스마트,38460,19-Dec,158967517,183543718,19891299,24306231,1598015,77540405,106003313,3133545,53098669,81276571,38399528
(주)바이오톡스텍,86040,19-Dec,25853847,60175524,-1705404,5376872,566366,28980519,31195005,-130820,5500328,42997995,84650
(주)바텍,43150,19-Dec,271702910,386987301,35589934,41546856,1699298,133226782,253760519,42868726,84819092,199710871,235185463
(주)배럴,267790,19-Dec,59946896,58348027,6877842,23539782,125274,12570107,45777920,8451979,29014806,19902231,23515490
(주)백금티앤에이,46310,19-Dec,155629903,93349212,8812841,29417572,1153894,40718881,52630331,18452585,22810617,19472401,8122387
(주)버킷스튜디오,66410,19-Dec,17584675,53999881,-2982522,11734631,1169289,12774973,41224908,831136,5131314,38139644,-2982522
