종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"014285","금강공업우 ","51500","0","0.00",,,,,,,"450","0.87"
"008870","금비 ","87000","100","0.12","6049","14.38",,,"84444","1.03","1500","1.72"
"001570","금양 ","2620","-70","-2.60","430","6.09",,,"1452","1.80","60","2.29"
"002990","금호산업 ","8700","120","1.40",,,,,"8267","1.05","0","0.00"
"002995","금호산업우 ","17650","-50","-0.28",,,,,,,"0","0.00"
"011780","금호석유 ","73000","-2400","-3.18","4257","17.15",,,"46474","1.57","800","1.10"
"011785","금호석유우 ","28850","-300","-1.03",,,,,,,"850","2.95"
"214330","금호에이치티 ","5900","-70","-1.17","1655","3.56",,,"8257","0.71","125","2.12"
"001210","금호전기 ","9780","60","0.62",,,,,"18452","0.53","0","0.00"
"073240","금호타이어 ","8360","-120","-1.42",,,,,"7234","1.16","0","0.00"
"092440","기신정기 ","4840","-5","-0.10","106","45.66",,,"7719","0.63","150","3.10"
"000270","기아차 ","37400","250","0.67","6559","5.70",,,"59709","0.63","1100","2.94"
"024110","기업은행 ","13050","-150","-1.14","1672","7.81",,,"26289","0.50","450","3.45"
"013700","까뮤이앤씨 ","11000","200","1.85","1145","9.61",,,"10140","1.08","150","1.36"
"004540","깨끗한나라 ","5300","-40","-0.75",,,,,"5347","0.99","0","0.00"
"004545","깨끗한나라우 ","17250","300","1.77",,,,,,,"0","0.00"
"007460","나라케이아이씨 ","2910","-90","-3.00","288","10.10",,,"1933","1.51","0","0.00"
"001260","남광토건 ","7210","-70","-0.96",,,,,"4026","1.79","0","0.00"
"008350","남선알미늄 ","1185","0","0.00","135","8.78",,,"933","1.27","0","0.00"
"008355","남선알미우 ","8790","-10","-0.11",,,,,,,"0","0.00"
"004270","남성 ","1700","-10","-0.58",,,,,"1978","0.86","25","1.47"
"003920","남양유업 ","722000","-7000","-0.96","31486","22.93",,,"957691","0.75","1000","0.14"
"003925","남양유업우 ","243500","0","0.00",,,,,,,"1050","0.43"
